Geneid	HISAT2 on data 8: aligned reads (BAM)
497097	2
100503874	0
100038431	0
19888	0
20671	92
27395	2342
18777	4581
100503730	11
21399	1500
58175	0
108664	1597
18387	0
226304	0
12421	1264
620393	0
240690	0
319263	4066
71096	0
59014	558
76187	3212
72481	25
76982	4
17864	9
70675	902
73331	68
170755	543
620986	4
240697	54
73824	218
266793	3
100038398	536
100039596	143
69312	36
26754	2354
211660	511
211673	2758
329093	0
109294	259
320492	0
329096	0
240725	117
240726	0
383491	0
17978	1670
72265	5057
212442	8407
381246	511
433273	1
14048	0
17681	14
277328	0
98741	2
21749	359
226866	5
665434	1
75799	0
19989	9362
98711	877
29819	264
66799	598
67923	1043
329101	0
70397	1479
17087	93
57339	9
14545	0
94227	38
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	297
75028	0
387202	0
723817	0
16171	0
257630	0
17215	192
77741	0
74229	19
71877	8
170829	120
75712	199
14859	53805
241041	0
368204	2
433278	0
98582	0
226922	10
116837	0
66755	0
387225	0
723964	2
70155	587
100503399	0
280645	24
98366	395
68002	548
68187	520
12839	0
12823	6
68421	2178
210933	0
100504323	0
210940	0
433281	734
665903	16
210962	0
623924	0
791350	0
213109	1522
19243	1337
70988	0
266744	2
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	157
67503	4
19335	434
213539	44
98403	313
433287	1
320705	2
13518	1738
100628580	0
69668	314
27993	719
52318	173
19253	71
21755	0
12627	0
21756	0
211383	0
241051	0
226970	9
214469	2190
226971	919
50785	3783
320011	2579
214854	322
214855	34
226976	1840
214895	550
94220	138
94218	597
78321	89
109346	135
20353	162
381337	0
12859	6155
226977	1826
71166	0
22637	541
56030	949
70853	5
12790	0
269180	828
76178	3435
67387	1099
269181	59
77633	2
100861893	0
72097	0
100503734	0
211484	38
623661	297
69028	272
107734	1538
332427	0
69541	0
98258	1093
226982	1929
56210	258
16764	8
381338	0
98388	2
100503760	0
433292	0
68833	629
18143	86
114641	5106
54610	665
52846	488
100217461	6
67702	4024
263764	2
619289	6
100042065	0
73426	0
26921	776
100047133	0
16178	2
16177	781
107527	12
17082	10
16182	31
16174	4
110895	0
226999	0
211798	207
381339	0
74897	0
66297	0
18993	0
73100	0
69527	755
93690	0
73122	1245
98404	425
14200	18
666642	344
17974	115
100861934	0
78896	1
67883	290
100503192	1
22019	1299
433294	0
75623	131
72050	276
246229	447
22592	427
100861960	0
403183	0
70676	26
75066	0
12825	1687
12832	155
73674	343
433297	5
53945	7474
100042453	0
212225	0
227058	4
100101919	0
227059	137
442837	0
56363	0
442821	0
20324	698
109019	437
100045066	15
17912	7628
20849	14
100042634	0
20846	2100
14660	255
