Geneid	HISAT2 on data 11: aligned reads (BAM)
497097	6
100503874	6
100038431	0
19888	0
20671	142
27395	652
18777	688
100503730	4
21399	1670
58175	0
108664	798
18387	0
226304	0
12421	812
620393	0
240690	48
319263	849
71096	0
59014	682
76187	74
72481	8
76982	4
17864	91
70675	921
73331	0
170755	1030
620986	21
240697	3
73824	161
266793	4
100038398	8
100039596	0
69312	2
26754	1028
211660	355
211673	1598
329093	1
109294	294
320492	0
329096	0
240725	372
240726	68
383491	0
17978	1000
72265	2016
212442	358
381246	6
433273	0
14048	87
17681	154
277328	0
98741	0
21749	479
226866	2
665434	4
75799	0
19989	18875
98711	655
29819	134
66799	490
67923	861
329101	0
70397	470
17087	98
57339	24
14545	0
94227	19
83691	135
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	2
75028	0
387202	0
723817	0
16171	0
257630	3
17215	3131
77741	2
74229	61
71877	19
170829	61
75712	31
14859	452
241041	0
368204	0
433278	0
98582	0
226922	52
116837	0
66755	0
387225	0
723964	0
70155	1019
100503399	0
280645	43
98366	719
68002	201
68187	139
12839	0
12823	17
68421	1254
210933	3
100504323	0
210940	0
433281	13
665903	51
210962	0
623924	0
791350	4
213109	1555
19243	272
70988	0
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	871
67503	7
19335	104
213539	251
98403	292
433287	5
320705	20
13518	681
100628580	2
69668	390
27993	671
52318	217
19253	938
21755	2
12627	0
21756	0
211383	2
241051	0
226970	90
214469	3000
226971	1014
50785	1788
320011	1445
214854	1412
214855	560
226976	941
214895	300
94220	173
94218	334
78321	121
109346	131
20353	291
381337	15
12859	2358
226977	846
71166	0
22637	453
56030	1432
70853	4
12790	6
269180	496
76178	1573
67387	756
269181	750
77633	4
100861893	0
72097	12
100503734	0
211484	54
623661	55
69028	346
107734	849
332427	0
69541	0
98258	875
226982	1756
56210	423
16764	461
381338	2
98388	265
100503760	4
433292	0
68833	514
18143	33
114641	12083
54610	648
52846	584
100217461	13
67702	876
263764	10
619289	0
100042065	0
73426	0
26921	1605
100047133	0
16178	29
16177	511
107527	74
17082	396
16182	303
16174	91
110895	0
226999	0
211798	115
381339	4
74897	0
66297	0
18993	0
73100	0
69527	477
93690	0
73122	540
98404	327
14200	12
666642	572
17974	384
100861934	0
78896	34
67883	180
100503192	1
22019	1171
433294	0
75623	368
72050	194
246229	156
22592	283
100861960	0
403183	0
70676	206
75066	0
12825	2382
12832	451
73674	806
433297	37
53945	8047
100042453	0
212225	0
227058	3
100101919	5
227059	400
442837	0
56363	1
442821	0
20324	912
109019	635
100045066	0
17912	259
20849	360
100042634	0
20846	3849
14660	1816
17936	898
227094	636
98682	212
16329	210
227095	238
67080	0
17700	0
69397	2
227099	197
227102	557
72085	370
70396	1724
627872	6
98267	4689
329152	59
78016	12
98488	250
241062	680
329154	1239
81898	7007
67876	255
15510	5028
15528	2226
19070	730
74013	299
212679	224
75388	4
227120	101
626009	2
329159	0
71066	0
212712	6
329160	0
407809	0
75323	6
73467	141
68736	141
68115	214
67198	43
51960	186
68549	311
11761	67
71724	56
71872	29
213043	2
66882	3167
12747	4890
70225	351
65102	249
18393	1208
100504455	6
213056	237
66495	698
100504501	83
108812	10
12633	1152
12370	1097
70827	4573
227154	1282
73463	0
381259	96
227157	0
74018	291
271697	0
14369	120
381260	6
22218	1367
55989	1633
100217459	0
100217421	0
12168	41
100504533	49
72750	768
70375	10
57750	522
241066	30
100504573	0
269198	141
77951	222
329165	179
77300	272
100043027	4
100042533	1
12487	568
100504618	4
12477	93
54167	206
77341	2
72823	79
18187	285
74992	2
227195	892
100380944	36
100504668	29
227197	1309
55949	9541
100217464	10
241070	2
73884	0
23792	552
241073	0
76668	0
75619	346
74426	0
433315	0
93691	32
12912	1468
67099	133
69941	59
227210	103
14367	146
241075	680
70861	21
667276	1
12968	0
12967	0
12966	0
12965	0
12964	0
98303	0
15926	977
18711	850
213527	0
12969	0
17756	68
100038569	0
329178	0
66646	747
68691	210
11363	1227
100862127	0
17901	0
14768	652
227231	832
13869	0
100502712	0
22779	209
66722	0
320460	0
12021	405
74591	0
108147	1251
14268	1851
100042814	0
667931	8
71134	0
433319	0
381269	159
111175	187
271711	6
22596	494
381270	12
