Geneid	HISAT2 on data 10: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	0
20671	30
27395	623
18777	1094
100503730	3
21399	557
58175	0
108664	620
18387	0
226304	0
12421	354
620393	0
240690	0
319263	952
71096	0
59014	289
76187	926
72481	7
76982	14
17864	20
70675	424
73331	15
170755	324
620986	1
240697	4
73824	64
266793	1
100038398	32
100039596	4
69312	2
26754	768
211660	170
211673	959
329093	0
109294	71
320492	0
329096	0
240725	38
240726	2
383491	0
17978	674
72265	1973
212442	1452
381246	174
433273	0
14048	2
17681	44
277328	0
98741	0
21749	129
226866	0
665434	0
75799	0
19989	3689
98711	296
29819	92
66799	261
67923	398
329101	0
70397	483
17087	67
57339	0
14545	0
94227	9
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	81
75028	0
387202	0
723817	0
16171	0
257630	0
17215	219
77741	0
74229	13
71877	4
170829	42
75712	43
14859	13244
241041	0
368204	0
433278	0
98582	0
226922	2
116837	0
66755	0
387225	0
723964	0
70155	199
100503399	0
280645	13
98366	206
68002	172
68187	145
12839	0
12823	0
68421	779
210933	0
100504323	0
210940	0
433281	214
665903	12
210962	0
623924	0
791350	0
213109	573
19243	528
70988	0
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	78
67503	2
19335	89
213539	9
98403	133
433287	1
320705	3
13518	1034
100628580	0
69668	215
27993	279
52318	61
19253	176
21755	0
12627	0
21756	0
211383	0
241051	0
226970	11
214469	954
226971	777
50785	1592
320011	1247
214854	599
214855	98
226976	631
214895	252
94220	79
94218	178
78321	31
109346	44
20353	120
381337	0
12859	1849
226977	655
71166	2
22637	224
56030	491
70853	8
12790	0
269180	331
76178	1336
67387	436
269181	134
77633	0
100861893	0
72097	7
100503734	0
211484	21
623661	69
69028	118
107734	462
332427	0
69541	0
98258	450
226982	970
56210	68
16764	4
381338	0
98388	0
100503760	0
433292	0
68833	335
18143	59
114641	2602
54610	348
52846	239
100217461	1
67702	1631
263764	25
619289	0
100042065	0
73426	2
26921	675
100047133	2
16178	10
16177	440
107527	6
17082	14
16182	51
16174	43
110895	0
226999	0
211798	62
381339	0
74897	0
66297	0
18993	0
73100	0
69527	200
93690	0
73122	404
98404	144
14200	20
666642	187
17974	93
100861934	2
78896	4
67883	119
100503192	3
22019	559
433294	0
75623	62
72050	128
246229	177
22592	167
100861960	0
403183	0
70676	7
75066	0
12825	4618
12832	376
73674	141
433297	10
53945	4890
100042453	0
212225	0
227058	0
100101919	0
227059	198
442837	0
56363	0
442821	0
20324	234
109019	797
100045066	14
17912	1781
20849	37
100042634	1
20846	10729
14660	338
17936	794
227094	41
98682	219
16329	170
227095	459
67080	0
17700	3
69397	0
227099	67
227102	306
72085	179
70396	444
627872	0
98267	437
329152	69
78016	4
98488	125
241062	258
329154	196
81898	1713
67876	237
15510	3656
15528	1376
19070	318
74013	24
212679	16
75388	0
227120	25
626009	0
329159	0
71066	0
212712	6
329160	8
407809	0
75323	8
73467	190
68736	84
68115	187
67198	238
51960	89
68549	40
11761	1931
71724	1991
71872	0
213043	2
66882	1753
12747	962
70225	135
65102	175
18393	98
100504455	0
213056	160
66495	546
100504501	19
108812	0
12633	1231
12370	558
70827	474
227154	391
73463	0
381259	75
227157	15
74018	980
271697	0
14369	349
381260	0
22218	411
55989	325
100217459	0
100217421	2
12168	74
100504533	46
72750	106
70375	0
57750	175
241066	23
100504573	0
269198	148
77951	167
329165	104
77300	1304
100043027	0
100042533	0
12487	39
100504618	0
12477	14
54167	88
77341	0
72823	16
18187	418
74992	0
227195	316
100380944	2
100504668	7
227197	1010
55949	2258
100217464	10
241070	0
73884	0
23792	249
241073	0
76668	0
75619	153
74426	2
433315	0
93691	17
12912	346
67099	147
69941	26
227210	70
14367	76
241075	123
70861	0
667276	0
12968	0
12967	0
12966	0
12965	0
12964	0
98303	0
15926	4164
18711	410
213527	0
12969	0
17756	16
100038569	0
329178	0
66646	334
68691	80
11363	1641
100862127	2
17901	0
14768	248
227231	30147
13869	14
100502712	0
22779	50
66722	0
320460	0
12021	16
74591	0
108147	417
14268	13089
100042814	0
667931	164
71134	0
433319	0
381269	379
111175	1865
271711	13
22596	240
381270	0
54380	195
319695	0
19981	500
16008	5483
16011	45
21958	0
69449	0
723792	0
78718	0
109198	0
21961	751
435626	2
100862357	0
12765	22
227288	2
100316687	0
76709	2802
227289	2
227290	1586
56695	840
69660	705
241112	4
18173	1200
227292	1524
387219	0
22349	4
319651	96
58184	264
18802	0
77264	103
66821	164
57751	171
269209	19
67534	142
104086	3324
241113	4
22420	2
22409	0
12570	0
260298	0
12958	0
723900	0
241116	0
16147	10
75570	36
22626	6
69171	619
227298	1725
68818	263
74104	679
245860	643
52231	205
74577	77
20872	772
22145	1658
381272	0
56812	771
