Geneid	HISAT2 on data 9: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	0
20671	10
27395	159
18777	322
100503730	0
21399	123
58175	0
108664	130
18387	0
226304	0
12421	100
620393	0
240690	0
319263	295
71096	0
59014	49
76187	190
72481	0
76982	0
17864	2
70675	84
73331	0
170755	47
620986	1
240697	5
73824	20
266793	0
100038398	70
100039596	16
69312	0
26754	219
211660	44
211673	198
329093	0
109294	20
320492	0
329096	0
240725	10
240726	0
383491	0
17978	153
72265	460
212442	634
381246	30
433273	0
14048	0
17681	2
277328	0
98741	0
21749	32
226866	0
665434	0
75799	0
19989	880
98711	71
29819	20
66799	66
67923	80
329101	0
70397	157
17087	9
57339	0
14545	0
94227	0
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	30
75028	0
387202	0
723817	0
16171	0
257630	0
17215	21
77741	0
74229	7
71877	0
170829	2
75712	14
14859	4012
241041	0
368204	0
433278	0
98582	0
226922	2
116837	0
66755	0
387225	0
723964	0
70155	39
100503399	0
280645	2
98366	39
68002	65
68187	41
12839	0
12823	0
68421	190
210933	0
100504323	0
210940	0
433281	58
665903	1
210962	0
623924	0
791350	0
213109	98
19243	118
70988	0
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	8
67503	0
19335	29
213539	3
98403	41
433287	1
320705	0
13518	161
100628580	0
69668	23
27993	81
52318	16
19253	8
21755	0
12627	0
21756	0
211383	0
241051	0
226970	0
214469	210
226971	87
50785	318
320011	216
214854	38
214855	0
226976	146
214895	73
94220	10
94218	63
78321	11
109346	18
20353	15
381337	0
12859	448
226977	139
71166	0
22637	60
56030	85
70853	3
12790	0
269180	75
76178	276
67387	90
269181	4
77633	0
100861893	0
72097	0
100503734	0
211484	0
623661	19
69028	31
107734	114
332427	0
69541	0
98258	102
226982	154
56210	25
16764	0
381338	0
98388	0
100503760	0
433292	0
68833	64
18143	5
114641	430
54610	53
52846	51
100217461	0
67702	398
263764	0
619289	0
100042065	0
73426	0
26921	71
100047133	0
16178	0
16177	75
107527	0
17082	0
16182	8
16174	2
110895	0
226999	0
211798	10
381339	0
74897	0
66297	0
18993	0
73100	0
69527	52
93690	0
73122	93
98404	41
14200	0
666642	46
17974	8
100861934	0
78896	0
67883	16
100503192	0
22019	70
433294	0
75623	15
72050	27
246229	24
22592	29
100861960	0
403183	0
70676	3
75066	0
12825	196
12832	12
73674	25
433297	0
53945	712
100042453	0
212225	0
227058	0
100101919	0
227059	12
442837	0
56363	0
442821	0
20324	62
109019	28
100045066	2
17912	650
20849	2
100042634	0
20846	223
14660	16
17936	233
227094	6
98682	15
16329	14
227095	158
67080	0
17700	0
69397	0
227099	18
227102	85
72085	52
70396	107
627872	0
98267	21
329152	12
78016	0
98488	21
241062	34
329154	27
81898	336
67876	50
15510	1106
15528	328
19070	71
74013	12
212679	4
75388	0
227120	8
626009	0
329159	0
71066	0
212712	0
329160	0
407809	0
75323	0
73467	61
68736	10
68115	42
67198	16
51960	14
68549	0
11761	445
71724	578
71872	0
213043	0
66882	330
12747	242
70225	44
65102	40
18393	34
100504455	0
213056	47
66495	148
100504501	2
108812	0
12633	224
12370	71
70827	62
227154	118
73463	0
381259	12
227157	5
74018	365
271697	0
14369	58
381260	0
22218	69
55989	46
100217459	0
100217421	0
12168	12
100504533	9
72750	14
70375	0
57750	23
241066	4
100504573	0
269198	28
77951	36
329165	8
77300	157
100043027	0
100042533	0
12487	2
100504618	0
12477	0
54167	0
77341	0
72823	2
18187	26
74992	0
227195	36
100380944	2
100504668	0
227197	351
55949	381
100217464	0
241070	0
73884	0
23792	45
241073	0
76668	0
75619	34
74426	0
433315	0
93691	2
12912	37
67099	24
69941	2
227210	9
14367	13
241075	8
70861	0
667276	0
12968	0
12967	0
12966	0
12965	0
12964	0
98303	0
15926	1359
18711	46
213527	0
12969	0
17756	0
100038569	0
329178	0
66646	76
68691	11
11363	636
100862127	0
17901	0
14768	72
227231	7229
13869	0
100502712	0
22779	0
66722	0
320460	0
12021	2
74591	0
108147	66
14268	3350
100042814	0
667931	61
71134	0
433319	0
381269	133
111175	662
271711	0
22596	72
381270	0
54380	51
319695	0
19981	116
16008	1058
16011	20
21958	0
69449	0
723792	0
78718	0
109198	0
21961	193
435626	0
100862357	0
12765	6
227288	0
100316687	0
76709	379
227289	0
227290	407
56695	233
69660	155
241112	0
18173	21
227292	361
387219	0
22349	0
319651	19
58184	51
18802	0
77264	20
66821	42
57751	51
269209	0
67534	24
104086	1411
241113	0
22420	0
22409	0
12570	0
260298	0
12958	0
723900	0
241116	0
16147	2
75570	2
22626	2
69171	133
227298	489
68818	59
74104	220
245860	202
52231	56
74577	6
20872	254
22145	502
381272	0
56812	174
19275	2
19711	0
13437	174
13346	28
100503248	0
11790	4
69080	53
