Geneid	HISAT2 on data 14: aligned reads (BAM)
497097	4
100503874	0
100038431	0
19888	0
20671	74
27395	1159
18777	2421
100503730	14
21399	981
58175	0
108664	1235
18387	0
226304	0
12421	764
620393	0
240690	0
319263	2239
71096	0
59014	527
76187	2099
72481	21
76982	6
17864	22
70675	793
73331	27
170755	577
620986	7
240697	17
73824	145
266793	10
100038398	82
100039596	23
69312	10
26754	1460
211660	258
211673	1841
329093	0
109294	195
320492	0
329096	0
240725	84
240726	6
383491	0
17978	1161
72265	3337
212442	3259
381246	292
433273	0
14048	2
17681	37
277328	0
98741	2
21749	224
226866	3
665434	1
75799	0
19989	6722
98711	493
29819	144
66799	476
67923	708
329101	0
70397	887
17087	127
57339	2
14545	0
94227	10
83691	2
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	189
75028	0
387202	0
723817	0
16171	0
257630	2
17215	380
77741	0
74229	14
71877	18
170829	58
75712	83
14859	26590
241041	0
368204	0
433278	0
98582	0
226922	6
116837	0
66755	0
387225	0
723964	0
70155	455
100503399	0
280645	12
98366	336
68002	360
68187	297
12839	0
12823	1
68421	1473
210933	0
100504323	0
210940	0
433281	402
665903	22
210962	0
623924	0
791350	0
213109	1244
19243	1001
70988	0
266744	2
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	133
67503	8
19335	186
213539	40
98403	272
433287	2
320705	16
13518	1769
100628580	0
69668	350
27993	508
52318	139
19253	251
21755	0
12627	0
21756	0
211383	0
241051	0
226970	19
214469	1778
226971	1176
50785	2827
320011	2154
214854	986
214855	163
226976	1318
214895	427
94220	136
94218	347
78321	115
109346	73
20353	292
381337	2
12859	3407
226977	1195
71166	0
22637	348
56030	800
70853	10
12790	0
269180	631
76178	2487
67387	745
269181	302
77633	4
100861893	0
72097	4
100503734	0
211484	42
623661	138
69028	274
107734	924
332427	0
69541	0
98258	864
226982	1824
56210	166
16764	14
381338	0
98388	12
100503760	0
433292	0
68833	421
18143	56
114641	4589
54610	565
52846	418
100217461	22
67702	3141
263764	22
619289	0
100042065	0
73426	0
26921	938
100047133	0
16178	14
16177	1089
107527	27
17082	8
16182	94
16174	89
110895	0
226999	0
211798	86
381339	0
74897	0
66297	0
18993	0
73100	0
69527	412
93690	2
73122	801
98404	287
14200	37
666642	274
17974	125
100861934	0
78896	2
67883	215
100503192	4
22019	1066
433294	0
75623	70
72050	191
246229	268
22592	287
100861960	0
403183	0
70676	12
75066	0
12825	7011
12832	533
73674	269
433297	11
53945	8242
100042453	0
212225	0
227058	3
100101919	1
227059	247
442837	0
56363	0
442821	2
20324	425
109019	1089
100045066	32
17912	3929
20849	125
100042634	1
20846	18806
14660	598
17936	1672
227094	77
98682	328
16329	305
227095	990
67080	0
17700	0
69397	2
227099	96
227102	530
72085	320
70396	906
627872	0
98267	832
329152	132
78016	0
98488	258
241062	488
329154	418
81898	3209
67876	242
15510	7722
15528	2444
19070	523
74013	45
212679	28
75388	0
227120	60
626009	2
329159	0
71066	0
212712	14
329160	2
407809	0
75323	2
73467	378
68736	142
68115	322
67198	311
51960	196
68549	47
11761	3838
71724	4385
71872	0
213043	4
66882	3155
12747	1451
70225	247
65102	333
18393	170
100504455	3
213056	379
66495	1037
100504501	78
108812	11
12633	2033
12370	942
70827	985
227154	898
73463	0
381259	125
227157	31
74018	2223
271697	4
14369	583
381260	4
22218	753
55989	395
100217459	0
100217421	0
12168	183
100504533	82
72750	270
70375	0
57750	245
241066	44
100504573	0
269198	315
77951	285
329165	153
77300	1627
100043027	2
100042533	6
12487	69
100504618	0
12477	36
54167	142
77341	0
72823	27
18187	614
74992	1
227195	629
100380944	10
100504668	13
227197	1898
55949	3643
100217464	3
241070	0
73884	0
23792	426
241073	0
76668	0
75619	352
74426	2
433315	0
93691	36
12912	555
67099	225
69941	14
227210	146
14367	185
241075	188
70861	1
667276	0
12968	0
12967	0
12966	0
12965	0
12964	0
98303	1
15926	8406
18711	646
213527	0
12969	0
17756	20
100038569	0
329178	0
66646	672
68691	260
11363	3312
100862127	0
17901	0
14768	538
227231	65062
13869	6
100502712	0
22779	57
66722	0
320460	0
12021	31
74591	0
108147	663
14268	25091
100042814	2
667931	304
71134	0
433319	0
381269	575
111175	3948
271711	17
22596	442
381270	0
54380	365
319695	0
19981	2387
16008	9133
16011	51
21958	0
69449	0
723792	0
78718	0
109198	4
21961	1663
435626	3
100862357	0
12765	26
227288	0
100316687	0
76709	4172
227289	2
227290	3042
56695	1535
69660	1325
241112	4
18173	1849
227292	2927
387219	1
22349	6
319651	229
58184	412
18802	2
77264	186
66821	283
57751	398
269209	12
67534	196
104086	8169
241113	5
22420	7
22409	0
12570	0
260298	0
12958	0
723900	0
241116	0
16147	0
75570	67
22626	4
69171	1368
227298	3379
68818	424
74104	1264
245860	1264
52231	339
74577	115
20872	1354
22145	2560
381272	4
56812	1399
19275	8
19711	0
13437	1095
13346	266
100503248	0
11790	87
69080	428
100862164	0
241118	1
74241	138
319998	4
98733	63
16322	0
71728	356
20536	23
100862333	0
620079	0
13838	12
18505	0
100039210	0
433323	6
