Geneid	HISAT2 on Control3 (BAM)
497097	1
100503874	0
100038431	0
19888	0
20671	85
27395	3029
18777	5571
100503730	4
21399	1799
58175	2
108664	1927
18387	0
226304	0
12421	1359
620393	0
240690	2
319263	4192
71096	0
59014	677
76187	4413
72481	24
76982	0
17864	21
70675	1052
73331	80
170755	791
620986	3
240697	64
73824	346
266793	2
100038398	843
100039596	219
69312	35
26754	3087
211660	628
211673	3005
329093	0
109294	266
320492	0
329096	0
240725	33
240726	0
383491	0
17978	1876
72265	5244
212442	9160
381246	583
433273	0
14048	0
17681	27
277328	0
98741	4
21749	465
226866	6
665434	0
75799	0
19989	11580
98711	1154
29819	301
66799	800
67923	1320
329101	0
70397	1875
17087	148
57339	20
14545	0
94227	35
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	428
75028	0
387202	0
723817	0
16171	0
257630	0
17215	230
77741	2
74229	18
71877	21
170829	162
75712	262
14859	74375
241041	6
368204	3
433278	0
98582	0
226922	8
116837	0
66755	0
387225	0
723964	2
70155	684
100503399	0
280645	23
98366	525
68002	713
68187	604
12839	0
12823	1
68421	2623
210933	0
100504323	0
210940	0
433281	1117
665903	30
210962	0
623924	0
791350	0
213109	1878
19243	1428
70988	0
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	148
67503	14
19335	409
213539	60
98403	437
433287	2
320705	8
13518	2130
100628580	0
69668	464
27993	1043
52318	240
19253	91
21755	0
12627	0
21756	0
211383	0
241051	0
226970	8
214469	2834
226971	1085
50785	4775
320011	2920
214854	400
214855	54
226976	2159
214895	717
94220	175
94218	718
78321	128
109346	178
20353	153
381337	2
12859	8078
226977	2311
71166	0
22637	752
56030	1013
70853	19
12790	0
269180	873
76178	3774
67387	1322
269181	62
77633	4
100861893	0
72097	2
100503734	0
211484	50
623661	292
69028	368
107734	2163
332427	0
69541	0
98258	1684
226982	2361
56210	302
16764	18
381338	0
98388	8
100503760	0
433292	0
68833	748
18143	117
114641	6334
54610	688
52846	752
100217461	6
67702	4958
263764	0
619289	2
100042065	0
73426	0
26921	1003
100047133	0
16178	2
16177	986
107527	8
17082	8
16182	21
16174	2
110895	0
226999	0
211798	119
381339	0
74897	0
66297	0
18993	0
73100	0
69527	1040
93690	0
73122	1457
98404	560
14200	12
666642	427
17974	80
100861934	0
78896	4
67883	325
100503192	4
22019	1393
433294	0
75623	231
72050	350
246229	536
22592	495
100861960	0
403183	0
70676	18
75066	2
12825	1676
12832	152
73674	500
433297	4
53945	10052
100042453	0
212225	0
227058	5
100101919	2
227059	215
442837	0
56363	0
442821	0
20324	827
109019	542
100045066	20
17912	8792
20849	15
100042634	0
20846	2329
14660	237
17936	2857
227094	39
98682	443
16329	387
227095	2500
67080	2
17700	1
69397	0
227099	273
227102	1289
72085	933
70396	2011
627872	0
98267	369
329152	187
78016	4
98488	481
241062	493
329154	219
81898	4441
67876	583
15510	17405
15528	4544
19070	1070
74013	66
212679	38
75388	2
227120	38
626009	0
329159	0
71066	0
212712	9
329160	0
407809	0
75323	0
73467	897
68736	378
68115	736
67198	246
51960	182
68549	8
11761	4733
71724	8323
71872	0
213043	0
66882	5152
12747	3384
70225	451
65102	634
18393	249
100504455	0
213056	857
66495	2196
100504501	56
108812	8
12633	2758
12370	1278
70827	969
227154	1743
73463	0
381259	166
227157	121
74018	5290
271697	6
14369	722
381260	0
22218	1166
55989	732
100217459	0
100217421	2
12168	165
100504533	88
72750	284
70375	0
57750	452
241066	69
100504573	2
269198	389
77951	352
329165	170
77300	2521
100043027	7
100042533	11
12487	28
