Geneid	HISAT2 on data 7: aligned reads (BAM)
100287102	0
653635	165
102466751	29
100302278	0
645520	0
79501	1
729737	605
102725121	1
102723897	163
102465909	1
729759	0
100132287	1
105378947	3
101928626	2
102465432	10
81399	0
100133331	53
100288069	8
400728	4
79854	4
643837	224
284593	0
100130417	2
148398	4
26155	772
339451	44
84069	20
84808	2
57801	28
9636	7939
375790	6530
105369174	68
105378948	26
401934	0
54991	227
254099	0
406984	0
406983	0
554210	0
254173	2
8784	78
7293	75
51150	3887
126792	290
388581	7
118424	875
6339	42
116983	755
102465434	0
126789	108
54973	956
102465435	0
80772	607
83756	26
1855	270
102466740	0
54587	19
54998	924
81669	1964
148413	214
55052	912
441869	0
643965	0
102724312	0
64856	4
219293	0
83858	243
55210	273
339453	3
29101	1623
643988	241
142678	290
8510	0
984	948
728661	1259
8511	0
728642	352
9906	110
65220	5408
2782	11667
105378949	2
163688	2
339456	2
85452	0
2563	0
5590	10
100506504	3
199990	260
105378592	3
6497	1050
105378594	0
79906	31
100129534	13
11079	2485
5192	186
9651	3
55229	1
388585	0
115110	0
8764	39
100996583	0
127281	3
79258	0
100287898	2
140625	0
440556	2
63976	20
100422968	0
27237	8
1953	372
693135	0
127262	1401
49856	307
7161	46
57212	252
148870	2
388588	0
57470	815
9731	774
1677	193
339448	540
100133612	26
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	171
8514	8812
26038	4
6146	2348
102724450	0
388591	30
23463	1017
148645	13
390992	0
387509	79
11332	1498
54626	118
83715	6
100422975	0
8718	89
57449	4
79707	289
80835	9
3104	947
9903	4448
148479	561
90326	232
55735	708
100505887	0
23261	293
9341	2516
8863	1714
10911	71
3604	508
11315	2738
54206	364
102724539	0
50651	4
473	2926
102724552	25
2023	69389
102465436	0
100505975	4
765	0
155184	0
6518	623
80045	119
407040	3
9563	3105
80176	1900
100506022	2
84275	109
199953	208
5293	3609
644997	0
101929074	6
22883	1350
56998	456
84328	379
64802	466
100847055	0
105376719	0
116362	13
10277	2165
23095	3863
100422970	0
5226	61812
100526739	0
378708	2
1325	3
1676	473
5195	748
54897	62
148345	133
23435	2234
10747	47
6723	613
5394	1783
2475	1975
100873935	0
10218	0
29914	440
57540	0
101929181	0
26232	3
93611	211
26270	2618
10459	527
374946	15
57085	2893
284498	0
102724659	0
4524	2275
1185	1247
100379251	14
4878	21
4879	8
26829	0
90231	2359
5351	4113
9927	3515
60672	1189
102466982	0
943	132
102465836	0
7133	7302
100616438	0
55187	2179
677885	4
9249	3304
102466722	2
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	31
7799	1071
23254	10
200197	32
55092	1108
727684	0
114827	58
101927417	6
79180	5064
11330	12
63036	1
51032	2
842	320
23341	389
79814	36
84301	384
6248	221
23207	10998
284723	173
388595	0
54751	604
440567	189
729614	37
23013	3226
7709	886
101928566	2
149563	0
27129	28
1187	39
1188	0
348487	0
1969	0
128272	66
101927546	0
79363	20
54455	793
26099	4015
374955	1
55707	5096
114819	86
26871	0
100126512	0
100126517	0
102724970	0
100133301	0
7195	0
55672	216
84809	442
11209	8
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	2
100500876	0
100189298	0
7193	0
791226	0
9696	258
26870	0
4237	0
23400	1619
6390	3301
11240	311
29943	0
51702	0
100616188	0
23569	3
353238	15
55920	4504
55160	2241
81569	0
101927876	0
84966	0
127707	0
5081	0
80834	0
8659	1230
100616120	0
100302276	0
126917	130
23352	14492
23065	1312
51154	850
246181	23
22977	17
100506730	29
8574	809
54896	1730
832	9022
100532736	0
440574	642
644068	8
4681	0
3362	6
255104	692
54546	0
23252	231
