Geneid	HISAT2 on data 12: aligned reads (BAM)
100287102	0
653635	317
102466751	23
100302278	0
645520	0
79501	0
729737	2339
102725121	0
102723897	224
102465909	0
729759	0
100132287	2
105378947	0
101928626	3
102465432	31
81399	0
100133331	133
100288069	45
400728	20
79854	44
643837	503
284593	0
100130417	0
148398	2
26155	2663
339451	300
84069	35
84808	12
57801	21
9636	1470
375790	7185
105369174	60
105378948	52
401934	0
54991	577
254099	0
406984	0
406983	0
554210	0
254173	4
8784	144
7293	109
51150	9367
126792	605
388581	5
118424	1532
6339	100
116983	1981
102465434	0
126789	222
54973	2934
102465435	0
80772	521
83756	34
1855	722
102466740	0
54587	264
54998	1477
81669	8626
148413	567
55052	2245
441869	2
643965	0
102724312	2
64856	18
219293	10
83858	990
55210	874
339453	4
29101	3455
643988	630
142678	708
8510	0
984	2163
728661	3213
8511	0
728642	1063
9906	652
65220	15717
2782	26356
105378949	4
163688	27
339456	4
85452	2
2563	0
5590	38
100506504	12
199990	526
105378592	20
6497	2754
105378594	7
79906	100
100129534	29
11079	6896
5192	419
9651	11
55229	4
388585	0
115110	7
8764	25
100996583	0
127281	3
79258	0
100287898	9
140625	0
440556	1
63976	2
100422968	0
27237	54
1953	1931
693135	0
127262	3990
49856	871
7161	113
57212	1164
148870	0
388588	8
57470	2198
9731	2370
1677	627
339448	1584
100133612	26
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	897
8514	26538
26038	0
6146	7948
102724450	0
388591	71
23463	4909
148645	16
390992	0
387509	288
11332	3177
54626	274
83715	13
100422975	0
8718	151
57449	12
79707	934
80835	6
3104	2802
9903	3958
148479	1283
90326	423
55735	2664
100505887	0
23261	869
9341	10345
8863	7011
10911	32
3604	1170
11315	6798
54206	264
102724539	0
50651	7
473	6178
102724552	27
2023	103166
102465436	3
100505975	12
765	5
155184	0
6518	3169
80045	149
407040	11
9563	10175
80176	1359
100506022	30
84275	392
199953	793
5293	9664
644997	21
101929074	2
22883	7434
56998	1603
84328	1207
64802	1382
100847055	1
105376719	5
116362	61
10277	5019
23095	11919
100422970	0
5226	53137
100526739	0
378708	25
1325	8
1676	1249
5195	1617
54897	254
148345	761
23435	8989
10747	323
6723	1423
5394	5595
2475	6397
100873935	1
10218	0
29914	1216
57540	0
101929181	0
26232	8
93611	822
26270	2258
10459	1332
374946	151
57085	4844
284498	0
102724659	0
4524	7730
1185	4096
100379251	94
4878	70
4879	0
26829	1
90231	5086
5351	10274
9927	11438
60672	2659
102466982	0
943	133
102465836	0
7133	24309
100616438	0
55187	9052
677885	7
9249	4196
102466722	2
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	212
7799	4060
23254	47
200197	122
55092	3628
727684	7
114827	104
101927417	8
79180	11818
11330	4
63036	0
51032	6
842	1056
23341	2101
79814	99
84301	917
6248	705
23207	17118
284723	706
388595	1
54751	283
440567	430
729614	169
23013	9934
7709	1679
101928566	0
149563	0
27129	20
1187	14
1188	0
348487	0
1969	29
128272	312
101927546	0
79363	76
54455	2377
26099	8237
374955	5
55707	13836
114819	404
26871	0
100126512	1
100126517	0
102724970	0
100133301	0
7195	0
55672	1019
84809	663
11209	24
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	7
100500876	0
100189298	0
7193	0
791226	0
9696	485
26870	0
4237	0
23400	3452
6390	6827
11240	1975
29943	0
51702	0
100616188	0
23569	2
353238	4
55920	11786
55160	10986
81569	0
101927876	0
84966	0
127707	14
5081	0
80834	0
8659	2459
100616120	0
100302276	3
126917	860
23352	25183
23065	6470
51154	2663
246181	134
22977	373
100506730	548
8574	1874
54896	4613
832	28512
100532736	0
440574	2277
644068	38
4681	2
3362	2
255104	1864
54546	0
23252	869
30814	0
5320	0
5322	0
26279	248
64600	0
391013	0
127733	10
101928017	6
127731	2
339505	0
55450	10
79594	3472
163933	0
978	1308
65018	1836
102464833	0
100861548	595
1650	22265
57576	472
400745	2
50809	9572
8672	6035
100302155	0
1889	1826
100506801	8
84224	284
249	25
5909	266
84196	5053
401944	11
3339	440
23436	0
10136	0
101928043	41
29092	803
998	23217
54361	6
100616433	0
9923	6477
2046	2
102466615	3
712	67174
714	52597
713	52165
2048	3340
100616391	0
100422914	0
646262	0
729059	2
23028	2836
100422866	0
100616177	0
7798	4499
3352	0
100996511	101
10236	7852
80818	968
148898	97
6920	7
55616	24
1870	1479
101928163	0
3399	1422
259283	2
6135	22629
6924	4292
100506963	35
57095	4195
11313	3665
2582	2515
3155	3378
2517	109510
1269	56
100616492	0
55629	5513
10772	6132
127294	0
58985	0
163702	1129
284632	0
57822	5
90529	236
57185	2114
100750325	20
11123	1361
100506985	136
400746	0
10250	6231
25932	12225
864	3209
102465437	0
100616365	1
25949	2754
57035	4624
6007	47
23585	3645
6006	23
55219	2248
26119	2436
57134	1206
57190	12974
56181	1642
646471	381
79000	142
164091	383
3925	5303
100500808	0
5051	1953
2134	2
7780	20
105376910	0
84676	0
149420	1282
79927	0
105376887	0
51042	231
10256	8
378807	0
101928303	18
64793	2298
83442	27490
91544	4247
1043	25741
55057	29
257101	129
79727	0
79947	4989
101928324	31
3151	6918
6195	17853
100302190	1
101928728	97
8289	8560
55650	1038
84243	3396
2810	6
54707	925
63906	1297
10726	3266
8431	0
126695	4
388610	8
115572	10
6548	4434
23038	5103
84065	1312
644961	96
100887744	0
84958	398
9064	2266
8547	6
388611	0
2827	58
10163	23205
27245	810
2268	22001
2537	25851
199870	934
23673	5675
5511	2730
677774	0
9473	12882
6118	3105
27293	3
55113	703
2140	2859
5724	33219
22826	6545
93974	2866
83667	1816
54797	1114
65979	3338
1104	1718
8420	1198
6080	34
26768	37
54952	1219
85028	1849
692212	59
677838	388
677825	246
692073	222
115273	2364
6883	1483
26824	0
10691	608
105376911	3
51441	5011
4985	0
2035	6378
399474	4
6429	4947
51102	628
10076	13
101928460	0
101929406	0
4146	1
100129196	43
7805	253012
100616164	29
400748	0
9672	18097
9698	7608
692234	0
692235	2
692200	0
79570	0
