Geneid	HISAT2 on data 360: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	18
20671	0
27395	2791
18777	3897
100503730	8
21399	4257
58175	15
108664	21833
18387	0
226304	2
12421	3198
620393	0
240690	128
319263	4829
71096	0
59014	2958
76187	212
72481	483
76982	23
17864	62
70675	5693
73331	9
170755	4862
620986	62
240697	2
73824	651
266793	14
100038398	49
100039596	9
69312	0
26754	6278
211660	1340
211673	9308
329093	0
109294	1
320492	0
329096	0
240725	5
240726	85
383491	1
17978	4979
72265	15074
212442	1746
381246	0
433273	10
14048	88
17681	0
277328	0
98741	0
21749	1043
226866	9
665434	0
75799	0
19989	52291
98711	408
29819	846
66799	2704
67923	3319
329101	0
70397	2217
17087	1387
57339	21
14545	14
94227	2
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	2
75028	0
387202	0
723817	0
16171	4
257630	4
17215	5660
77741	0
74229	128
71877	57
170829	384
75712	130
14859	3564
241041	0
368204	0
433278	0
98582	0
226922	228
116837	0
66755	0
387225	0
723964	0
70155	1221
100503399	0
280645	137
98366	2700
68002	1256
68187	1239
12839	0
12823	10
68421	10576
210933	0
100504323	0
210940	0
433281	0
665903	62
210962	0
623924	0
791350	0
213109	6497
19243	2164
70988	0
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	2
19076	1288
67503	10
19335	617
213539	119
98403	1396
433287	4
320705	118
13518	1080
100628580	2
69668	3760
27993	5209
52318	1135
19253	7216
21755	8
12627	0
21756	0
211383	0
241051	2
226970	404
214469	16782
226971	15398
50785	9141
320011	12066
214854	4826
214855	3505
226976	6605
214895	2751
94220	1081
94218	2236
78321	465
109346	618
20353	570
381337	1
12859	9046
226977	7694
71166	4
22637	45
56030	10547
70853	42
12790	0
269180	5034
76178	19877
67387	3615
269181	5955
77633	25
100861893	0
72097	34
100503734	0
211484	525
623661	265
69028	2952
107734	5113
332427	0
69541	0
98258	6992
226982	16239
56210	1106
16764	3813
381338	2
98388	658
100503760	11
433292	0
68833	3702
18143	11
114641	26549
54610	1912
52846	2738
100217461	76
67702	19892
263764	788
619289	0
100042065	0
73426	0
26921	8838
100047133	3
16178	29
16177	44
107527	26
17082	3070
16182	158
16174	14
110895	430
226999	0
211798	763
381339	0
74897	0
66297	0
18993	0
73100	2
69527	2785
93690	0
73122	5853
98404	1543
14200	2
666642	1263
17974	3144
100861934	5
78896	4
67883	1623
100503192	3
22019	7715
433294	2
75623	662
72050	1065
246229	1048
22592	1126
100861960	0
403183	0
70676	4
75066	0
12825	80
12832	32
73674	3333
433297	559
53945	5959
100042453	0
212225	0
227058	0
100101919	12
227059	1511
442837	0
56363	2
442821	0
20324	0
109019	4066
100045066	39
17912	1350
20849	664
100042634	1
20846	40948
14660	7232
17936	6254
227094	1802
98682	4965
16329	894
227095	972
67080	0
17700	0
69397	0
227099	472
227102	2197
72085	440
70396	6858
627872	0
98267	10282
329152	53
78016	20
98488	1546
241062	2522
329154	5941
81898	27173
67876	1835
15510	16852
15528	5191
19070	3198
74013	801
212679	685
75388	7
227120	34
626009	10
329159	28
71066	0
212712	159
329160	6
407809	0
75323	6
73467	486
68736	604
68115	1384
67198	374
51960	1538
68549	203
11761	416
71724	0
71872	2
213043	15
66882	20096
12747	8983
70225	1535
65102	1611
18393	2641
100504455	4
213056	1114
66495	2797
100504501	324
108812	2
12633	13581
12370	10183
70827	6174
227154	1995
73463	0
381259	1352
227157	15
74018	4718
271697	4
14369	5662
381260	73
22218	4272
55989	4378
100217459	2
100217421	0
12168	768
100504533	235
72750	3744
70375	17
57750	2284
241066	181
100504573	29
269198	887
77951	1762
329165	905
77300	1875
100043027	6
100042533	0
12487	168
100504618	0
12477	209
54167	56
77341	0
72823	155
18187	13304
74992	10
227195	5178
100380944	88
100504668	52
227197	5669
55949	25108
100217464	47
241070	2
73884	0
23792	108
241073	0
76668	0
75619	2024
74426	2
433315	0
93691	329
12912	3747
67099	1665
69941	52
227210	930
14367	761
241075	9797
70861	0
667276	0
12968	1
12967	0
12966	0
12965	0
12964	0
98303	2
15926	36365
18711	6283
213527	2
12969	0
17756	4
100038569	0
329178	0
66646	2634
68691	881
11363	21396
100862127	3
17901	0
14768	2072
227231	0
13869	0
100502712	0
22779	153
66722	0
320460	0
12021	325
74591	0
108147	6670
14268	128062
100042814	10
667931	0
71134	8
433319	0
381269	1150
111175	344
271711	4
22596	962
381270	10
54380	3061
319695	0
19981	14413
16008	0
16011	0
21958	0
69449	0
723792	0
78718	0
109198	0
21961	3767
435626	5
100862357	0
12765	2
227288	0
100316687	0
76709	54105
227289	2
227290	10700
56695	1146
69660	8995
241112	54
18173	68548
227292	6971
387219	2
22349	13
319651	2155
58184	5886
18802	21
77264	2609
66821	1308
57751	3064
269209	204
67534	885
104086	809
