Geneid	HISAT2 on data 475: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	137
20671	2
27395	2155
18777	3234
100503730	16
21399	3564
58175	7
108664	8017
18387	0
226304	0
12421	4631
620393	0
240690	76
319263	6735
71096	1
59014	2446
76187	298
72481	257
76982	61
17864	20
70675	3829
73331	5
170755	5619
620986	47
240697	2
73824	625
266793	21
100038398	41
100039596	4
69312	3
26754	3729
211660	1771
211673	9467
329093	0
109294	0
320492	0
329096	0
240725	8
240726	83
383491	0
17978	5342
72265	14605
212442	1676
381246	0
433273	5
14048	72
17681	2
277328	0
98741	0
21749	1314
226866	9
665434	0
75799	0
19989	76587
98711	691
29819	655
66799	3063
67923	2616
329101	0
70397	1854
17087	1766
57339	30
14545	18
94227	4
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	0
75028	0
387202	0
723817	0
16171	0
257630	2
17215	4523
77741	2
74229	138
71877	78
170829	235
75712	130
14859	856
241041	0
368204	0
433278	0
98582	0
226922	222
116837	0
66755	0
387225	0
723964	0
70155	2595
100503399	0
280645	131
98366	2148
68002	1270
68187	1552
12839	0
12823	19
68421	10551
210933	0
100504323	0
210940	4
433281	0
665903	74
210962	0
623924	0
791350	0
213109	7423
19243	1527
70988	0
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	917
67503	23
19335	637
213539	58
98403	2018
433287	3
320705	112
13518	593
100628580	0
69668	4483
27993	3991
52318	1372
19253	13528
21755	13
12627	0
21756	0
211383	0
241051	0
226970	774
214469	26020
226971	14912
50785	8429
320011	14799
214854	14838
214855	4218
226976	6815
214895	2183
94220	1127
94218	4110
78321	875
109346	621
20353	723
381337	4
12859	5986
226977	6249
71166	0
22637	186
56030	11530
70853	16
12790	0
269180	7571
76178	10937
67387	5355
269181	8979
77633	30
100861893	0
72097	82
100503734	2
211484	777
623661	253
69028	1059
107734	3632
332427	0
69541	0
98258	5309
226982	12926
56210	1258
16764	4163
381338	19
98388	1427
100503760	8
433292	0
68833	3601
18143	5
114641	35649
54610	2059
52846	2716
100217461	97
67702	17647
263764	722
619289	4
100042065	0
73426	0
26921	11433
100047133	0
16178	17
16177	56
107527	22
17082	7276
16182	493
16174	45
110895	360
226999	10
211798	482
381339	0
74897	0
66297	0
18993	0
73100	0
69527	2802
93690	3
73122	5261
98404	1890
14200	8
666642	1671
17974	1695
100861934	0
78896	0
67883	1328
100503192	3
22019	8733
433294	6
75623	592
72050	1137
246229	990
22592	1500
100861960	0
403183	0
70676	0
75066	0
12825	56
12832	46
73674	2334
433297	73
53945	1607
100042453	1
212225	0
227058	4
100101919	7
227059	2172
442837	0
56363	4
442821	0
20324	2
109019	2680
100045066	36
17912	1207
20849	741
100042634	3
20846	14633
14660	11348
17936	6547
227094	3023
98682	8171
16329	842
227095	919
67080	5
17700	0
69397	0
227099	434
227102	2323
72085	573
70396	8482
627872	2
98267	15966
329152	45
78016	38
98488	1164
241062	4151
329154	10554
81898	32471
67876	1268
15510	9837
15528	3725
19070	3012
74013	1050
212679	584
75388	19
227120	54
626009	5
329159	4
71066	0
212712	202
329160	18
407809	0
75323	2
73467	570
68736	531
68115	1035
67198	6
51960	1754
68549	122
11761	104
71724	0
71872	0
213043	0
66882	14490
12747	19833
70225	1510
65102	1230
18393	1944
100504455	8
213056	1059
66495	2880
100504501	728
108812	15
12633	12980
12370	7182
70827	6210
227154	2094
73463	0
381259	956
227157	19
74018	4707
271697	5
14369	4616
381260	317
22218	4550
55989	3228
100217459	1
100217421	0
12168	561
100504533	567
72750	5759
70375	31
57750	1706
241066	216
100504573	46
269198	574
77951	1909
329165	1665
77300	1936
100043027	6
100042533	0
12487	444
100504618	1
12477	278
54167	155
77341	0
72823	1257
18187	8295
74992	17
227195	5551
100380944	106
100504668	65
227197	4815
55949	39537
100217464	67
241070	0
73884	0
23792	105
241073	0
76668	0
75619	1372
74426	0
433315	0
93691	196
12912	6575
67099	2019
69941	18
227210	579
14367	719
241075	9345
70861	0
667276	0
12968	0
12967	0
12966	0
12965	1
12964	0
98303	15
15926	38786
18711	6600
213527	4
12969	0
17756	7
100038569	0
329178	4
66646	2350
68691	1536
11363	8174
100862127	0
17901	0
14768	3414
227231	0
13869	0
100502712	0
22779	443
66722	0
320460	0
12021	173
74591	0
108147	4606
14268	589334
100042814	17
667931	0
71134	130
433319	1
381269	753
111175	392
271711	0
22596	900
381270	1
54380	3346
319695	2
19981	23796
16008	4
16011	6
21958	0
69449	0
723792	0
78718	0
109198	0
21961	7137
435626	14
100862357	0
12765	2
227288	1
100316687	0
76709	45617
227289	0
227290	14480
56695	1444
69660	12120
241112	82
18173	50447
227292	12614
387219	10
22349	18
319651	1831
58184	3846
18802	38
77264	2417
66821	1070
57751	3055
269209	131
67534	835
104086	6958
