Geneid	HISAT2 on data 473: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	37
20671	0
27395	2968
18777	4615
100503730	13
21399	4085
58175	4
108664	23968
18387	0
226304	0
12421	3648
620393	0
240690	163
319263	3915
71096	0
59014	2600
76187	161
72481	199
76982	22
17864	61
70675	5947
73331	8
170755	5247
620986	29
240697	7
73824	1046
266793	12
100038398	32
100039596	4
69312	0
26754	7859
211660	1289
211673	9584
329093	0
109294	0
320492	0
329096	0
240725	2
240726	181
383491	0
17978	5297
72265	15043
212442	2072
381246	0
433273	7
14048	64
17681	2
277328	1
98741	0
21749	916
226866	4
665434	0
75799	0
19989	42879
98711	450
29819	681
66799	2712
67923	3628
329101	0
70397	2161
17087	1461
57339	4
14545	0
94227	0
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	1
241035	0
75028	0
387202	0
723817	0
16171	0
257630	0
17215	4656
77741	0
74229	61
71877	36
170829	345
75712	185
14859	3407
241041	0
368204	0
433278	0
98582	0
226922	94
116837	0
66755	0
387225	0
723964	0
70155	1907
100503399	0
280645	118
98366	3034
68002	1022
68187	1175
12839	0
12823	23
68421	10733
210933	0
100504323	0
210940	0
433281	0
665903	52
210962	0
623924	0
791350	0
213109	6796
19243	2107
70988	0
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	1173
67503	4
19335	508
213539	204
98403	1397
433287	2
320705	229
13518	1180
100628580	9
69668	3607
27993	5107
52318	1190
19253	6756
21755	5
12627	0
21756	0
211383	0
241051	0
226970	390
214469	15729
226971	15965
50785	12436
320011	14441
214854	11286
214855	2987
226976	5905
214895	3108
94220	938
94218	1935
78321	392
109346	552
20353	765
381337	0
12859	9190
226977	7491
71166	20
22637	69
56030	9191
70853	30
12790	0
269180	5073
76178	20095
67387	3525
269181	4649
77633	25
100861893	0
72097	20
100503734	0
211484	657
623661	271
69028	2507
107734	4729
332427	0
69541	0
98258	7697
226982	19103
56210	1072
16764	1413
381338	0
98388	222
100503760	0
433292	0
68833	3706
18143	8
114641	21766
54610	2850
52846	2686
100217461	61
67702	17848
263764	898
619289	0
100042065	0
73426	0
26921	9528
100047133	2
16178	35
16177	77
107527	60
17082	2934
16182	238
16174	29
110895	244
226999	0
211798	793
381339	0
74897	0
66297	0
18993	0
73100	0
69527	2261
93690	0
73122	5449
98404	1403
14200	8
666642	1
17974	4242
100861934	10
78896	0
67883	1547
100503192	4
22019	9388
433294	2
75623	653
72050	1216
246229	1068
22592	960
100861960	0
403183	0
70676	0
75066	0
12825	105
12832	27
73674	3262
433297	271
53945	4226
100042453	0
212225	0
227058	0
100101919	9
227059	3298
442837	0
56363	0
442821	0
20324	0
109019	6084
100045066	82
17912	1300
20849	1572
100042634	1
20846	45022
14660	8165
17936	7092
227094	928
98682	5781
16329	1048
227095	1543
67080	0
17700	0
69397	0
227099	466
227102	1982
72085	331
70396	6342
627872	0
98267	7003
329152	45
78016	6
98488	1793
241062	2988
329154	5431
81898	26596
67876	1808
15510	18324
15528	6834
19070	3395
74013	288
212679	548
75388	0
227120	22
626009	15
329159	0
71066	0
212712	121
329160	1
407809	2
75323	0
73467	825
68736	601
68115	1311
67198	3
51960	1395
68549	220
11761	142
71724	2
71872	0
213043	15
66882	22419
12747	7103
70225	1499
65102	1590
18393	2519
100504455	7
213056	1218
66495	2645
100504501	370
108812	6
12633	14289
12370	13773
70827	6004
227154	1521
73463	0
381259	1431
227157	13
74018	3700
271697	21
14369	8810
381260	29
22218	3816
55989	4103
100217459	4
100217421	1
12168	1031
100504533	278
72750	4383
70375	30
57750	2079
241066	207
100504573	33
269198	938
77951	2039
329165	1287
77300	2520
100043027	2
100042533	0
12487	980
100504618	4
12477	599
54167	91
77341	0
72823	367
18187	15708
74992	5
227195	4601
100380944	79
100504668	49
227197	5620
55949	20263
100217464	40
241070	0
73884	2
23792	44
241073	0
76668	0
75619	2095
74426	10
433315	0
93691	434
12912	3738
67099	1676
69941	46
227210	1235
14367	944
241075	9129
70861	0
667276	0
12968	0
12967	0
12966	0
12965	0
12964	2
98303	36
15926	50110
18711	7343
213527	2
12969	0
17756	2
100038569	0
329178	0
66646	2997
68691	942
11363	23592
100862127	1
17901	0
14768	2348
227231	1
13869	0
100502712	0
22779	202
66722	0
320460	0
12021	281
74591	0
108147	7393
14268	115904
100042814	8
667931	2
71134	43
433319	0
381269	570
111175	350
271711	0
22596	484
381270	0
54380	2753
319695	1
19981	11228
16008	0
16011	2
21958	0
69449	0
723792	0
78718	0
109198	0
21961	8694
435626	2
100862357	0
12765	2
227288	2
100316687	0
76709	57723
227289	0
227290	11018
56695	1057
69660	8992
241112	40
18173	80129
227292	6738
387219	7
22349	16
319651	1889
58184	5691
18802	22
77264	2305
66821	1338
57751	2909
269209	203
67534	971
104086	1355
