Geneid	HISAT2 on data 358: aligned reads (BAM)
497097	1
100503874	0
100038431	0
19888	262
20671	0
27395	2931
18777	6207
100503730	18
21399	6067
58175	11
108664	11841
18387	0
226304	0
12421	9451
620393	2
240690	162
319263	10849
71096	4
59014	3240
76187	491
72481	229
76982	32
17864	99
70675	9030
73331	7
170755	10034
620986	57
240697	48
73824	1348
266793	12
100038398	39
100039596	11
69312	2
26754	5530
211660	2654
211673	19476
329093	0
109294	6
320492	0
329096	0
240725	4
240726	389
383491	0
17978	13977
72265	16524
212442	4035
381246	2
433273	5
14048	132
17681	0
277328	0
98741	0
21749	1661
226866	39
665434	1
75799	0
19989	90481
98711	1246
29819	988
66799	4266
67923	3781
329101	0
70397	3137
17087	2575
57339	20
14545	2
94227	4
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	2
241035	0
75028	0
387202	0
723817	0
16171	2
257630	8
17215	6295
77741	0
74229	352
71877	73
170829	971
75712	221
14859	2104
241041	9
368204	0
433278	0
98582	0
226922	363
116837	0
66755	0
387225	0
723964	0
70155	4231
100503399	0
280645	210
98366	4247
68002	1083
68187	2781
12839	0
12823	79
68421	18673
210933	0
100504323	1
210940	0
433281	0
665903	106
210962	0
623924	0
791350	0
213109	14694
19243	2553
70988	0
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	1115
67503	20
19335	850
213539	174
98403	2897
433287	2
320705	240
13518	3232
100628580	37
69668	5565
27993	5807
52318	1997
19253	15121
21755	23
12627	0
21756	0
211383	0
241051	0
226970	1158
214469	38855
226971	22517
50785	11813
320011	25625
214854	30210
214855	7388
226976	11052
214895	3172
94220	1855
94218	6265
78321	1086
109346	1050
20353	1237
381337	0
12859	7788
226977	8952
71166	6
22637	420
56030	22119
70853	51
12790	0
269180	11141
76178	18996
67387	6345
269181	17864
77633	55
100861893	0
72097	104
100503734	8
211484	1447
623661	240
69028	1305
107734	4054
332427	0
69541	1
98258	7029
226982	21240
56210	2618
16764	5582
381338	8
98388	876
100503760	12
433292	2
68833	5010
18143	35
114641	38830
54610	5204
52846	3860
100217461	172
67702	38232
263764	1504
619289	0
100042065	0
73426	0
26921	22866
100047133	2
16178	20
16177	255
107527	167
17082	10263
16182	937
16174	109
110895	464
226999	4
211798	751
381339	0
74897	0
66297	0
18993	2
73100	0
69527	3757
93690	2
73122	9073
98404	3272
14200	18
666642	5
17974	2129
100861934	2
78896	9
67883	2141
100503192	2
22019	16507
433294	10
75623	780
72050	2024
246229	1684
22592	2153
100861960	0
403183	0
70676	2
75066	0
12825	104
12832	59
73674	3073
433297	157
53945	1458
100042453	0
212225	0
227058	2
100101919	21
227059	4084
442837	0
56363	4
442821	0
20324	0
109019	5122
100045066	55
17912	1837
20849	2728
100042634	0
20846	22890
14660	21222
17936	12829
227094	3630
98682	11279
16329	1104
227095	1676
67080	2
17700	1
69397	1
227099	633
227102	2844
72085	877
70396	9846
627872	0
98267	22961
329152	49
78016	11
98488	2347
241062	10152
329154	18964
81898	51573
67876	1784
15510	12766
15528	5327
19070	4774
74013	569
212679	1071
75388	6
227120	170
626009	4
329159	6
71066	0
212712	347
329160	51
407809	0
75323	6
73467	1379
68736	739
68115	1415
67198	4
51960	2476
68549	248
11761	354
71724	0
71872	2
213043	16
66882	26575
12747	25151
70225	1675
65102	1501
18393	3049
100504455	9
213056	2930
66495	3462
100504501	908
108812	11
12633	25256
12370	13428
70827	11721
227154	2913
73463	6
381259	1476
227157	24
74018	5933
271697	6
14369	7202
381260	195
22218	5309
55989	4134
100217459	0
100217421	0
12168	3151
100504533	476
