Geneid	HISAT2 on data 37: aligned reads (BAM)
497097	4
100503874	0
100038431	0
19888	28
20671	468
27395	128
18777	401
100503730	0
21399	268
58175	0
108664	478
18387	0
226304	0
12421	538
620393	1
240690	0
319263	584
71096	0
59014	150
76187	60
72481	26
76982	0
17864	5
70675	314
73331	1
170755	173
620986	11
240697	0
73824	36
266793	0
100038398	11
100039596	4
69312	7
26754	326
211660	163
211673	1039
329093	0
109294	2294
320492	22
329096	0
240725	454
240726	31
383491	0
17978	660
72265	844
212442	301
381246	0
433273	0
14048	47
17681	19
277328	0
98741	2
21749	87
226866	8
665434	0
75799	2
19989	2142
98711	182
29819	62
66799	265
67923	273
329101	0
70397	151
17087	18
57339	14
14545	0
94227	94
83691	23
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	1
241035	1
75028	0
387202	0
723817	0
16171	0
257630	0
17215	139
77741	0
74229	300
71877	79
170829	30
75712	40
14859	1222
241041	317
368204	0
433278	0
98582	0
226922	86
116837	3
66755	0
387225	0
723964	0
70155	208
100503399	0
280645	3
98366	250
68002	68
68187	213
12839	0
12823	1
68421	696
210933	0
100504323	0
210940	0
433281	0
665903	3
210962	0
623924	0
791350	2
213109	737
19243	181
70988	0
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	54
67503	1
19335	129
213539	50
98403	130
433287	0
320705	9
13518	1463
100628580	0
69668	119
27993	165
52318	101
19253	125
21755	1
12627	0
21756	0
211383	0
241051	0
226970	21
214469	1596
226971	1007
50785	313
320011	744
214854	297
214855	121
226976	560
214895	169
94220	75
94218	261
78321	21
109346	43
20353	251
381337	34
12859	251
226977	624
71166	0
22637	69
56030	598
70853	51
12790	0
269180	268
76178	641
67387	294
269181	157
77633	7
100861893	0
72097	213
100503734	1
211484	65
623661	20
69028	76
107734	165
332427	0
69541	0
98258	276
226982	882
56210	90
16764	371
381338	7
98388	12
100503760	0
433292	0
68833	388
18143	102
114641	1595
54610	274
52846	176
100217461	0
67702	317
263764	0
619289	2
100042065	0
73426	0
26921	1643
100047133	0
16178	6
16177	355
107527	62
17082	22
16182	1031
16174	23
110895	28
226999	15
211798	36
381339	8
74897	0
66297	0
18993	7
73100	0
69527	181
93690	0
73122	521
98404	229
14200	36
666642	0
17974	329
100861934	2
78896	4
67883	129
100503192	2
22019	391
433294	0
75623	36
72050	139
246229	99
22592	146
100861960	0
403183	4
70676	181
75066	0
12825	4305
12832	645
73674	150
433297	32
53945	132
100042453	0
212225	0
227058	43
100101919	38
227059	298
442837	0
56363	98
442821	0
20324	6132
109019	178
100045066	2
17912	2770
20849	55
100042634	0
20846	883
14660	647
17936	687
227094	70
98682	603
16329	76
227095	121
67080	2
17700	0
69397	0
227099	35
227102	94
72085	49
70396	196
627872	22
98267	493
329152	500
78016	16
98488	84
241062	133
329154	993
81898	1693
67876	151
15510	488
15528	178
19070	361
74013	291
212679	36
75388	0
227120	171
626009	0
329159	0
71066	0
212712	3
329160	2
407809	0
75323	1
73467	39
68736	43
68115	75
67198	153
51960	80
68549	10
11761	343
71724	1632
71872	0
213043	0
66882	950
12747	624
70225	99
65102	109
18393	141
100504455	1
213056	383
66495	240
100504501	10
108812	2
12633	1023
12370	301
70827	1060
227154	83
73463	0
381259	145
227157	9
74018	188
271697	2
14369	537
381260	79
22218	229
55989	175
100217459	0
100217421	0
12168	1662
100504533	304
72750	579
70375	3
57750	55
241066	24
100504573	0
269198	598
77951	147
329165	191
77300	600
100043027	0
100042533	0
12487	36
100504618	0
12477	3
54167	17
77341	0
72823	324
18187	498
74992	1
227195	360
100380944	10
100504668	6
227197	421
55949	1307
100217464	1
241070	0
73884	16
23792	53
241073	1
76668	28
75619	81
74426	1
433315	7
93691	112
12912	605
67099	75
69941	0
227210	86
14367	355
241075	300
70861	0
667276	0
12968	0
12967	0
12966	0
12965	0
12964	0
98303	0
15926	635
18711	259
213527	0
12969	0
17756	80
100038569	1
329178	15
66646	245
68691	192
11363	617
100862127	0
17901	9
14768	240
227231	0
13869	0
100502712	0
22779	48
66722	27
320460	0
12021	11
74591	0
108147	263
14268	2257
100042814	1
667931	0
71134	0
433319	0
381269	32
111175	26
271711	0
22596	158
381270	39
54380	193
319695	0
19981	748
16008	1443
16011	2839
21958	0
69449	0
723792	0
78718	0
109198	3
21961	12196
435626	26
100862357	0
12765	32
227288	6
100316687	0
76709	2016
227289	0
227290	794
56695	267
69660	1345
241112	71
18173	74
227292	1084
387219	1
22349	9
319651	168
58184	171
18802	8
77264	138
66821	77
57751	150
269209	75
67534	119
104086	136
241113	53
22420	0
22409	0
12570	0
260298	0
12958	0
723900	0
241116	256
16147	0
75570	15
22626	4
69171	437
227298	607
68818	126
74104	119
245860	389
52231	104
74577	69
20872	273
22145	277
381272	1
56812	537
19275	22
19711	2
13437	264
13346	865
100503248	0
11790	75
69080	125
100862164	1
241118	0
74241	380
319998	10
98733	111
16322	9
71728	188
20536	112
100862333	0
620079	0
13838	254
18505	0
100039210	0
433323	336
23874	251
68393	5
74205	195
195434	21
57814	49
20254	2
100862182	1
252903	54
69368	127
