Geneid	HISAT2 on data 14: aligned reads (BAM)
497097	4
100503874	0
100038431	0
19888	37
20671	326
27395	121
18777	412
100503730	1
21399	278
58175	2
108664	458
18387	0
226304	0
12421	619
620393	7
240690	0
319263	590
71096	0
59014	171
76187	57
72481	15
76982	0
17864	13
70675	285
73331	0
170755	185
620986	11
240697	0
73824	40
266793	0
100038398	6
100039596	3
69312	10
26754	305
211660	167
211673	1109
329093	0
109294	1958
320492	32
329096	0
240725	909
240726	15
383491	2
17978	555
72265	938
212442	251
381246	1
433273	0
14048	30
17681	5
277328	0
98741	1
21749	91
226866	7
665434	0
75799	6
19989	2497
98711	225
29819	62
66799	237
67923	292
329101	0
70397	186
17087	24
57339	11
14545	0
94227	113
83691	24
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	3
75028	0
387202	0
723817	0
16171	0
257630	0
17215	144
77741	1
74229	301
71877	118
170829	39
75712	43
14859	1105
241041	249
368204	0
433278	0
98582	0
226922	94
116837	1
66755	0
387225	0
723964	0
70155	236
100503399	1
280645	1
98366	191
68002	69
68187	172
12839	0
12823	0
68421	719
210933	0
100504323	0
210940	0
433281	0
665903	13
210962	0
623924	0
791350	1
213109	725
19243	224
70988	0
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	45
67503	2
19335	147
213539	48
98403	147
433287	1
320705	5
13518	1519
100628580	0
69668	120
27993	184
52318	80
19253	140
21755	0
12627	0
21756	0
211383	0
241051	0
226970	29
214469	1539
226971	1172
50785	383
320011	692
214854	285
214855	144
226976	609
214895	209
94220	99
94218	226
78321	26
109346	67
20353	282
381337	30
12859	274
226977	591
71166	0
22637	86
56030	535
70853	74
12790	0
269180	232
76178	721
67387	334
269181	196
77633	6
100861893	0
72097	215
100503734	0
211484	82
623661	17
69028	59
107734	171
332427	0
69541	0
98258	294
226982	873
56210	98
16764	224
381338	6
98388	16
100503760	0
433292	0
68833	402
18143	48
114641	1649
54610	281
52846	200
100217461	1
67702	349
263764	6
619289	1
100042065	0
73426	0
26921	1353
100047133	1
16178	8
16177	390
107527	61
17082	32
16182	933
16174	40
110895	33
226999	13
211798	30
381339	3
74897	0
66297	0
18993	1
73100	0
69527	180
93690	0
73122	494
98404	238
14200	25
666642	0
17974	284
100861934	1
78896	4
67883	143
100503192	0
22019	424
433294	0
75623	38
72050	129
246229	109
22592	153
100861960	0
403183	3
70676	195
75066	0
12825	4188
12832	571
73674	181
433297	21
53945	73
100042453	0
212225	0
227058	56
100101919	71
227059	270
442837	0
56363	87
442821	1
20324	5623
109019	191
100045066	1
17912	2572
20849	53
100042634	0
20846	967
14660	659
17936	726
227094	46
98682	603
16329	82
227095	124
67080	2
17700	0
69397	0
227099	30
227102	94
72085	51
70396	207
627872	29
98267	448
329152	517
78016	11
98488	105
241062	106
329154	884
81898	1758
67876	198
15510	597
15528	229
19070	399
74013	206
212679	53
75388	1
227120	167
626009	1
329159	0
71066	0
212712	5
329160	1
407809	0
75323	0
73467	57
68736	45
68115	77
67198	126
51960	78
68549	23
11761	289
71724	1466
71872	1
213043	0
66882	1066
12747	521
70225	108
65102	124
18393	169
100504455	0
213056	329
66495	242
100504501	14
108812	0
12633	1030
12370	272
70827	1060
227154	76
73463	0
381259	129
227157	2
74018	185
271697	0
14369	550
381260	79
22218	263
55989	268
100217459	0
100217421	0
12168	1169
100504533	194
72750	595
70375	5
57750	68
241066	19
100504573	1
269198	518
77951	167
329165	211
77300	587
100043027	0
100042533	0
12487	36
100504618	0
12477	1
54167	7
77341	0
72823	269
18187	558
74992	0
227195	287
100380944	10
100504668	1
227197	414
55949	1466
100217464	1
241070	0
73884	6
23792	58
241073	3
76668	60
75619	76
74426	1
433315	8
93691	84
12912	606
67099	53
69941	0
227210	88
14367	267
241075	254
70861	1
667276	1
12968	0
12967	0
12966	0
12965	0
12964	0
98303	0
15926	715
18711	241
213527	0
12969	0
17756	86
100038569	0
329178	11
66646	255
68691	173
11363	661
100862127	0
17901	4
14768	226
227231	0
13869	0
100502712	0
22779	59
66722	63
320460	0
12021	12
74591	0
108147	315
14268	1972
100042814	0
667931	0
71134	1
433319	0
381269	24
111175	38
271711	0
22596	207
381270	75
54380	221
319695	1
19981	817
16008	1454
16011	6961
21958	0
69449	0
723792	0
78718	0
109198	3
21961	11632
435626	14
100862357	0
12765	29
227288	4
100316687	0
76709	2277
227289	0
227290	873
56695	183
69660	1108
241112	90
18173	86
227292	1047
387219	1
22349	2
319651	149
58184	175
18802	4
77264	136
66821	75
57751	139
269209	87
67534	147
104086	132
241113	33
22420	2
22409	0
12570	0
260298	0
12958	0
723900	0
241116	321
16147	8
75570	11
22626	9
69171	473
227298	627
68818	120
74104	115
245860	329
52231	95
74577	67
20872	257
22145	309
381272	0
56812	603
19275	28
19711	6
13437	314
13346	645
100503248	1
11790	68
69080	139
100862164	0
241118	1
74241	414
319998	17
98733	113
16322	5
71728	163
20536	137
100862333	0
620079	0
13838	152
18505	0
100039210	2
433323	341
23874	235
68393	1
74205	230
195434	21
57814	82
20254	1
100862182	0
252903	78
69368	139
