Geneid	HISAT2 on data 393: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	0
20671	0
27395	287
18777	1082
100503730	0
21399	3580
58175	0
108664	2503
18387	0
226304	0
12421	824
620393	0
240690	473
319263	2274
71096	0
59014	223
76187	197
72481	7
76982	0
17864	10
70675	8372
73331	2
170755	6270
620986	6
240697	13
73824	30
266793	1
100038398	2
100039596	2
69312	1
26754	1060
211660	160
211673	7003
329093	0
109294	1
320492	0
329096	0
240725	0
240726	4
383491	0
17978	787
72265	3145
212442	119
381246	0
433273	3
14048	195
17681	0
277328	0
98741	0
21749	122
226866	0
665434	1
75799	0
19989	4904
98711	88
29819	248
66799	403
67923	968
329101	0
70397	336
17087	314
57339	1
14545	2
94227	0
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	0
75028	0
387202	0
723817	0
16171	0
257630	0
17215	182
77741	0
74229	14
71877	2
170829	260
75712	4
14859	43
241041	0
368204	0
433278	0
98582	0
226922	0
116837	0
66755	0
387225	0
723964	0
70155	3684
100503399	0
280645	13
98366	873
68002	33
68187	192
12839	0
12823	24
68421	2204
210933	0
100504323	0
210940	0
433281	0
665903	7
210962	0
623924	0
791350	0
213109	1179
19243	285
70988	0
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	52
67503	0
19335	29
213539	14
98403	206
433287	1
320705	22
13518	3312
100628580	0
69668	211
27993	365
52318	38
19253	334
21755	0
12627	0
21756	0
211383	0
241051	0
226970	2
214469	2458
226971	2965
50785	801
320011	1039
214854	6009
214855	3738
226976	3708
214895	109
94220	234
94218	101
78321	13
109346	35
20353	495
381337	0
12859	937
226977	832
71166	0
22637	1
56030	4708
70853	7
12790	0
269180	367
76178	15428
67387	1470
269181	3785
77633	6
100861893	0
72097	3
100503734	0
211484	122
623661	20
69028	1754
107734	661
332427	0
69541	0
98258	2072
226982	4540
56210	204
16764	5
381338	0
98388	0
100503760	0
433292	0
68833	1011
18143	4
114641	2763
54610	711
52846	467
100217461	3
67702	8628
263764	115
619289	0
100042065	0
73426	0
26921	1143
100047133	1
16178	49
16177	32
107527	1
17082	5
16182	0
16174	166
110895	0
226999	5
211798	360
381339	0
74897	0
66297	0
18993	0
73100	0
69527	368
93690	0
73122	540
98404	188
14200	0
666642	1
17974	1067
100861934	4
78896	0
67883	176
100503192	4
22019	2305
433294	0
75623	189
72050	22
246229	59
22592	40
100861960	0
403183	0
70676	0
75066	0
12825	3
12832	3
73674	77
433297	45
53945	992
100042453	0
212225	1
227058	0
100101919	0
227059	192
442837	0
56363	0
442821	0
20324	0
109019	625
100045066	1
17912	17
20849	167
100042634	0
20846	44980
14660	1973
17936	6622
227094	41
98682	281
16329	395
227095	10
67080	0
17700	0
69397	0
227099	21
227102	211
72085	5
70396	394
627872	1
98267	491
329152	1
78016	0
98488	519
241062	2018
329154	313
81898	6906
67876	604
15510	585
15528	212
19070	1083
74013	6
212679	5
75388	0
227120	7
626009	3
329159	0
71066	0
212712	26
329160	4
407809	0
75323	0
73467	55
68736	157
68115	418
67198	99
51960	261
68549	12
11761	14
71724	0
71872	0
213043	3
66882	5352
12747	1164
70225	74
65102	152
18393	150
100504455	0
213056	104
66495	132
100504501	15
108812	0
12633	23364
12370	7355
70827	1024
227154	107
73463	0
381259	61
227157	0
74018	805
271697	7
14369	2408
381260	0
22218	2366
55989	123
100217459	0
100217421	0
12168	1065
100504533	92
72750	315
70375	1
57750	20
241066	16
100504573	0
269198	350
77951	153
329165	181
77300	685
100043027	0
100042533	0
12487	333
100504618	0
12477	0
54167	2
77341	0
72823	1
18187	38318
74992	14
227195	1571
100380944	6
100504668	2
227197	790
55949	1684
100217464	3
241070	0
73884	0
23792	0
241073	0
76668	0
75619	167
74426	0
433315	0
93691	53
12912	1045
67099	90
69941	29
227210	492
14367	675
241075	4025
70861	0
667276	2
12968	0
12967	0
12966	0
12965	0
12964	0
98303	0
15926	722
18711	2082
213527	0
12969	0
17756	33
100038569	0
329178	38
66646	1603
68691	669
11363	2466
100862127	0
17901	0
14768	131
227231	0
13869	0
100502712	0
22779	49
66722	0
320460	0
12021	49
74591	0
108147	239
14268	49
100042814	0
667931	0
71134	0
433319	0
381269	28
111175	12
271711	0
22596	2
381270	0
54380	385
319695	0
19981	1514
16008	0
16011	4
21958	0
69449	0
723792	0
78718	0
109198	0
21961	237
435626	0
100862357	0
12765	6
227288	0
100316687	0
76709	21438
227289	0
227290	1613
56695	49
69660	708
241112	5
18173	8874
227292	887
387219	0
22349	3
319651	294
58184	1140
18802	1
77264	192
66821	32
57751	515
269209	17
67534	60
104086	735
241113	0
22420	7
22409	2
12570	0
260298	0
12958	0
723900	0
241116	0
16147	0
75570	11
22626	2
69171	2731
227298	1311
68818	435
74104	84
245860	867
52231	167
74577	119
