Geneid	HISAT2 on data 398: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	0
20671	0
27395	566
18777	1023
100503730	0
21399	2072
58175	0
108664	4059
18387	0
226304	0
12421	1222
620393	0
240690	1145
319263	1163
71096	0
59014	479
76187	48
72481	15
76982	1
17864	5
70675	4348
73331	3
170755	4707
620986	7
240697	4
73824	121
266793	1
100038398	7
100039596	0
69312	1
26754	1694
211660	199
211673	4500
329093	0
109294	0
320492	0
329096	0
240725	0
240726	11
383491	0
17978	1368
72265	4659
212442	623
381246	1
433273	2
14048	333
17681	0
277328	0
98741	0
21749	147
226866	0
665434	0
75799	0
19989	8394
98711	102
29819	223
66799	535
67923	969
329101	0
70397	528
17087	438
57339	2
14545	0
94227	4
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	0
75028	0
387202	0
723817	0
16171	0
257630	0
17215	662
77741	0
74229	11
71877	2
170829	163
75712	24
14859	530
241041	0
368204	0
433278	0
98582	0
226922	1
116837	0
66755	0
387225	0
723964	0
70155	1266
100503399	0
280645	7
98366	816
68002	109
68187	242
12839	0
12823	80
68421	2857
210933	0
100504323	0
210940	0
433281	0
665903	9
210962	0
623924	0
791350	0
213109	2217
19243	661
70988	0
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	149
67503	0
19335	74
213539	56
98403	406
433287	0
320705	9
13518	1576
100628580	0
69668	890
27993	1111
52318	175
19253	745
21755	0
12627	0
21756	0
211383	0
241051	0
226970	67
214469	6488
226971	4276
50785	1508
320011	3039
214854	7768
214855	780
226976	2123
214895	300
94220	421
94218	492
78321	20
109346	91
20353	333
381337	0
12859	1164
226977	1479
71166	0
22637	0
56030	2880
70853	3
12790	0
269180	421
76178	10458
67387	1510
269181	1496
77633	9
100861893	0
72097	19
100503734	1
211484	166
623661	35
69028	1393
107734	823
332427	0
69541	0
98258	1983
226982	5210
56210	403
16764	3
381338	0
98388	1
100503760	0
433292	0
68833	1246
18143	14
114641	5136
54610	1583
52846	688
100217461	1
67702	8705
263764	383
619289	0
100042065	0
73426	0
26921	1968
100047133	0
16178	20
16177	29
107527	8
17082	4
16182	1
16174	16
110895	10
226999	6
211798	106
381339	1
74897	0
66297	0
18993	0
73100	0
69527	596
93690	0
73122	1367
98404	369
14200	0
666642	0
17974	1277
100861934	7
78896	0
67883	400
100503192	7
22019	3447
433294	0
75623	181
72050	131
246229	199
22592	153
100861960	0
403183	0
70676	0
75066	0
12825	6
12832	14
73674	534
433297	75
53945	4915
100042453	0
212225	0
227058	0
100101919	1
227059	963
442837	0
56363	0
442821	0
20324	0
109019	834
100045066	6
17912	48
20849	14
100042634	0
20846	37106
14660	2891
17936	4473
227094	84
98682	1718
16329	193
227095	166
67080	0
17700	0
69397	0
227099	103
227102	533
72085	15
70396	1023
627872	0
98267	930
329152	0
78016	0
98488	503
241062	4371
329154	1057
81898	8854
67876	731
15510	2416
15528	683
19070	1326
74013	14
212679	58
75388	0
227120	3
626009	2
329159	0
71066	0
212712	27
329160	3
407809	0
75323	1
73467	149
68736	143
68115	361
67198	6
51960	299
68549	28
11761	54
71724	0
71872	2
213043	3
66882	9167
12747	1644
70225	222
65102	314
18393	778
100504455	1
213056	260
66495	328
100504501	14
108812	0
12633	5270
12370	3436
70827	1803
227154	237
73463	1
381259	141
227157	0
74018	922
271697	9
14369	1205
381260	1
22218	1499
55989	804
100217459	0
100217421	0
12168	1099
100504533	108
72750	861
70375	0
57750	341
241066	64
100504573	2
269198	531
77951	541
329165	415
77300	1102
100043027	2
100042533	0
12487	1410
100504618	2
12477	0
54167	1
77341	0
72823	5
18187	23265
74992	9
227195	1067
100380944	6
100504668	5
227197	1472
55949	3635
100217464	5
241070	0
73884	0
23792	1
241073	0
76668	0
75619	495
74426	1
433315	0
93691	42
12912	1247
67099	265
69941	6
227210	285
14367	265
241075	2502
70861	0
667276	0
12968	0
12967	0
12966	0
12965	0
12964	0
98303	4
15926	7432
18711	2770
213527	0
12969	0
17756	11
100038569	0
329178	0
66646	940
68691	431
11363	1408
100862127	0
17901	0
14768	259
227231	0
13869	0
100502712	0
22779	20
66722	0
320460	0
12021	18
74591	0
108147	1282
14268	61
100042814	0
667931	0
71134	0
433319	0
381269	18
111175	28
271711	0
22596	2
381270	0
54380	516
319695	0
19981	2562
16008	0
16011	2
21958	0
69449	0
723792	0
78718	0
109198	0
21961	1324
435626	0
100862357	0
12765	6
227288	0
100316687	0
76709	20616
227289	0
227290	3006
56695	149
69660	2683
241112	7
18173	18399
227292	1707
387219	1
22349	4
319651	446
58184	1940
18802	1
77264	384
66821	98
57751	723
269209	11
67534	149
104086	475
241113	1
22420	15
22409	2
12570	0
260298	0
12958	0
723900	0
241116	0
16147	2
75570	70
22626	1
69171	2863
227298	2423
68818	422
