Geneid	HISAT2 on data 311: aligned reads (BAM)
100287102	0
653635	0
102466751	0
100302278	0
645520	0
79501	0
729737	0
102725121	0
102723897	8
102465909	0
729759	0
100132287	0
105378947	0
101928626	0
102465432	6
81399	0
100133331	0
100288069	0
400728	0
79854	0
643837	27
284593	0
100130417	0
148398	2
26155	338
339451	25
84069	84
84808	35
57801	235
9636	3825
375790	1682
105369174	0
105378948	0
401934	30
54991	60
254099	0
406984	0
406983	0
554210	0
254173	1
8784	212
7293	184
51150	940
126792	173
388581	1
118424	279
6339	158
116983	223
102465434	0
126789	71
54973	379
102465435	0
80772	395
83756	42
1855	523
102466740	0
54587	490
54998	774
81669	94
148413	65
55052	206
441869	77
643965	3
102724312	4
64856	804
219293	1
83858	90
55210	191
339453	0
29101	351
643988	118
142678	291
8510	0
984	108
728661	42
8511	0
728642	12
9906	8
65220	290
2782	1233
105378949	0
163688	0
339456	4
85452	4
2563	4
5590	92
100506504	15
199990	233
105378592	0
6497	353
105378594	0
79906	32
100129534	0
11079	449
5192	68
9651	3
55229	0
388585	0
115110	0
8764	0
100996583	0
127281	0
79258	0
100287898	0
140625	0
440556	0
63976	2
100422968	0
27237	101
1953	67
693135	0
127262	182
49856	34
7161	36
57212	24
148870	0
388588	1
57470	253
9731	46
1677	9
339448	6
100133612	3
728716	0
284661	0
55966	22
100616489	0
100616421	0
261734	50
8514	370
26038	0
6146	94
102724450	0
388591	2
23463	217
148645	0
390992	0
387509	244
11332	426
54626	175
83715	19
100422975	0
8718	36
57449	237
79707	41
80835	0
3104	71
9903	279
148479	71
90326	39
55735	69
100505887	0
23261	50
9341	218
8863	12
10911	0
3604	16
11315	400
54206	82
102724539	0
50651	5
473	315
102724552	0
2023	11382
102465436	0
100505975	0
765	0
155184	0
6518	94
80045	22
407040	0
9563	367
80176	167
100506022	0
84275	5
199953	79
5293	255
644997	0
101929074	1
22883	1463
56998	460
84328	18
64802	13
100847055	0
105376719	0
116362	22
10277	87
23095	48
100422970	0
5226	733
100526739	0
378708	0
1325	0
1676	112
5195	179
54897	144
148345	0
23435	159
10747	0
6723	944
5394	142
2475	128
100873935	0
10218	0
29914	38
57540	0
101929181	0
26232	161
93611	68
26270	325
10459	245
374946	10
57085	692
284498	2
102724659	0
4524	119
1185	24
100379251	0
4878	0
4879	0
26829	0
90231	302
5351	623
9927	522
60672	224
102466982	0
943	18
102465836	0
7133	774
100616438	0
55187	172
677885	0
9249	141
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	600
7799	56
23254	57
200197	3
55092	114
727684	0
114827	0
101927417	0
79180	1978
11330	0
63036	0
51032	0
842	18
23341	21
79814	2
84301	2
6248	3
23207	715
284723	1
388595	0
54751	826
440567	26
729614	1
23013	182
7709	166
101928566	0
149563	0
27129	0
1187	0
1188	0
348487	4
1969	746
128272	70
101927546	0
79363	12
54455	44
26099	814
374955	0
55707	305
114819	4
26871	0
100126512	0
100126517	0
102724970	0
100133301	0
7195	0
55672	0
84809	12
11209	0
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	0
100500876	0
100189298	0
7193	0
791226	0
9696	63
26870	0
4237	221
23400	625
6390	104
11240	45
29943	12
51702	0
100616188	0
23569	1
353238	0
55920	478
55160	264
81569	0
101927876	0
84966	15
127707	0
5081	0
80834	0
8659	190
100616120	0
100302276	0
126917	968
23352	378
23065	163
51154	156
246181	0
22977	0
100506730	0
8574	143
54896	127
832	1546
100532736	0
440574	64
644068	10
4681	12
3362	0
255104	76
54546	0
23252	1
30814	0
5320	10
5322	0
26279	11
64600	366
391013	0
127733	6
101928017	0
127731	0
339505	0
55450	94
79594	150
163933	3
978	445
65018	144
102464833	0
100861548	11
1650	804
57576	20
400745	119
50809	82
8672	35
100302155	0
1889	588
100506801	0
84224	3
249	194
5909	37
84196	58
401944	7
3339	392
23436	0
10136	0
101928043	0
29092	5
998	120
54361	56
100616433	0
9923	42
2046	0
102466615	0
712	3252
714	2858
713	4192
2048	23
100616391	0
100422914	0
646262	0
729059	0
23028	155
100422866	0
100616177	0
7798	124
3352	0
100996511	0
10236	101
80818	20
148898	0
6920	28
55616	72
1870	33
101928163	0
3399	116
259283	4
6135	1806
6924	123
100506963	0
57095	118
