Geneid	HISAT2 on data 339: aligned reads (BAM)
100287102	0
653635	0
102466751	0
100302278	0
645520	0
79501	0
729737	6
102725121	0
102723897	0
102465909	0
729759	0
100132287	0
105378947	0
101928626	2
102465432	1402
81399	0
100133331	0
100288069	0
400728	0
79854	0
643837	48
284593	0
100130417	1
148398	8
26155	587
339451	67
84069	163
84808	23
57801	84
9636	554
375790	2633
105369174	0
105378948	0
401934	36
54991	60
254099	0
406984	0
406983	0
554210	0
254173	2
8784	99
7293	102
51150	2050
126792	300
388581	16
118424	401
6339	29
116983	580
102465434	0
126789	147
54973	688
102465435	0
80772	603
83756	138
1855	669
102466740	0
54587	3661
54998	968
81669	238
148413	105
55052	308
441869	123
643965	3
102724312	0
64856	988
219293	25
83858	80
55210	257
339453	9
29101	732
643988	279
142678	485
8510	3
984	200
728661	186
8511	0
728642	44
9906	66
65220	451
2782	2010
105378949	5
163688	5
339456	3
85452	0
2563	4
5590	149
100506504	9
199990	332
105378592	10
6497	1044
105378594	0
79906	30
100129534	10
11079	729
5192	118
9651	11
55229	4
388585	0
115110	0
8764	0
100996583	0
127281	0
79258	0
100287898	0
140625	0
440556	1
63976	16
100422968	0
27237	67
1953	895
693135	0
127262	757
49856	69
7161	185
57212	108
148870	0
388588	23
57470	451
9731	143
1677	13
339448	26
100133612	1
728716	0
284661	0
55966	23
100616489	0
100616421	0
261734	76
8514	599
26038	0
6146	266
102724450	3
388591	0
23463	484
148645	0
390992	4
387509	746
11332	399
54626	752
83715	140
100422975	0
8718	38
57449	320
79707	91
80835	0
3104	98
9903	764
148479	243
90326	35
55735	160
100505887	0
23261	124
9341	395
8863	93
10911	7
3604	32
11315	783
54206	30
102724539	0
50651	16
473	850
102724552	0
2023	14415
102465436	0
100505975	0
765	85
155184	0
6518	122
80045	137
407040	0
9563	1115
80176	358
100506022	0
84275	2
199953	176
5293	406
644997	5
101929074	26
22883	2810
56998	1215
84328	10
64802	20
100847055	0
105376719	0
116362	39
10277	479
23095	198
100422970	0
5226	1058
100526739	0
378708	0
1325	0
1676	234
5195	261
54897	402
148345	2
23435	151
10747	6
6723	1934
5394	257
2475	360
100873935	0
10218	0
29914	171
57540	0
101929181	0
26232	262
93611	239
26270	235
10459	391
374946	12
57085	730
284498	9
102724659	0
4524	295
1185	64
100379251	0
4878	0
4879	0
26829	0
90231	496
5351	1970
9927	976
60672	231
102466982	0
943	17
102465836	0
7133	1192
100616438	0
55187	439
677885	0
9249	408
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	421
7799	197
23254	159
200197	2
55092	142
727684	0
114827	10
101927417	0
79180	1867
11330	0
63036	0
51032	0
842	41
23341	45
79814	17
84301	17
6248	11
23207	1760
284723	0
388595	0
54751	1201
440567	22
729614	8
23013	586
7709	290
101928566	0
149563	0
27129	35
1187	1
1188	0
348487	4
1969	428
128272	211
101927546	0
79363	20
54455	176
26099	1593
374955	0
55707	567
114819	4
26871	0
100126512	0
100126517	0
102724970	0
100133301	0
7195	0
55672	9
84809	23
11209	0
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	0
100500876	0
100189298	0
7193	0
791226	0
9696	118
26870	0
4237	737
23400	1200
6390	183
11240	299
29943	49
51702	18
100616188	0
23569	0
353238	0
55920	841
55160	533
81569	0
101927876	0
84966	45
127707	5
5081	0
80834	0
8659	391
100616120	0
100302276	0
126917	1447
23352	1034
23065	346
51154	249
246181	0
22977	0
100506730	0
8574	492
54896	171
832	2404
100532736	0
440574	138
644068	60
4681	17
3362	0
255104	157
54546	0
23252	4
30814	0
5320	74
5322	3
26279	205
64600	207
391013	0
127733	15
101928017	0
127731	0
339505	0
55450	178
79594	405
163933	12
978	887
65018	485
102464833	0
100861548	27
1650	1916
57576	45
400745	15
50809	320
8672	189
100302155	0
1889	1366
100506801	8
84224	16
249	558
5909	26
84196	103
401944	18
3339	3808
23436	0
10136	0
101928043	4
29092	17
998	366
54361	393
100616433	0
9923	130
2046	0
102466615	0
712	6869
714	5593
713	7152
2048	218
100616391	0
100422914	0
646262	0
729059	0
23028	401
100422866	0
100616177	0
7798	219
3352	0
100996511	0
10236	182
80818	61
148898	2
6920	159
55616	654
1870	74
101928163	0
3399	446
259283	0
