Geneid	HISAT2 on data 153: aligned reads (BAM)
100287102	0
653635	59
102466751	5
100302278	0
645520	0
79501	0
729737	26
102725121	7
102723897	25
102465909	0
729759	0
100132287	3
105378947	6
101928626	5
102465432	24
81399	0
100133331	11
100288069	0
400728	16
79854	2
643837	560
284593	26
100130417	4
148398	21
26155	4196
339451	56
84069	294
84808	124
57801	72
9636	478
375790	3081
105369174	0
105378948	0
401934	129
54991	282
254099	0
406984	3
406983	4
554210	6
254173	31
8784	249
7293	37
51150	4755
126792	801
388581	742
118424	2186
6339	151
116983	941
102465434	0
126789	728
54973	2126
102465435	0
80772	1396
83756	182
1855	1409
102466740	0
54587	1580
54998	3854
81669	1574
148413	478
55052	3260
441869	704
643965	0
102724312	9
64856	1887
219293	31
83858	340
55210	909
339453	10
29101	4570
643988	694
142678	696
8510	4
984	680
728661	847
8511	0
728642	197
9906	373
65220	3509
2782	14333
105378949	1
163688	8
339456	72
85452	10
2563	12
5590	493
100506504	28
199990	532
105378592	9
6497	2914
105378594	0
79906	110
100129534	10
11079	6845
5192	789
9651	46
55229	1
388585	0
115110	0
8764	0
100996583	0
127281	2
79258	0
100287898	0
140625	0
440556	4
63976	41
100422968	0
27237	325
1953	827
693135	0
127262	5090
49856	497
7161	438
57212	659
148870	3
388588	22
57470	2160
9731	769
1677	91
339448	708
100133612	7
728716	0
284661	0
55966	221
100616489	0
100616421	0
261734	309
8514	484
26038	8
6146	23828
102724450	2
388591	45
23463	6087
148645	9
390992	0
387509	1147
11332	1439
54626	361
83715	229
100422975	0
8718	93
57449	885
79707	553
80835	0
3104	258
9903	3877
148479	912
90326	324
55735	1149
100505887	0
23261	1441
9341	5950
8863	1376
10911	4
3604	69
11315	6799
54206	1926
102724539	0
50651	20
473	2293
102724552	2
2023	78895
102465436	2
100505975	1
765	7195
155184	2
6518	189
80045	593
407040	1
9563	4612
80176	1015
100506022	38
84275	783
199953	719
5293	378
644997	0
101929074	82
22883	7204
56998	15268
84328	936
64802	220
100847055	0
105376719	0
116362	1389
10277	3014
23095	3763
100422970	0
5226	15719
100526739	0
378708	25
1325	0
1676	907
5195	912
54897	3272
148345	13
23435	4523
10747	46
6723	2252
5394	1674
2475	4401
100873935	0
10218	132
29914	14082
57540	0
101929181	0
26232	445
93611	416
26270	613
10459	993
374946	0
57085	3395
284498	3
102724659	0
4524	1011
1185	291
100379251	2
4878	0
4879	0
26829	0
90231	4480
5351	2651
9927	10636
60672	490
102466982	0
943	68
102465836	0
7133	1624
100616438	0
55187	4840
677885	1
9249	4252
102466722	0
343066	119
126767	39989
93190	119
390999	37
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
