Geneid	HISAT2 on data 174: aligned reads (BAM)
100287102	0
653635	145
102466751	21
100302278	0
645520	0
79501	0
729737	57
102725121	0
102723897	127
102465909	0
729759	0
100132287	0
105378947	0
101928626	3
102465432	34
81399	0
100133331	1
100288069	0
400728	17
79854	53
643837	597
284593	0
100130417	9
148398	0
26155	1937
339451	121
84069	38
84808	58
57801	4
9636	1646
375790	242
105369174	6
105378948	28
401934	3
54991	74
254099	0
406984	0
406983	0
554210	0
254173	8
8784	256
7293	24
51150	3020
126792	408
388581	12
118424	1571
6339	14
116983	268
102465434	0
126789	180
54973	2113
102465435	0
80772	148
83756	123
1855	175
102466740	0
54587	963
54998	2310
81669	9834
148413	949
55052	3262
441869	165
643965	2
102724312	6
64856	113
219293	147
83858	292
55210	218
339453	2
29101	4152
643988	82
142678	88
8510	0
984	2070
728661	1559
8511	0
728642	1198
9906	404
65220	3035
2782	18487
105378949	4
163688	30
339456	23
85452	1
2563	7
5590	231
100506504	47
199990	185
105378592	3
6497	1102
105378594	1
79906	71
100129534	58
11079	5413
5192	146
9651	2
55229	1
388585	0
115110	0
8764	4
100996583	0
127281	0
79258	0
100287898	0
140625	0
440556	4
63976	21
100422968	0
27237	24
1953	1419
693135	0
127262	4056
49856	971
7161	228
57212	790
148870	0
388588	26
57470	979
9731	471
1677	365
339448	958
100133612	2
728716	0
284661	0
55966	59
100616489	0
100616421	0
261734	565
8514	2410
26038	6
6146	18989
102724450	10
388591	96
23463	1984
148645	6
390992	0
387509	405
11332	1234
54626	944
83715	27
100422975	0
8718	247
57449	128
79707	668
80835	42
3104	1306
9903	2104
148479	1170
90326	582
55735	1030
100505887	0
23261	976
9341	7367
8863	2034
10911	56
3604	168
11315	7698
54206	1201
102724539	0
50651	29
473	4358
102724552	38
2023	55986
102465436	3
100505975	5
765	640
155184	1
6518	1371
80045	5
407040	6
9563	3474
80176	1132
100506022	48
84275	290
199953	102
5293	2940
644997	15
101929074	111
22883	5503
56998	4990
84328	517
64802	151
100847055	0
105376719	1
116362	166
10277	2605
23095	1923
100422970	0
5226	8768
100526739	0
378708	37
1325	7
1676	452
5195	408
54897	439
148345	101
23435	5516
10747	158
6723	639
5394	3555
2475	2248
100873935	0
10218	29
29914	743
57540	2
101929181	0
26232	125
93611	1258
26270	963
10459	1468
374946	6
57085	2261
284498	0
102724659	0
4524	1607
1185	1328
100379251	69
4878	65
4879	0
26829	0
90231	1613
5351	5437
9927	4867
60672	569
102466982	0
943	172
102465836	0
7133	7490
100616438	0
55187	2998
677885	6
9249	3901
102466722	3
343066	0
126767	1
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	1
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	4
10630	836
7799	2832
23254	583
200197	42
55092	2177
727684	1
114827	257
101927417	46
79180	2617
11330	22
63036	1
51032	4
842	638
23341	723
79814	26
84301	24
6248	161
23207	2895
284723	86
388595	0
54751	567
440567	583
729614	203
23013	2977
7709	1012
101928566	0
149563	4
27129	69
1187	15
1188	5
348487	1
1969	637
128272	610
101927546	2
79363	16
54455	1783
26099	5519
374955	0
55707	5991
114819	148
26871	0
100126512	2
100126517	0
102724970	2
100133301	0
7195	0
55672	63
84809	713
11209	94
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	28
100500876	0
100189298	0
7193	0
791226	1
9696	182
26870	0
4237	370
23400	235
6390	3955
11240	891
29943	981
51702	66
100616188	0
23569	14
353238	0
55920	6819
55160	1030
81569	2
101927876	0
84966	20
127707	4
5081	0
80834	11
8659	726
100616120	0
100302276	0
126917	4917
23352	7067
23065	1829
51154	1967
246181	127
22977	80
100506730	64
8574	1720
54896	884
832	13765
100532736	0
440574	1909
644068	83
4681	0
3362	0
255104	1106
54546	2
23252	575
30814	0
5320	2738
5322	102
26279	1495
64600	393
391013	6
127733	129
101928017	4
127731	2
339505	4
55450	298
79594	2305
163933	8
978	385
65018	384
102464833	0
100861548	164
1650	13423
57576	181
400745	14
50809	4274
8672	2118
100302155	0
1889	2600
100506801	54
84224	99
249	201
5909	56
84196	4062
401944	25
3339	277
23436	0
10136	0
101928043	12
29092	865
998	14558
54361	609
100616433	0
9923	2729
2046	10
102466615	0
712	32080
714	27312
713	41042
2048	536
100616391	0
100422914	0
646262	0
729059	0
