Geneid	HISAT2 on data 146: aligned reads (BAM)
100287102	0
653635	176
102466751	9
100302278	0
645520	0
79501	0
729737	695
102725121	1
102723897	118
102465909	0
729759	0
100132287	1
105378947	0
101928626	4
102465432	29
81399	0
100133331	71
100288069	11
400728	20
79854	27
643837	365
284593	0
100130417	2
148398	11
26155	1563
339451	246
84069	141
84808	31
57801	39
9636	3161
375790	1633
105369174	4
105378948	28
401934	12
54991	357
254099	0
406984	0
406983	0
554210	0
254173	16
8784	291
7293	262
51150	4391
126792	508
388581	22
118424	1133
6339	149
116983	863
102465434	0
126789	160
54973	1930
102465435	0
80772	496
83756	43
1855	815
102466740	0
54587	3071
54998	1291
81669	3875
148413	436
55052	1549
441869	72
643965	0
102724312	11
64856	1166
219293	41
83858	638
55210	483
339453	14
29101	2072
643988	285
142678	489
8510	0
984	1232
728661	1490
8511	0
728642	606
9906	901
65220	3981
2782	17854
105378949	1
163688	9
339456	0
85452	5
2563	4
5590	200
100506504	36
199990	421
105378592	4
6497	3242
105378594	5
79906	74
100129534	31
11079	3440
5192	281
9651	37
55229	4
388585	0
115110	0
8764	11
100996583	0
127281	2
79258	0
100287898	2
140625	0
440556	7
63976	32
100422968	0
27237	68
1953	1006
693135	0
127262	1474
49856	609
7161	71
57212	805
148870	0
388588	4
57470	1149
9731	1010
1677	338
339448	1004
100133612	4
728716	0
284661	0
55966	64
100616489	0
100616421	0
261734	853
8514	6027
26038	9
6146	8222
102724450	2
388591	59
23463	2891
148645	9
390992	0
387509	660
11332	1173
54626	203
83715	36
100422975	0
8718	736
57449	358
79707	765
80835	5
3104	791
9903	1968
148479	587
90326	347
55735	1054
100505887	0
23261	621
9341	4395
8863	690
10911	10
3604	267
11315	4889
54206	1914
102724539	0
50651	51
473	4575
102724552	19
2023	67334
102465436	0
100505975	6
765	50
155184	8
6518	3635
80045	253
407040	6
9563	5094
80176	1327
100506022	17
84275	177
199953	352
5293	5229
644997	48
101929074	9
22883	4440
56998	1455
84328	565
64802	387
100847055	0
105376719	0
116362	168
10277	1691
23095	2719
100422970	0
5226	9875
100526739	0
378708	11
1325	2
1676	611
5195	633
54897	377
148345	27
23435	4282
10747	171
6723	1455
5394	2327
2475	2503
100873935	3
10218	33
29914	812
57540	8
101929181	0
26232	114
93611	753
26270	1656
10459	1305
374946	41
57085	2797
284498	2
102724659	1
4524	2143
1185	917
100379251	28
4878	25
4879	0
26829	0
90231	1931
5351	5159
9927	4728
60672	1294
102466982	0
943	154
102465836	0
7133	11901
100616438	0
55187	2585
677885	1
9249	1216
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	1
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	11
10630	5706
7799	2821
23254	384
200197	50
55092	1493
727684	4
114827	284
101927417	33
79180	7418
11330	11
63036	0
51032	2
842	427
23341	679
79814	142
84301	287
6248	296
23207	4741
284723	96
388595	0
54751	2211
440567	278
729614	119
23013	3427
7709	1086
101928566	0
149563	0
27129	54
1187	7
1188	0
348487	6
1969	596
128272	363
101927546	0
79363	58
54455	1350
26099	6919
374955	4
55707	5413
114819	116
26871	0
100126512	2
100126517	0
102724970	0
100133301	0
7195	0
55672	162
84809	536
11209	27
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	13
100500876	0
100189298	0
7193	0
791226	0
9696	405
26870	4
4237	964
23400	2734
6390	3110
11240	689
29943	57
51702	5
100616188	0
23569	6
353238	0
55920	6295
55160	3408
81569	4
101927876	0
84966	188
127707	4
5081	0
80834	0
8659	289
100616120	0
100302276	0
126917	2824
23352	5712
23065	1744
51154	1124
246181	17
22977	9
100506730	74
8574	927
54896	628
832	12523
100532736	0
440574	1056
644068	26
4681	6
3362	0
255104	915
54546	0
23252	459
30814	0
5320	3669
5322	35
26279	158
64600	270
391013	4
127733	123
101928017	46
127731	0
339505	2
55450	437
79594	1399
163933	10
978	686
65018	537
102464833	0
100861548	183
1650	7502
57576	109
400745	104
50809	5985
8672	2212
100302155	0
1889	5608
100506801	29
84224	313
249	2879
5909	25
84196	2109
401944	31
3339	6877
23436	0
10136	0
101928043	13
29092	452
998	13040
54361	112
100616433	0
9923	2119
2046	2
102466615	0
712	30471
714	29659
713	41497
2048	536
100616391	1
100422914	0
646262	0
729059	0
23028	1842
100422866	0
100616177	0
7798	2319
3352	4
100996511	176
10236	5832
80818	1063
148898	53
6920	221
55616	976
1870	503
101928163	2
3399	644
259283	6
6135	21715
6924	1620
100506963	17
57095	1360
11313	1706
2582	469
3155	1108
2517	2078
1269	63
100616492	0
55629	3101
10772	3460
127294	74
58985	160
163702	187
284632	0
57822	298
90529	126
57185	1104
100750325	5
11123	697
100506985	100
400746	0
10250	2869
25932	11049
864	4073
102465437	2
100616365	0
25949	1963
57035	1821
6007	24
23585	2233
6006	13
55219	1233
26119	1348
57134	998
57190	7231
56181	851
646471	174
79000	28
164091	300
3925	3099
100500808	0
5051	652
2134	9
7780	2
105376910	0
84676	38
149420	569
79927	95
105376887	0
51042	184
10256	155
378807	4
101928303	1
64793	576
83442	17195
91544	1060
1043	3115
55057	284
257101	751
79727	0
79947	1322
101928324	9
3151	4089
6195	4639
100302190	0
101928728	52
8289	3687
55650	373
84243	2227
2810	14885
54707	467
63906	600
10726	1720
8431	0
126695	63
388610	28
115572	398
6548	1514
23038	2609
84065	1254
644961	64
100887744	0
84958	722
9064	899
8547	76
388611	6
2827	29
10163	8558
27245	670
2268	5865
2537	7045
199870	431
23673	3917
5511	1808
677774	0
9473	8354
6118	1916
27293	30
55113	643
2140	1104
5724	8107
22826	3210
93974	1505
83667	744
54797	532
65979	1672
1104	866
8420	565
6080	47
26768	90
54952	785
85028	376
692212	16
677838	66
677825	61
692073	19
115273	170
6883	771
26824	3
