Geneid	HISAT2 on data 284: aligned reads (BAM)
100287102	0
653635	130
102466751	4
100302278	0
645520	0
79501	0
729737	214
102725121	0
102723897	95
102465909	0
729759	0
100132287	1
105378947	2
101928626	6
102465432	20
81399	0
100133331	69
100288069	12
400728	17
79854	20
643837	453
284593	0
100130417	2
148398	28
26155	2145
339451	345
84069	614
84808	190
57801	140
9636	2177
375790	6210
105369174	0
105378948	20
401934	34
54991	385
254099	0
406984	0
406983	0
554210	13
254173	38
8784	305
7293	202
51150	5234
126792	809
388581	22
118424	1720
6339	243
116983	2600
102465434	0
126789	464
54973	2545
102465435	0
80772	1139
83756	20
1855	1735
102466740	0
54587	8864
54998	1536
81669	5088
148413	659
55052	1793
441869	104
643965	2
102724312	43
64856	2204
219293	37
83858	637
55210	665
339453	21
29101	3252
643988	572
142678	1694
8510	1
984	1263
728661	2582
8511	5
728642	650
9906	467
65220	2826
2782	15062
105378949	12
163688	34
339456	20
85452	2
2563	18
5590	460
100506504	33
199990	848
105378592	34
6497	4393
105378594	8
79906	188
100129534	42
11079	3792
5192	495
9651	50
55229	1
388585	0
115110	0
8764	10
100996583	0
127281	3
79258	0
100287898	0
140625	0
440556	9
63976	65
100422968	0
27237	550
1953	2933
693135	0
127262	2777
49856	605
7161	335
57212	1115
148870	3
388588	9
57470	1572
9731	1195
1677	224
339448	916
100133612	4
728716	0
284661	2
55966	136
100616489	0
100616421	0
261734	817
8514	2857
26038	12
6146	15372
102724450	11
388591	112
23463	4243
148645	13
390992	0
387509	1683
11332	1138
54626	1123
83715	626
100422975	0
8718	552
57449	1774
79707	659
80835	11
3104	618
9903	2478
148479	1156
90326	499
55735	1128
100505887	0
23261	890
9341	5437
8863	3469
10911	88
3604	134
11315	5413
54206	2534
102724539	0
50651	67
473	4968
102724552	10
2023	28656
102465436	0
100505975	0
765	146
155184	2
6518	1480
80045	407
407040	6
9563	7030
80176	1023
100506022	41
84275	183
199953	451
5293	2271
644997	4
101929074	29
22883	8886
56998	7326
84328	783
64802	412
100847055	0
105376719	2
116362	387
10277	2906
23095	3167
100422970	0
5226	5875
100526739	0
378708	33
1325	6
1676	1068
5195	630
54897	2312
148345	50
23435	5308
10747	119
6723	2326
