Geneid	HISAT2 on data 286: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	0
20671	0
27395	15
18777	39
100503730	0
21399	26
58175	0
108664	136
18387	0
226304	0
12421	77
620393	0
240690	13
319263	60
71096	0
59014	21
76187	3
72481	3
76982	0
17864	6
70675	119
73331	0
170755	68
620986	0
240697	1
73824	2
266793	1
100038398	0
100039596	0
69312	0
26754	63
211660	24
211673	95
329093	0
109294	0
320492	0
329096	0
240725	0
240726	0
383491	0
17978	77
72265	262
212442	30
381246	0
433273	0
14048	30
17681	0
277328	0
98741	0
21749	9
226866	0
665434	0
75799	0
19989	223
98711	2
29819	18
66799	23
67923	17
329101	0
70397	18
17087	7
57339	0
14545	2
94227	0
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	0
75028	0
387202	0
723817	0
16171	0
257630	0
17215	64
77741	0
74229	0
71877	0
170829	2
75712	0
14859	4
241041	0
368204	0
433278	0
98582	0
226922	0
116837	0
66755	0
387225	0
723964	0
70155	28
100503399	0
280645	0
98366	10
68002	1
68187	14
12839	0
12823	2
68421	84
210933	0
100504323	0
210940	0
433281	0
665903	4
210962	0
623924	0
791350	0
213109	77
19243	47
70988	0
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	22
67503	0
19335	4
213539	8
98403	17
433287	0
320705	0
13518	281
100628580	0
69668	43
27993	50
52318	2
19253	67
21755	0
12627	0
21756	0
211383	0
241051	0
226970	2
214469	136
226971	140
50785	38
320011	216
214854	57
214855	28
226976	38
214895	11
94220	11
94218	13
78321	0
109346	4
20353	6
381337	0
12859	38
226977	38
71166	0
22637	0
56030	109
70853	0
12790	0
269180	75
76178	72
67387	34
269181	75
77633	0
100861893	0
72097	4
100503734	0
211484	14
623661	4
69028	20
107734	21
332427	0
69541	0
98258	45
226982	45
56210	28
16764	0
381338	0
98388	0
100503760	0
433292	0
68833	24
18143	4
114641	64
54610	16
52846	8
100217461	1
67702	66
263764	2
619289	0
100042065	0
73426	0
26921	122
100047133	0
16178	0
16177	0
107527	2
17082	2
16182	1
16174	0
110895	0
226999	0
211798	2
381339	0
74897	0
66297	0
18993	0
73100	0
69527	28
93690	0
73122	53
98404	4
14200	0
666642	0
17974	17
100861934	0
78896	0
67883	21
100503192	1
22019	167
433294	1
75623	2
72050	9
246229	7
22592	0
100861960	0
403183	0
70676	0
75066	0
12825	0
12832	0
73674	25
433297	1
53945	26
100042453	0
212225	0
227058	0
100101919	0
227059	33
442837	0
56363	0
442821	0
20324	0
109019	20
100045066	0
17912	4
20849	2
100042634	0
20846	154
14660	121
17936	79
227094	0
98682	38
16329	2
227095	9
67080	0
17700	0
69397	0
227099	5
227102	30
72085	0
70396	37
627872	0
98267	27
329152	1
78016	0
98488	14
241062	53
329154	42
81898	298
67876	50
15510	41
15528	21
19070	38
74013	1
212679	12
75388	0
227120	3
626009	0
329159	0
71066	0
212712	2
329160	4
407809	0
75323	2
73467	2
68736	12
68115	25
67198	0
51960	8
68549	14
11761	1
71724	0
71872	0
213043	0
66882	213
12747	54
70225	8
65102	6
18393	27
100504455	0
213056	18
66495	12
100504501	2
108812	0
12633	336
12370	58
70827	103
227154	13
73463	0
381259	15
227157	0
74018	36
271697	4
14369	62
381260	0
22218	14
55989	40
100217459	0
100217421	0
12168	67
100504533	8
72750	14
70375	0
57750	12
241066	6
100504573	0
269198	98
77951	25
329165	37
77300	126
100043027	0
100042533	0
12487	34
100504618	0
12477	1
54167	2
77341	0
72823	4
18187	785
74992	30
227195	98
100380944	0
100504668	0
227197	56
55949	122
100217464	0
241070	0
73884	0
23792	0
241073	0
76668	0
75619	17
74426	0
433315	0
93691	24
12912	141
67099	7
69941	2
227210	16
14367	47
241075	277
70861	0
667276	0
12968	0
12967	0
12966	0
12965	0
12964	0
98303	1
15926	115
18711	201
213527	0
12969	0
17756	0
100038569	0
329178	0
66646	22
68691	44
11363	61
100862127	0
17901	0
14768	13
227231	0
13869	0
100502712	0
22779	2
66722	0
320460	0
12021	5
74591	0
108147	78
14268	27
100042814	0
667931	0
71134	0
433319	0
381269	0
111175	0
271711	0
22596	2
381270	0
54380	14
319695	0
19981	52
16008	0
16011	0
21958	0
69449	0
723792	0
78718	0
109198	0
21961	52
435626	0
100862357	0
12765	0
227288	0
100316687	0
76709	327
227289	0
227290	47
56695	2
69660	82
241112	0
18173	113
227292	40
387219	1
22349	0
319651	32
58184	67
18802	0
77264	23
66821	6
57751	4
269209	2
67534	2
104086	5
241113	0
22420	0
22409	0
12570	0
260298	0
12958	0
723900	0
241116	0
16147	0
75570	3
22626	0
69171	48
227298	41
68818	21
74104	13
245860	21
52231	10
74577	13
20872	32
22145	18
381272	0
56812	15
19275	0
19711	0
13437	41
13346	0
100503248	0
11790	48
69080	13
100862164	0
