Geneid	HISAT2 on data 150: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	0
20671	0
27395	81
18777	211
100503730	0
21399	85
58175	2
108664	369
18387	0
226304	0
12421	203
620393	0
240690	21
319263	128
71096	0
59014	21
76187	7
72481	22
76982	7
17864	27
70675	252
73331	0
170755	317
620986	5
240697	2
73824	29
266793	1
100038398	0
100039596	0
69312	0
26754	117
211660	38
211673	205
329093	0
109294	0
320492	0
329096	0
240725	0
240726	2
383491	0
17978	169
72265	1318
212442	149
381246	0
433273	2
14048	58
17681	0
277328	0
98741	0
21749	27
226866	0
665434	0
75799	0
19989	573
98711	31
29819	26
66799	151
67923	137
329101	0
70397	48
17087	42
57339	0
14545	0
94227	0
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	0
75028	0
387202	0
723817	0
16171	0
257630	0
17215	200
77741	0
74229	2
71877	0
170829	6
75712	11
14859	3
241041	0
368204	0
433278	0
98582	0
226922	0
116837	0
66755	0
387225	0
723964	0
70155	136
100503399	0
280645	1
98366	55
68002	12
68187	42
12839	0
12823	3
68421	136
210933	0
100504323	0
210940	0
433281	0
665903	9
210962	0
623924	0
791350	0
213109	150
19243	36
70988	0
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	55
67503	2
19335	12
213539	10
98403	22
433287	0
320705	0
13518	87
100628580	0
69668	84
27993	114
52318	20
19253	252
21755	0
12627	0
21756	0
211383	0
241051	0
226970	8
214469	493
226971	415
50785	71
320011	503
214854	89
214855	16
226976	46
214895	27
94220	31
94218	41
78321	3
109346	4
20353	45
381337	0
12859	107
226977	64
71166	0
22637	0
56030	177
70853	0
12790	0
269180	102
76178	287
67387	82
269181	137
77633	5
100861893	0
72097	0
100503734	0
211484	5
623661	1
69028	38
107734	83
332427	0
69541	0
98258	118
226982	101
56210	40
16764	0
381338	0
98388	11
100503760	0
433292	0
68833	52
18143	0
114641	310
54610	52
52846	67
100217461	4
67702	184
263764	7
619289	0
100042065	0
73426	0
26921	228
100047133	0
16178	0
16177	0
107527	0
17082	2
16182	0
16174	2
110895	0
226999	0
211798	13
381339	0
74897	0
66297	0
18993	0
73100	0
69527	32
93690	0
73122	161
98404	57
14200	0
666642	0
17974	19
100861934	2
78896	0
67883	22
100503192	5
22019	437
433294	3
75623	27
72050	35
246229	48
22592	18
100861960	0
403183	0
70676	0
75066	0
12825	0
12832	0
73674	65
433297	4
53945	99
100042453	0
212225	0
227058	0
100101919	0
227059	106
442837	0
56363	0
442821	0
20324	0
109019	91
100045066	0
17912	6
20849	18
100042634	2
20846	170
14660	502
17936	184
227094	16
98682	115
16329	17
227095	28
67080	0
17700	0
69397	0
227099	16
227102	97
72085	16
70396	157
627872	1
98267	307
329152	0
78016	0
98488	87
241062	127
329154	151
81898	796
67876	31
15510	128
15528	52
19070	159
74013	5
212679	20
75388	0
227120	1
626009	3
329159	0
71066	0
212712	4
329160	1
407809	0
75323	3
73467	45
68736	25
68115	37
67198	1
51960	22
68549	118
11761	1
71724	0
71872	0
213043	0
66882	688
12747	320
70225	40
65102	47
18393	95
100504455	2
213056	84
66495	26
100504501	3
108812	0
12633	283
12370	273
70827	165
227154	48
73463	0
381259	42
227157	0
74018	46
271697	7
14369	76
381260	0
22218	55
55989	110
100217459	2
100217421	0
12168	88
100504533	21
72750	105
70375	2
57750	30
241066	16
100504573	1
269198	148
77951	83
329165	163
77300	151
100043027	1
100042533	2
12487	86
100504618	0
12477	0
54167	0
77341	0
72823	3
18187	1084
74992	10
227195	138
100380944	5
100504668	4
227197	180
55949	369
100217464	0
241070	0
73884	0
23792	0
241073	0
76668	0
75619	85
74426	2
433315	0
93691	7
12912	307
67099	30
69941	4
227210	18
14367	34
241075	142
70861	0
667276	0
12968	0
12967	0
12966	0
12965	0
12964	0
98303	4
15926	768
18711	611
213527	0
12969	0
17756	0
100038569	0
329178	0
66646	108
68691	49
11363	107
100862127	0
17901	0
14768	30
227231	0
13869	0
100502712	0
22779	2
66722	0
320460	0
12021	56
74591	0
108147	127
14268	14
100042814	0
667931	0
71134	0
433319	0
381269	0
111175	10
271711	0
22596	0
381270	0
54380	44
319695	0
19981	119
16008	0
16011	0
21958	0
69449	0
723792	0
78718	0
109198	0
21961	75
435626	0
100862357	0
12765	1
227288	0
100316687	0
76709	1142
227289	0
227290	151
56695	9
69660	175
241112	4
18173	184
227292	71
387219	0
22349	0
319651	101
58184	149
18802	0
77264	7
66821	22
57751	38
269209	5
67534	40
104086	21
241113	0
22420	7
22409	0
12570	0
260298	0
12958	0
723900	0
241116	0
16147	0
75570	7
22626	0
69171	86
227298	150
68818	32
74104	32
245860	82
52231	23
74577	29
20872	38
22145	48
381272	0
56812	11
19275	2
19711	0
13437	105
13346	0
100503248	0
11790	100
69080	50
