"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","category"
"GO:0031400","negative regulation of protein modification process","45/1370","473/28891",8.26868283876012e-06,0.00137673569265356,0.0011916151156779,"Ivns1abp/Smyd3/Fbxo5/Atg5/Dusp6/Ctdsp2/Flcn/Cd300a/Prkar2b/Trim27/Sox4/Dusp22/Tppp/Pde4d/Tfap4/Samsn1/Dusp1/Impact/Smad7/Pten/Rassf2/Trib3/Snta1/Dbndd2/Ptpn1/Dnaja1/Tesk1/Shb/Jun/Cdkn2c/Errfi1/Dvl1/Hgf/Gadd45a/Lrp6/Cdkn1b/Apoe/Akt1s1/Smpd1/Sirt3/Rps23rg1/Fkbp8/Rasd2/Terf2ip/Chordc1",45,"up_BP"
"GO:0043409","negative regulation of MAPK cascade","22/1370","187/28891",8.30914389179334e-05,0.00647401850152028,0.00560349989235821,"Dusp6/Flcn/Per1/Cd300a/Dusp1/Lemd2/Pten/Dusp5/Dusp2/Ptpn1/E130311K13Rik/Dnaja1/Klf4/Tlr4/Errfi1/Emilin1/Sh2b3/Apoe/Smpd1/Sirt3/Dusp8/Pik3r2",22,"up_BP"
"GO:0006091","generation of precursor metabolites and energy","38/1370","484/28891",0.00175584188048188,0.0443370878635425,0.0383753718053935,"Rb1cc1/Sdhaf4/1700066M21Rik/Idh1/Afg1l/Ddit4/Aldh1l2/Flcn/Nr1d1/Galk1/Nhlrc1/Prxl2c/Ppif/Oxa1l/Jmjd8/Msh2/Cat/Mtfr1/Pink1/Slc25a33/Crot/Khk/Hk2/Pde2a/Sirt3/Irs2/Ppp1r3b/Pgls/Coq9/Thap11/Coa6/Fdx1/COX2/ATP8/ATP6/COX3/ND4L/Prps2",38,"up_BP"
"GO:0016032","viral process","66/1069","329/28891",1.01328342781957e-29,4.54288736805773e-27,3.08607022928907e-27,"Stat1/Sp100/Dhx9/Hmga2/Larp1/Rnasek/Ccl8/Ccl5/Trim25/Hexim1/Itgb3/Rsad2/Ccnk/Trim13/Ly6e/Apobec3/Pcbp2/Mx2/Tmprss2/Igf2r/Brd4/Tnf/Trim15/Eif2ak2/Cd74/Grk2/Ch25h/Ifih1/Siglec1/Chmp4b/Znfx1/Adar/Gbp7/Gbp3/Trim14/Hdac1/Isg15/Oasl2/Oasl1/Oas2/Oas3/Oas1b/Oas1h/Oas1g/Oas1a/Denr/Trim56/Cav1/Pcbp1/Rab7/Resf1/Axl/Isg20/Trim21/Trim34a/Trim5/Trim12a/Trim30b/Trim30c/Trim30a/Trim30d/Ifitm3/Tpcn2/Bst2/Plscr1/Ltf",66,"down_BP"
"GO:0030522","intracellular receptor signaling pathway","52/1069","328/28891",7.08874695397596e-19,1.2302406003997e-16,8.35725956679271e-17,"Wdfy1/Zbtb7a/Hmga2/Irgm1/Gm12250/Igtp/Irgm2/Scimp/Rnf135/Trim25/Dhx58/Asxl2/Rsad2/Zmiz1/Ubr5/Kmt2d/Mefv/Daxx/Tnf/Trim15/Trerf1/Safb2/Eif2ak2/Slc15a3/Pik3ap1/Ifih1/Ptpn22/Gbp5/Gbp2/Rigi/Hdac1/Arid1a/Tlr6/Ankrd17/Oasl1/Oas3/Oas1b/Oas1h/Oas1g/Oas1a/Ncor2/Flt1/Cav1/Nod1/Trim30a/Irf7/Tlr3/Ddx60/Klf2/Nod2/Pml/Tlr9",52,"down_BP"
"GO:0044403","biological process involved in symbiotic interaction","45/1069","264/28891",9.44521761602796e-18,1.33724396774291e-15,9.08415389552606e-16,"Fn1/Arg1/Hmga2/Rnasek/Ccl8/Ccl5/Trim25/Itgb3/Ccnk/Naip5/Ly6e/Pi4ka/Tmprss2/Igf2r/Brd4/Cd74/Grk2/Ch25h/Siglec1/Chmp4b/Romo1/Gbp7/Gbp3/Gbp2/Hdac1/Napepld/Gbp9/Gbp6/Trim56/Cav1/Rab7/Axl/Trim21/Trim34a/Trim5/Trim12a/Trim30b/Trim30c/Trim30a/Trim30d/Ifitm3/Tpcn2/Nod2/Gpx1/Ltf",45,"down_BP"
"GO:0043122","regulation of canonical NF-kappaB signal transduction","40/1069","217/28891",3.7662367488876e-17,5.19547531000392e-15,3.52938569288468e-15,"Stat1/Tab2/Traf3ip2/Irgm1/Igtp/Irgm2/Trim25/Rnf31/Trim13/Card6/Brd4/Tnf/Cd74/Il1a/Cd40/Tnfsf10/Gbp7/Gbp3/Tnfsf15/Hdac1/Tlr6/Ankrd17/Card11/Nod1/Akap13/Trim21/Trim34a/Trim5/Trim12a/Trim30b/Trim30c/Trim30a/Trim30d/Gprc5b/Tlr3/Wdr83/Nod2/Casp1/Tlr9/Ltf",40,"down_BP"
"GO:0007249","canonical NF-kappaB signal transduction","43/1069","258/28891",1.18745151748201e-16,1.5210688485841e-14,1.03329114503698e-14,"Stat1/Tab2/Traf3ip2/Irgm1/Igtp/Irgm2/Trim25/Rnf31/Trim13/Card6/Brd4/Tnf/Cd74/Malt1/Il1a/Cd40/Tnfsf10/Tlr2/Gbp7/Gbp3/Tnfsf15/Hdac1/Tlr6/Ankrd17/Card11/Nod1/Saa3/Akap13/Trim21/Trim34a/Trim5/Trim12a/Trim30b/Trim30c/Trim30a/Trim30d/Gprc5b/Tlr3/Wdr83/Nod2/Casp1/Tlr9/Ltf",43,"down_BP"
"GO:0051090","regulation of DNA-binding transcription factor activity","54/1069","436/28891",8.67292126235229e-15,9.1490816453834e-13,6.21514605219549e-13,"Sp100/Il10/Ikbke/Dhx9/Arid5b/Zbtb7a/Hmga2/Rnf41/Trim25/Cacna1d/Rnf31/Trim13/Acod1/Parp10/Cd200/Tnf/Trim15/Eif2ak2/Cyp1b1/Malt1/Pprc1/Hck/Cd40/Tlr2/Rigi/Trim14/Plpp3/Lrp8/Tlr6/Cmklr1/Card11/Cav1/Mtpn/Hipk2/Mturn/Nod1/Tgfb1/Slco3a1/Trim21/Trim34a/Trim5/Trim12a/Trim30b/Trim30c/Trim30a/Trim30d/Kat6a/Tlr3/Nfix/Nod2/Nlrc5/Tlr9/Ltf/Flna",54,"down_BP"
"GO:0001818","negative regulation of cytokine production","43/1069","314/28891",1.52051882863266e-13,1.25852173816057e-11,8.54937874172079e-12,"Fn1/Il10/Arg1/Cd24a/Irgm1/Igtp/Irgm2/Xaf1/Lgals9/Dhx58/Acod1/Ubr5/Hdac7/Mefv/Cd200/Ezr/Tnf/Nmi/Siglec1/Tlr2/Ptpn22/Gbp7/Gbp3/Tlr6/Gbp4/Cmklr1/Oas3/Oas1b/Oas1h/Oas1g/Oas1a/Flt1/Met/Gpnmb/Il23r/Tgfb1/Axl/Trim30a/Bst2/Klf2/Nod2/Acp5/Pml",43,"down_BP"
