Geneid	HISAT2 on data 121: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	0
20671	0
27395	3706
18777	2693
100503730	0
21399	2449
58175	0
108664	6348
18387	0
226304	0
12421	1135
620393	0
240690	0
319263	989
71096	0
59014	1876
76187	204
72481	132
76982	0
17864	2
70675	1353
73331	0
170755	3730
620986	126
240697	17
73824	171
266793	10
100038398	8
100039596	3
69312	0
26754	4039
211660	329
211673	466
329093	0
109294	0
320492	0
329096	0
240725	0
240726	0
383491	0
17978	134
72265	21651
212442	518
381246	0
433273	6
14048	0
17681	0
277328	0
98741	0
21749	905
226866	0
665434	0
75799	0
19989	2374
98711	105
29819	266
66799	3052
67923	6533
329101	0
70397	5160
17087	537
57339	0
14545	0
94227	0
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	2
75028	0
387202	0
723817	0
16171	0
257630	0
17215	3712
77741	0
74229	0
71877	0
170829	90
75712	155
14859	17
241041	0
368204	0
433278	0
98582	0
226922	0
116837	0
66755	0
387225	0
723964	0
70155	4034
100503399	0
280645	0
98366	3311
68002	2776
68187	226
12839	0
12823	0
68421	8551
210933	0
100504323	0
210940	0
433281	0
665903	128
210962	0
623924	0
791350	0
213109	389
19243	5640
70988	53
266744	0
74708	0
226957	0
624262	7
170771	0
408192	0
408191	0
19076	1343
67503	0
19335	57
213539	72
98403	687
433287	2
320705	1712
13518	1071
100628580	0
69668	5963
27993	7916
52318	160
19253	716
21755	0
12627	0
21756	0
211383	0
241051	0
226970	437
214469	1386
226971	13513
50785	402
320011	474
214854	164
214855	238
226976	236
214895	3909
94220	2446
94218	523
78321	746
109346	665
20353	0
381337	1
12859	4508
226977	3854
71166	5
22637	0
56030	177
70853	0
12790	0
269180	2388
76178	1354
67387	10064
269181	818
77633	36
100861893	0
72097	0
100503734	0
211484	251
623661	169
69028	1547
107734	4273
332427	0
69541	0
98258	8826
226982	3992
56210	308
16764	0
381338	0
98388	0
100503760	0
433292	0
68833	10378
18143	0
114641	2165
54610	2
52846	2146
100217461	8
67702	4763
263764	349
619289	0
100042065	0
73426	0
26921	150
100047133	0
16178	0
16177	118
107527	482
17082	0
16182	0
16174	0
110895	3031
226999	632
211798	671
381339	16
74897	0
66297	0
18993	0
73100	0
69527	1351
93690	0
73122	354
98404	135
14200	0
666642	0
17974	161
100861934	0
78896	8
67883	1581
100503192	24
22019	1074
433294	1
75623	1545
72050	1539
246229	35
22592	118
100861960	0
403183	0
70676	0
75066	0
12825	0
12832	0
73674	1683
433297	741
53945	1228
100042453	0
212225	0
227058	0
100101919	0
227059	632
442837	0
56363	0
442821	0
20324	0
109019	2984
100045066	51
17912	0
20849	0
100042634	1
20846	3635
14660	837
17936	1636
227094	72
98682	25
16329	289
227095	583
67080	0
17700	0
69397	0
227099	338
227102	1675
72085	566
70396	2894
627872	0
98267	2395
329152	44
78016	0
98488	552
241062	226
329154	884
81898	4922
67876	2000
15510	5744
15528	2575
19070	2136
74013	9
212679	171
75388	0
227120	0
626009	60
329159	0
71066	0
212712	48
329160	18
407809	0
75323	16
73467	250
68736	768
68115	1733
67198	0
51960	324
68549	239
11761	2
71724	0
71872	0
213043	0
66882	12521
12747	2802
70225	1206
65102	2195
18393	504
100504455	0
213056	28
66495	2822
100504501	47
108812	0
12633	606
12370	8256
70827	210
227154	1491
73463	0
381259	635
227157	2
74018	259
271697	0
14369	171
381260	0
22218	12461
55989	2784
100217459	0
100217421	0
12168	13
100504533	36
72750	670
70375	0
57750	3597
241066	31
100504573	0
269198	324
77951	2162
329165	147
77300	81
100043027	0
100042533	1
12487	0
100504618	0
12477	0
54167	0
77341	0
72823	25
18187	410
74992	0
227195	525
100380944	36
100504668	60
227197	2926
55949	1700
100217464	4
241070	13
73884	0
23792	0
241073	0
76668	83
75619	2487
74426	0
433315	0
93691	747
12912	471
67099	1279
69941	27
227210	121
14367	6
241075	566
70861	0
667276	1
12968	0
12967	0
12966	0
12965	0
12964	0
98303	13
15926	53678
18711	399
213527	0
12969	0
17756	0
100038569	0
329178	0
66646	1584
68691	346
11363	3279
100862127	0
17901	0
14768	1683
227231	0
13869	0
100502712	0
22779	14
66722	0
320460	0
12021	24
74591	0
108147	903
14268	3589
100042814	19
667931	16
71134	195
433319	2
381269	351
111175	1804
271711	0
22596	1451
381270	27
54380	722
319695	0
19981	1138
16008	0
16011	0
21958	0
69449	0
723792	0
78718	0
109198	0
21961	846
435626	5115
100862357	0
12765	68
227288	220
100316687	0
76709	140870
227289	0
227290	13761
56695	2045
69660	17072
241112	2
18173	739
227292	351
387219	1
22349	4
319651	528
58184	3636
18802	0
77264	92
66821	1103
57751	2633
269209	11
67534	6
104086	235
241113	0
22420	0
22409	0
12570	0
260298	0
12958	0
723900	0
241116	0
16147	0
75570	613
22626	0
