Geneid	HISAT2 on data 93: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	0
20671	122
27395	701
18777	2061
100503730	0
21399	607
58175	0
108664	3773
18387	0
226304	0
12421	948
620393	0
240690	0
319263	1034
71096	0
59014	473
76187	146
72481	41
76982	0
17864	8
70675	729
73331	2
170755	2146
620986	11
240697	25
73824	27
266793	3
100038398	31
100039596	7
69312	0
26754	1599
211660	148
211673	1055
329093	0
109294	55
320492	0
329096	0
240725	8
240726	0
383491	0
17978	674
72265	6094
212442	308
381246	0
433273	6
14048	9
17681	0
277328	0
98741	0
21749	280
226866	0
665434	0
75799	1
19989	1554
98711	109
29819	96
66799	937
67923	738
329101	0
70397	965
17087	226
57339	0
14545	3
94227	0
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	4
75028	0
387202	0
723817	0
16171	0
257630	0
17215	3195
77741	0
74229	42
71877	16
170829	20
75712	37
14859	1
241041	2
368204	0
433278	0
98582	0
226922	5
116837	0
66755	0
387225	0
723964	0
70155	614
100503399	0
280645	12
98366	687
68002	302
68187	392
12839	0
12823	0
68421	2088
210933	0
100504323	0
210940	0
433281	0
665903	23
210962	0
623924	0
791350	2
213109	398
19243	4494
70988	23
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	327
67503	0
19335	91
213539	54
98403	669
433287	9
320705	566
13518	1321
100628580	0
69668	1822
27993	1960
52318	167
19253	182
21755	0
12627	0
21756	0
211383	0
241051	0
226970	384
214469	3583
226971	14525
50785	2979
320011	2138
214854	255
214855	131
226976	745
214895	814
94220	421
94218	1686
78321	423
109346	357
20353	50
381337	2
12859	906
226977	1785
71166	0
22637	2
56030	849
70853	0
12790	0
269180	278
76178	3065
67387	1895
269181	1029
77633	27
100861893	0
72097	0
100503734	0
211484	64
623661	26
69028	460
107734	530
332427	3
69541	0
98258	1412
226982	927
56210	242
16764	37
381338	0
98388	0
100503760	0
433292	0
68833	1202
18143	0
114641	410
54610	45
52846	909
100217461	3
67702	3995
263764	241
619289	0
100042065	0
73426	0
26921	393
100047133	1
16178	0
16177	141
107527	955
17082	21
16182	21
16174	18
110895	3839
226999	976
211798	494
381339	0
74897	0
66297	0
18993	0
73100	0
69527	595
93690	0
73122	942
98404	381
14200	2
666642	0
17974	147
100861934	0
78896	1
67883	662
100503192	1
22019	2267
433294	3
75623	288
72050	587
246229	219
22592	167
100861960	0
403183	2
70676	12
75066	0
12825	92
12832	29
73674	564
433297	162
53945	315
100042453	0
212225	0
227058	0
100101919	7
227059	1866
442837	0
56363	24
442821	0
20324	808
109019	6544
100045066	17
17912	32
20849	12
100042634	1
20846	2829
14660	3177
17936	1407
227094	79
98682	138
16329	150
227095	162
67080	2
17700	0
69397	0
227099	237
227102	1124
72085	155
70396	1453
627872	0
98267	8874
329152	62
78016	2
98488	486
241062	365
329154	1732
81898	8657
67876	1118
15510	1904
15528	409
19070	1160
74013	21
212679	82
75388	0
227120	56
626009	16
329159	0
71066	0
212712	12
329160	0
407809	0
75323	2
73467	167
68736	183
68115	279
67198	3
51960	244
68549	85
11761	6
71724	88
71872	0
213043	0
66882	6045
12747	2375
70225	417
65102	587
18393	463
100504455	0
213056	148
66495	656
100504501	5
108812	0
12633	576
12370	2640
70827	316
227154	508
73463	0
381259	98
227157	0
74018	492
271697	0
14369	701
381260	2
22218	1654
55989	905
100217459	0
100217421	0
12168	61
100504533	67
72750	1068
70375	5
57750	716
241066	34
100504573	0
269198	247
77951	636
329165	163
77300	66
100043027	0
100042533	0
12487	6
100504618	0
12477	2
54167	16
77341	0
72823	27
18187	1166
74992	1
227195	177
100380944	12
100504668	37
227197	3128
55949	909
100217464	3
241070	1
73884	0
23792	4
241073	2
76668	2
75619	944
74426	0
433315	0
93691	273
12912	590
67099	518
69941	21
227210	146
14367	41
241075	892
70861	0
667276	0
12968	0
12967	0
12966	0
12965	0
12964	0
98303	2
15926	16655
18711	451
213527	0
12969	0
17756	0
100038569	0
329178	0
66646	1145
68691	135
11363	1721
100862127	0
17901	0
14768	736
227231	0
13869	0
100502712	0
22779	33
66722	0
320460	0
12021	17
74591	0
108147	671
14268	16132
100042814	12
667931	5
71134	105
433319	0
381269	341
111175	542
271711	0
22596	872
381270	43
54380	577
319695	1
19981	357
16008	2
16011	38
21958	0
69449	0
723792	0
78718	0
109198	0
21961	3046
435626	2313
100862357	0
12765	37
227288	60
100316687	0
76709	20730
227289	18
227290	6230
56695	240
69660	11143
241112	1
18173	71
227292	157
387219	0
22349	4
319651	664
58184	939
18802	2
77264	225
66821	247
57751	388
269209	20
67534	103
104086	162
241113	0
22420	2
22409	2
12570	0
260298	0
12958	0
723900	0
241116	0
16147	2
75570	183
22626	0
69171	2612
227298	2752
68818	747
74104	348
245860	1533
52231	416
74577	183
