Geneid	HISAT2 on data 333: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	4
20671	0
27395	162
18777	409
100503730	0
21399	369
58175	0
108664	408
18387	0
226304	0
12421	296
620393	0
240690	35
319263	383
71096	0
59014	89
76187	3
72481	0
76982	0
17864	6
70675	349
73331	3
170755	270
620986	7
240697	3
73824	42
266793	0
100038398	10
100039596	0
69312	0
26754	487
211660	158
211673	985
329093	0
109294	1
320492	0
329096	0
240725	3
240726	636
383491	0
17978	2543
72265	617
212442	105
381246	0
433273	4
14048	0
17681	0
277328	0
98741	0
21749	171
226866	3
665434	0
75799	0
19989	7124
98711	55
29819	57
66799	773
67923	923
329101	5
70397	698
17087	216
57339	0
14545	0
94227	0
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	0
75028	0
387202	0
723817	0
16171	0
257630	0
17215	198
77741	0
74229	97
71877	10
170829	2
75712	17
14859	41
241041	1
368204	0
433278	0
98582	0
226922	0
116837	0
66755	0
387225	1
723964	0
70155	5204
100503399	0
280645	27
98366	189
68002	133
68187	121
12839	0
12823	0
68421	329
210933	0
100504323	0
210940	0
433281	0
665903	4
210962	0
623924	0
791350	0
213109	458
19243	147
70988	0
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	94
67503	1
19335	52
213539	22
98403	251
433287	2
320705	8
13518	455
100628580	0
69668	586
27993	347
52318	63
19253	132
21755	0
12627	0
21756	0
211383	0
241051	0
226970	36
214469	2049
226971	4041
50785	101
320011	746
214854	846
214855	268
226976	1802
214895	160
94220	173
94218	287
78321	133
109346	81
20353	379
381337	25
12859	733
226977	485
71166	0
22637	2
56030	4367
70853	42
12790	1
269180	392
76178	1316
67387	307
269181	875
77633	30
100861893	0
72097	1
100503734	0
211484	17
623661	21
69028	49
107734	245
332427	0
69541	0
98258	586
226982	750
56210	82
16764	138
381338	0
98388	73
100503760	1
433292	0
68833	1220
18143	36
114641	2145
54610	10017
52846	346
100217461	6
67702	706
263764	13
619289	0
100042065	0
73426	1
26921	13369
100047133	0
16178	1727
16177	46
107527	7
17082	30
16182	311
16174	240
110895	13
226999	0
211798	48
381339	1
74897	0
66297	0
18993	0
73100	0
69527	426
93690	0
73122	349
98404	78
14200	2
666642	1
17974	798
100861934	33
78896	0
67883	182
100503192	1
22019	458
433294	0
75623	48
72050	326
246229	168
22592	289
100861960	0
403183	0
70676	0
75066	0
12825	46
12832	19
73674	142
433297	56
53945	63
100042453	0
212225	0
227058	0
100101919	0
227059	83
442837	0
56363	0
442821	0
20324	0
109019	2152
100045066	12
17912	27
20849	4239
100042634	2
20846	2975
14660	2099
17936	406
227094	143
98682	221
16329	10
227095	18
67080	0
17700	0
69397	2
227099	39
227102	383
72085	61
70396	732
627872	3
98267	2121
329152	30
78016	6
98488	157
241062	57
329154	3687
81898	4502
67876	117
15510	381
15528	1022
19070	403
74013	7
212679	26
75388	0
227120	286
626009	1
329159	0
71066	0
212712	15
329160	2
407809	0
75323	1
73467	37
68736	271
68115	104
67198	1
51960	445
68549	27
11761	2
71724	2
71872	0
213043	3
66882	1303
12747	1039
70225	56
65102	93
18393	73
100504455	0
213056	105
66495	235
100504501	23
108812	0
12633	2286
12370	407
70827	273
227154	99
73463	0
381259	89
227157	2
74018	332
271697	4
14369	117
381260	0
22218	1106
55989	86
100217459	0
100217421	0
12168	51
100504533	31
72750	1439
70375	10
57750	79
241066	11
100504573	1
269198	90
77951	76
329165	217
77300	244
100043027	0
100042533	0
12487	20
100504618	0
12477	0
54167	134
77341	0
72823	7
18187	1440
74992	6
227195	550
100380944	31
100504668	9
227197	340
55949	2279
100217464	12
241070	0
73884	0
23792	5833
241073	0
76668	0
75619	61
74426	0
433315	0
93691	21
12912	1328
67099	157
69941	6
227210	45
14367	46
241075	289
70861	0
667276	0
12968	0
12967	0
12966	0
12965	0
12964	0
98303	0
15926	1662
18711	604
213527	0
12969	0
17756	0
100038569	0
329178	5
66646	670
68691	98
11363	414
100862127	0
17901	0
14768	269
227231	0
13869	0
100502712	0
22779	92
66722	1
320460	0
12021	9
74591	0
108147	441
14268	1110
100042814	0
667931	0
71134	1
433319	0
381269	3615
111175	22
271711	4
22596	9
381270	0
54380	284
319695	0
19981	214
16008	3
16011	0
21958	0
69449	0
723792	0
78718	0
109198	0
21961	36
435626	1
100862357	0
12765	10
227288	0
100316687	0
76709	4359
227289	0
227290	2023
56695	1280
69660	1110
241112	2
18173	119
227292	567
387219	1
22349	0
319651	128
58184	575
18802	0
77264	213
66821	52
57751	122
269209	9
67534	51
104086	355
241113	0
22420	24
22409	1
12570	0
260298	0
12958	0
723900	0
241116	0
16147	1
75570	20
22626	0
69171	1883
227298	494
68818	406
74104	59
245860	375
52231	258
74577	45
20872	227
22145	67
381272	0
56812	555
19275	8
