Geneid	HISAT2 on data 353: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	0
20671	0
27395	66
18777	145
100503730	2
21399	153
58175	1
108664	340
18387	0
226304	0
12421	103
620393	0
240690	31
319263	164
71096	0
59014	52
76187	10
72481	1
76982	0
17864	1
70675	206
73331	4
170755	151
620986	2
240697	0
73824	6
266793	0
100038398	0
100039596	0
69312	1
26754	173
211660	90
211673	507
329093	0
109294	1
320492	0
329096	0
240725	0
240726	102
383491	0
17978	556
72265	504
212442	103
381246	0
433273	0
14048	2
17681	0
277328	0
98741	0
21749	131
226866	0
665434	0
75799	0
19989	1717
98711	10
29819	18
66799	187
67923	293
329101	1
70397	78
17087	135
57339	1
14545	0
94227	0
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	0
75028	0
387202	0
723817	0
16171	0
257630	0
17215	136
77741	0
74229	27
71877	4
170829	11
75712	10
14859	33
241041	0
368204	0
433278	0
98582	0
226922	0
116837	0
66755	0
387225	0
723964	0
70155	924
100503399	0
280645	14
98366	119
68002	76
68187	51
12839	0
12823	0
68421	416
210933	0
100504323	0
210940	0
433281	0
665903	1
210962	0
623924	0
791350	0
213109	237
19243	77
70988	0
266744	1
74708	0
226957	0
624262	0
170771	0
408192	0
408191	1
19076	33
67503	0
19335	27
213539	13
98403	115
433287	1
320705	5
13518	306
100628580	6
69668	270
27993	179
52318	34
19253	72
21755	0
12627	0
21756	0
211383	0
241051	0
226970	25
214469	1112
226971	1625
50785	123
320011	360
214854	377
214855	151
226976	498
214895	81
94220	87
94218	149
78321	74
109346	28
20353	199
381337	4
12859	218
226977	310
71166	0
22637	0
56030	1154
70853	7
12790	1
269180	354
76178	444
67387	110
269181	228
77633	9
100861893	0
72097	8
100503734	0
211484	2
623661	10
69028	69
107734	66
332427	0
69541	0
98258	202
226982	419
56210	59
16764	49
381338	0
98388	56
100503760	1
433292	0
68833	443
18143	5
114641	485
54610	4048
52846	127
100217461	2
67702	818
263764	28
619289	0
100042065	0
73426	0
26921	5592
100047133	0
16178	396
16177	33
107527	4
17082	1
16182	77
16174	211
110895	8
226999	0
211798	20
381339	1
74897	0
66297	0
18993	0
73100	0
69527	148
93690	0
73122	242
98404	56
14200	0
666642	1
17974	278
100861934	5
78896	0
67883	60
100503192	1
22019	227
433294	0
75623	14
72050	172
246229	57
22592	123
100861960	0
403183	0
70676	0
75066	0
12825	81
12832	17
73674	90
433297	63
53945	147
100042453	0
212225	0
227058	0
100101919	0
227059	39
442837	0
56363	0
442821	0
20324	2
109019	471
100045066	8
17912	31
20849	692
100042634	0
20846	2155
14660	743
17936	140
227094	61
98682	110
16329	11
227095	26
67080	0
17700	0
69397	0
227099	13
227102	151
72085	22
70396	290
627872	0
98267	663
329152	5
78016	0
98488	49
241062	105
329154	1017
81898	1871
67876	46
15510	237
15528	305
19070	168
74013	21
212679	20
75388	0
227120	144
626009	0
329159	0
71066	0
212712	16
329160	0
407809	0
75323	0
73467	16
68736	143
68115	52
67198	3
51960	245
68549	6
11761	7
71724	2
71872	0
213043	0
66882	461
12747	353
70225	29
65102	65
18393	40
100504455	0
213056	44
66495	68
100504501	6
108812	0
12633	896
12370	226
70827	134
227154	28
73463	0
381259	37
227157	0
74018	207
271697	0
14369	134
381260	2
22218	435
55989	67
100217459	0
100217421	0
12168	26
100504533	15
72750	527
70375	3
57750	23
241066	7
100504573	0
269198	37
77951	47
329165	91
77300	264
100043027	0
100042533	0
12487	41
100504618	0
12477	0
54167	15
77341	0
72823	3
18187	1209
74992	6
227195	231
100380944	10
100504668	9
227197	150
55949	564
100217464	1
241070	0
73884	0
23792	936
241073	0
76668	0
75619	27
74426	0
433315	0
93691	26
12912	405
67099	95
69941	0
227210	9
14367	51
241075	235
70861	0
667276	1
12968	0
12967	0
12966	0
12965	0
12964	0
98303	2
15926	761
18711	308
213527	0
12969	0
17756	0
100038569	0
329178	2
66646	304
68691	96
11363	159
100862127	0
17901	0
14768	89
227231	0
13869	0
100502712	0
22779	30
66722	0
320460	0
12021	6
74591	0
108147	257
14268	3742
100042814	0
667931	0
71134	0
433319	0
381269	1097
111175	10
271711	0
22596	5
381270	0
54380	130
319695	0
19981	52
16008	0
16011	8
21958	0
69449	0
723792	0
78718	0
109198	0
21961	72
435626	0
100862357	0
12765	15
227288	0
100316687	0
76709	2266
227289	0
227290	904
56695	425
69660	369
241112	0
18173	529
227292	435
387219	0
22349	1
319651	41
58184	279
18802	0
77264	170
66821	9
57751	83
269209	9
67534	38
104086	222
241113	1
22420	29
22409	0
12570	0
260298	0
12958	0
723900	0
241116	0
16147	1
75570	7
22626	9
69171	1186
227298	441
68818	189
74104	43
245860	253
52231	208
74577	41
20872	95
22145	144
381272	2
56812	203
19275	12
19711	0
13437	193
13346	0
100503248	0
