Geneid	HISAT2 on data 330: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	0
20671	0
27395	301
18777	382
100503730	0
21399	261
58175	3
108664	739
18387	0
226304	0
12421	607
620393	0
240690	196
319263	649
71096	2
59014	228
76187	7
72481	6
76982	1
17864	23
70675	950
73331	1
170755	920
620986	9
240697	0
73824	120
266793	2
100038398	33
100039596	1
69312	1
26754	566
211660	405
211673	1666
329093	0
109294	1
320492	1
329096	0
240725	9
240726	516
383491	1
17978	2106
72265	1566
212442	155
381246	0
433273	8
14048	1
17681	0
277328	0
98741	0
21749	256
226866	7
665434	0
75799	0
19989	6504
98711	65
29819	101
66799	416
67923	416
329101	0
70397	250
17087	147
57339	1
14545	0
94227	0
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	0
75028	0
387202	0
723817	0
16171	0
257630	1
17215	424
77741	0
74229	42
71877	24
170829	19
75712	20
14859	7
241041	0
368204	0
433278	0
98582	0
226922	1
116837	0
66755	0
387225	0
723964	0
70155	1730
100503399	1
280645	24
98366	449
68002	87
68187	162
12839	0
12823	0
68421	637
210933	1
100504323	0
210940	0
433281	0
665903	2
210962	0
623924	0
791350	0
213109	1381
19243	332
70988	0
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	116
67503	2
19335	73
213539	20
98403	380
433287	6
320705	58
13518	1531
100628580	1
69668	664
27993	833
52318	157
19253	874
21755	0
12627	1
21756	0
211383	1
241051	0
226970	116
214469	4144
226971	2646
50785	469
320011	3141
214854	3352
214855	660
226976	1658
214895	484
94220	267
94218	580
78321	176
109346	122
20353	335
381337	0
12859	731
226977	1065
71166	3
22637	0
56030	2211
70853	1
12790	0
269180	851
76178	1625
67387	406
269181	2570
77633	51
100861893	0
72097	16
100503734	0
211484	64
623661	28
69028	120
107734	421
332427	0
69541	0
98258	612
226982	2098
56210	240
16764	129
381338	0
98388	149
100503760	4
433292	0
68833	775
18143	15
114641	2397
54610	7730
52846	442
100217461	24
67702	2332
263764	76
619289	1
100042065	0
73426	0
26921	8441
100047133	27
16178	3161
16177	133
107527	355
17082	1161
16182	767
16174	1167
110895	23
226999	0
211798	22
381339	0
74897	0
66297	0
18993	0
73100	0
69527	605
93690	0
73122	853
98404	172
14200	34
666642	63
17974	258
100861934	16
78896	0
67883	196
100503192	10
22019	983
433294	3
75623	66
72050	222
246229	175
22592	276
100861960	0
403183	0
70676	0
75066	0
12825	49
12832	11
73674	304
433297	13
53945	549
100042453	0
212225	0
227058	0
100101919	0
227059	224
442837	0
56363	4
442821	0
20324	0
109019	979
100045066	2
17912	31
20849	1221
100042634	0
20846	2404
14660	1713
17936	687
227094	204
98682	374
16329	27
227095	14
67080	2
17700	0
69397	0
227099	59
227102	294
72085	67
70396	1393
627872	0
98267	3146
329152	22
78016	6
98488	146
241062	885
329154	3574
81898	6942
67876	155
15510	674
15528	457
19070	534
74013	15
212679	58
75388	0
227120	371
626009	3
329159	0
71066	0
212712	36
329160	2
407809	0
75323	0
73467	70
68736	123
68115	243
67198	4
51960	404
68549	10
11761	6
71724	3
71872	0
213043	5
66882	1879
12747	1877
70225	189
65102	189
18393	253
100504455	0
213056	143
66495	222
100504501	29
108812	0
12633	1508
12370	1273
70827	612
227154	150
73463	0
381259	78
227157	1
74018	481
271697	0
14369	323
381260	1
22218	451
55989	490
100217459	0
100217421	1
12168	173
100504533	38
72750	1708
70375	21
57750	169
241066	59
100504573	1
269198	151
77951	267
329165	309
77300	861
100043027	0
100042533	0
12487	71
100504618	0
12477	0
54167	44
77341	0
72823	63
18187	2276
74992	11
227195	765
100380944	15
100504668	8
227197	937
55949	3736
100217464	3
241070	0
73884	0
23792	3837
241073	0
76668	0
75619	203
74426	0
433315	0
93691	103
12912	985
67099	215
69941	8
227210	39
14367	157
241075	1055
70861	0
667276	1
12968	0
12967	0
12966	0
12965	0
12964	0
98303	1
15926	3733
18711	1071
213527	0
12969	0
17756	0
100038569	0
329178	0
66646	425
68691	109
11363	798
100862127	0
17901	0
14768	360
227231	0
13869	0
100502712	0
22779	73
66722	0
320460	0
12021	18
74591	0
108147	1307
14268	24037
100042814	0
667931	0
71134	5
433319	0
381269	974
111175	44
271711	0
22596	21
381270	3
54380	550
319695	0
19981	404
16008	0
16011	0
21958	0
69449	0
723792	0
78718	0
109198	0
21961	238
435626	4
100862357	0
12765	17
227288	0
100316687	0
76709	8514
227289	4
227290	2108
56695	979
69660	893
241112	1
18173	386
227292	965
387219	1
22349	5
319651	223
58184	711
18802	1
77264	348
66821	79
57751	414
269209	22
67534	252
104086	3621
241113	5
22420	10
22409	0
12570	0
260298	0
12958	0
723900	0
241116	0
16147	3
75570	60
22626	2
69171	2902
227298	1207
68818	301
74104	48
245860	688
52231	482
74577	214
20872	502
22145	350
