"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","category"
"GO:0001667","ameboidal-type cell migration","160/2237","471/28891",2.74831151347727e-61,1.63552018167032e-57,8.49083609690082e-58,"Sox17/Sema4c/Bmpr2/Fn1/Tns1/Vil1/Irs1/Htr2b/Ptgs2/Ddr2/Akap12/Col18a1/Syde1/Tbxa2r/Dcn/Kitl/Ptprr/Ifng/Lemd3/Tns3/Flt4/Sparc/Pmp22/Serpinf1/Itga3/Itgb3/Map3k3/Pecam1/Cygb/Prkd1/Clec14a/Rhoj/Rreb1/Edn1/Mef2c/Itga2/Ptprg/Sema3g/Vstm4/Mmrn2/Bmp4/Stc1/Dmtn/Rgcc/Ednrb/Sema5a/Angpt1/Enpp2/Ptk2/Ptp4a3/Myh9/Card10/Pdgfb/Hdac7/Acvrl1/Acvr1b/Nr4a1/Itgb7/Emp2/Ppm1f/Tbx1/Ccr6/Smoc2/Has1/Ager/Tnf/Vegfa/Sema6b/Ptprm/Cyp1b1/Prkce/Jcad/Hbegf/Mcc/Sema6a/Lrp5/Cd248/Kank1/Nanos1/Gata3/Notch1/Abl1/Lcn2/Dab2ip/Dpp4/Nckap1/Thbs1/Dll4/Sema6d/Rin2/Src/Sdc4/Mmp9/Cd40/Bmp7/Edn3/Lama5/Fndc3b/Rab25/Efna1/S100a9/Epb41l4b/Tek/Jun/Zc3h12a/Epha2/Plekhg5/Sema3d/Sema3a/Sema3c/Nos3/Fgfbp1/Slit2/Kit/Kdr/Cxcl13/Tgfbr3/Hspb1/Serpine1/Ephb4/Radil/Stard13/Smo/Aqp1/Tacstd2/Atoh8/Sema4f/Gata2/Iqsec1/Plxnd1/Cxcl12/Ret/Adipor2/Zfp580/Apoe/Megf8/Nr2f2/Sema4b/Gab2/Wnt11/Efnb2/Irs2/Angpt2/Fgfr1/Adgra2/Vegfc/Insl3/Ednra/Cdh5/Marveld3/Bcar1/Cdh13/Ets1/Robo4/Sema7a/Amotl2/Sema3b/Sema3f/Ptpn23/Efnb1",160,"up_BP"
"GO:0090130","tissue migration","116/2237","332/28891",5.18224664818157e-46,3.85494372541606e-43,2.00130183058065e-43,"Bmpr2/Vil1/Irs1/Ptgs2/Col18a1/Tbxa2r/Dcn/Kitl/Ptprr/Ifng/Lemd3/Tns3/Flt4/Sparc/Serpinf1/Itga3/Itgb3/Map3k3/Pecam1/Prkd1/Clec14a/Rhoj/Rreb1/Mef2c/Itga2/Ptprg/Vstm4/Mmrn2/Bmp4/Stc1/Rgcc/Sema5a/Angpt1/Enpp2/Ptk2/Ptp4a3/Myh9/Card10/Pdgfb/Hdac7/Acvrl1/Nr4a1/Emp2/Ppm1f/Ccr6/Smoc2/Ager/Tnf/Vegfa/Ptprm/Cyp1b1/Prkce/Jcad/Hbegf/Mcc/Kank1/Nanos1/Gata3/Notch1/Abl1/Lcn2/Dab2ip/Dpp4/Thbs1/Dll4/Rin2/Src/Mmp9/Cd40/Rab25/Efna1/S100a9/Epb41l4b/Tek/Jun/Zc3h12a/Epha2/Plekhg5/Sema3a/Nos3/Fgfbp1/Slit2/Kit/Kdr/Cxcl13/Tgfbr3/Hspb1/Serpine1/Ephb4/Stard13/Aqp1/Tacstd2/Atoh8/Gata2/Iqsec1/Plxnd1/Cxcl12/Zfp580/Apoe/Nr2f2/Gab2/Efnb2/Irs2/Angpt2/Fgfr1/Adgra2/Vegfc/Insl3/Cdh5/Marveld3/Bcar1/Cdh13/Foxf1/Ets1/Robo4/Ptpn23",116,"up_BP"
"GO:0010631","epithelial cell migration","115/2237","328/28891",8.48830598530933e-46,5.61265654650843e-43,2.91382199612665e-43,"Bmpr2/Vil1/Irs1/Ptgs2/Col18a1/Tbxa2r/Dcn/Kitl/Ptprr/Ifng/Lemd3/Tns3/Flt4/Sparc/Serpinf1/Itga3/Itgb3/Map3k3/Pecam1/Prkd1/Clec14a/Rhoj/Rreb1/Mef2c/Itga2/Ptprg/Vstm4/Mmrn2/Bmp4/Stc1/Rgcc/Sema5a/Angpt1/Enpp2/Ptk2/Ptp4a3/Myh9/Card10/Pdgfb/Hdac7/Acvrl1/Nr4a1/Emp2/Ppm1f/Ccr6/Smoc2/Ager/Tnf/Vegfa/Ptprm/Cyp1b1/Prkce/Jcad/Hbegf/Mcc/Kank1/Nanos1/Gata3/Notch1/Abl1/Lcn2/Dab2ip/Dpp4/Thbs1/Dll4/Rin2/Src/Mmp9/Cd40/Rab25/Efna1/S100a9/Epb41l4b/Tek/Jun/Zc3h12a/Epha2/Plekhg5/Sema3a/Nos3/Fgfbp1/Slit2/Kit/Kdr/Cxcl13/Tgfbr3/Hspb1/Serpine1/Ephb4/Stard13/Aqp1/Tacstd2/Atoh8/Gata2/Iqsec1/Plxnd1/Cxcl12/Zfp580/Apoe/Nr2f2/Gab2/Efnb2/Irs2/Angpt2/Fgfr1/Adgra2/Vegfc/Insl3/Cdh5/Marveld3/Bcar1/Cdh13/Ets1/Robo4/Ptpn23",115,"up_BP"
"GO:0090132","epithelium migration","115/2237","330/28891",1.71922705971547e-45,1.02311202323667e-42,5.31150675817357e-43,"Bmpr2/Vil1/Irs1/Ptgs2/Col18a1/Tbxa2r/Dcn/Kitl/Ptprr/Ifng/Lemd3/Tns3/Flt4/Sparc/Serpinf1/Itga3/Itgb3/Map3k3/Pecam1/Prkd1/Clec14a/Rhoj/Rreb1/Mef2c/Itga2/Ptprg/Vstm4/Mmrn2/Bmp4/Stc1/Rgcc/Sema5a/Angpt1/Enpp2/Ptk2/Ptp4a3/Myh9/Card10/Pdgfb/Hdac7/Acvrl1/Nr4a1/Emp2/Ppm1f/Ccr6/Smoc2/Ager/Tnf/Vegfa/Ptprm/Cyp1b1/Prkce/Jcad/Hbegf/Mcc/Kank1/Nanos1/Gata3/Notch1/Abl1/Lcn2/Dab2ip/Dpp4/Thbs1/Dll4/Rin2/Src/Mmp9/Cd40/Rab25/Efna1/S100a9/Epb41l4b/Tek/Jun/Zc3h12a/Epha2/Plekhg5/Sema3a/Nos3/Fgfbp1/Slit2/Kit/Kdr/Cxcl13/Tgfbr3/Hspb1/Serpine1/Ephb4/Stard13/Aqp1/Tacstd2/Atoh8/Gata2/Iqsec1/Plxnd1/Cxcl12/Zfp580/Apoe/Nr2f2/Gab2/Efnb2/Irs2/Angpt2/Fgfr1/Adgra2/Vegfc/Insl3/Cdh5/Marveld3/Bcar1/Cdh13/Ets1/Robo4/Ptpn23",115,"up_BP"
"GO:0010632","regulation of epithelial cell migration","93/2237","250/28891",1.09646169782578e-39,5.0192642798163e-37,2.60576120090579e-37,"Bmpr2/Vil1/Irs1/Ptgs2/Col18a1/Tbxa2r/Dcn/Ptprr/Ifng/Flt4/Sparc/Serpinf1/Itga3/Itgb3/Map3k3/Prkd1/Rhoj/Rreb1/Mef2c/Itga2/Ptprg/Mmrn2/Bmp4/Stc1/Rgcc/Sema5a/Angpt1/Enpp2/Ptk2/Card10/Pdgfb/Hdac7/Acvrl1/Emp2/Ppm1f/Ccr6/Smoc2/Ager/Tnf/Vegfa/Ptprm/Prkce/Jcad/Hbegf/Mcc/Gata3/Notch1/Abl1/Lcn2/Dab2ip/Thbs1/Dll4/Rin2/Src/Mmp9/Cd40/Rab25/Efna1/Epb41l4b/Tek/Jun/Zc3h12a/Epha2/Sema3a/Nos3/Fgfbp1/Slit2/Kdr/Cxcl13/Tgfbr3/Hspb1/Serpine1/Stard13/Aqp1/Tacstd2/Atoh8/Gata2/Iqsec1/Zfp580/Apoe/Nr2f2/Gab2/Irs2/Angpt2/Fgfr1/Adgra2/Vegfc/Insl3/Marveld3/Bcar1/Ets1/Robo4/Ptpn23",93,"up_BP"
"GO:0034329","cell junction assembly","129/2237","481/28891",4.26299782924863e-37,1.81207857727561e-34,9.40744257807875e-35,"Fzd5/Fn1/Tns1/Gpbar1/Bcl2/Ptprk/Gja1/Bcr/Lrp1/Pmp22/Ntn1/Arhgef15/Ramp2/Gjc1/Mapt/Itgb3/Ace/Pecam1/Fbf1/Nptx1/Lrrn3/Sipa1l1/Flrt2/Actn2/Ntrk2/Mef2c/Itga2/Vcl/Dlg5/Colq/Fermt2/Gjb6/Dmtn/Pcdh17/Farp1/Ctnnd2/Enpp2/Ptk2/Lrrc24/Myh9/Pdgfb/Plxnb2/Shank3/Hdac7/Acvrl1/Pkp2/Ppm1f/Cldn5/Ephb3/Ildr1/Phldb2/Abi3bp/Cldn8/Thbs2/Cldn9/Tnf/Vegfa/Ptprs/Crb3/Ston1/Smad7/Lrfn4/Sptbn2/Nrxn2/Sorbs1/Psd/Abl1/Aplnr/Il1b/Lzts3/Src/Sdc4/Cdh4/Rapgef2/Cgn/Gja5/Amigo1/Adgrl2/Epha7/Tln1/Ptprd/Mpdz/Tek/Col16a1/Epha2/Clstn1/Dvl1/Agrn/Slit2/Limch1/Kdr/Ptpn13/Cux2/Cldn3/Cldn15/Fscn1/Plxnd1/Kcnj8/Lrfn3/Tjp1/Wnt11/Taok2/Pkp3/Camsap3/Efnb2/Thsd1/Zfp703/Dlc1/Gpm6a/Adgre5/Adgrl1/Irx3/Cdh5/Marveld3/Cdh13/Pard3/Esam/Thy1/Cadm1/Coro2b/Smad3/Cldn18/Amigo3/Plxnb1/Gpc4/Arhgef9/Efnb1/Pof1b/Gpm6b",129,"up_BP"
"GO:0043542","endothelial cell migration","80/2237","231/28891",9.03380677795911e-32,1.99111793094943e-29,1.03369290032398e-29,"Ptgs2/Col18a1/Tbxa2r/Dcn/Lemd3/Tns3/Flt4/Sparc/Serpinf1/Itgb3/Map3k3/Pecam1/Prkd1/Clec14a/Rhoj/Mef2c/Vstm4/Mmrn2/Bmp4/Stc1/Rgcc/Sema5a/Angpt1/Ptk2/Ptp4a3/Myh9/Card10/Pdgfb/Hdac7/Acvrl1/Nr4a1/Emp2/Smoc2/Ager/Tnf/Vegfa/Ptprm/Cyp1b1/Jcad/Gata3/Notch1/Abl1/Lcn2/Dab2ip/Dpp4/Thbs1/Dll4/Rin2/Cd40/Efna1/S100a9/Tek/Zc3h12a/Epha2/Plekhg5/Nos3/Fgfbp1/Slit2/Kdr/Cxcl13/Hspb1/Ephb4/Stard13/Atoh8/Gata2/Plxnd1/Cxcl12/Zfp580/Apoe/Nr2f2/Efnb2/Angpt2/Fgfr1/Adgra2/Vegfc/Cdh5/Bcar1/Cdh13/Ets1/Robo4",80,"up_BP"
"GO:0030098","lymphocyte differentiation","117/2237","486/28891",4.59840260207353e-29,8.04855702498222e-27,4.17842465544452e-27,"Zap70/Il18r1/Stat4/Cd28/Ctla4/Fzd5/Ihh/Bcl2/Il10/Sox13/Itpkb/Cr2/Tnfaip3/Vnn1/Prdm1/Stk11/Usp44/Ifng/Il23a/Bcl11a/Il12b/Itk/Tcf7/Nlrp3/Tmem98/Tbx21/Erbb2/Ikzf3/Ccr7/Cd79b/Ahr/Zfp36l1/Batf/Bcl11b/Jag2/Ighm/Gli3/Sox4/Nfil3/Ctla2a/Bmp4/Gpr183/Il7r/Ly6d/Hdac7/Nfkbiz/Runx1/Ccr6/Dll1/Pglyrp2/Satb1/Tnfsf9/Fzd8/Egr1/Smad7/Ms4a1/Gata3/Il2ra/Nrarp/Abl1/Dpp4/Ambra1/Rasgrp1/Dll4/Il1b/Prex1/Zbtb7b/Rorc/Lef1/Slc46a2/Zc3h12a/Lck/Arid1a/Runx3/Tnfrsf9/Prkcz/Fgl2/Il6/Fosl2/Rhoh/Txk/Kit/Dtx1/Hspb1/Lfng/Flt3/Gimap1/Gimap5/Gimap3/Igkc/Cyp26b1/Cd27/Pglyrp1/Cd79a/Nfkbid/Spib/Il4ra/Cd19/Armc5/Scart2/Gas6/Sfrp1/Sh3rf1/Adgrg3/Carmil2/Crtam/Cd3g/Cd3d/Cd3e/Mpzl2/Zbtb16/Pou2af1/Dcaf1/Eomes/Ccr9/Cd40lg/Itm2a",117,"up_BP"
"GO:0010634","positive regulation of epithelial cell migration","60/2237","162/28891",6.0295121156265e-26,6.52393210910787e-24,3.38691254724666e-24,"Bmpr2/Vil1/Irs1/Ptgs2/Col18a1/Ifng/Flt4/Sparc/Itga3/Itgb3/Map3k3/Prkd1/Rhoj/Rreb1/Itga2/Bmp4/Sema5a/Angpt1/Enpp2/Ptk2/Pdgfb/Hdac7/Ppm1f/Ccr6/Smoc2/Vegfa/Prkce/Jcad/Hbegf/Gata3/Abl1/Lcn2/Thbs1/Rin2/Src/Mmp9/Cd40/Rab25/Epb41l4b/Tek/Jun/Zc3h12a/Nos3/Fgfbp1/Kdr/Hspb1/Serpine1/Aqp1/Atoh8/Gata2/Iqsec1/Zfp580/Gab2/Irs2/Fgfr1/Adgra2/Vegfc/Insl3/Bcar1/Ets1",60,"up_BP"
"GO:0001503","ossification","110/2237","484/28891",3.65115410012863e-25,3.88000322319026e-23,2.01431151952585e-23,"Fhl2/Bmpr2/Igfbp5/Ihh/Bcl2/Ptgs2/Ddr2/Ccn2/Gja1/Col13a1/Egr2/Kremen1/Igfbp3/Sh3pxd2b/Alox15/Rflnb/Col1a1/Wnt3/Axin2/Sox11/Ahr/Prkd1/Smoc1/Gli3/Bmp6/Id4/Ptch1/Mef2c/Il6st/Mapk8/Gdf10/Fermt2/Bmp4/Stc1/Bmp1/Tnfsf11/Cthrc1/Ptk2/Scx/Wnt7b/Mapk11/Prickle1/Hdac7/Vdr/Dhh/Runx1/Tnf/Gabbr1/Vegfa/Crim1/Pkdcc/Bambi/Lox/Adrb2/Smad7/Lrp5/Ltbp3/Notch1/Bmp2/Jag1/Slc24a3/Bmp7/Fndc3b/Csf1/S1pr1/Npnt/Ccn1/Npr2/Runx3/Id3/Hspg2/Alpl/Epha2/Icmt/Il6/Fosl2/Fgfr3/Areg/Bmp3/Tgfbr3/Tmem119/Col1a2/Smo/Mgp/Ercc2/Lrp3/Chsy1/Wnt11/Scube2/Fgfr2/Ifitm1/Sfrp1/Fgfr1/Vegfc/Csgalnact1/Mir27a/Junb/Smpd3/Yap1/Zbtb16/Smad3/Smad6/Bmp5/Plxnb1/Clec3b/Ccr1/Gpc3/Gdpd2/Chrdl1/Gpm6b",110,"up_BP"
