"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","category"
"GO:0001818","negative regulation of cytokine production","29/652","314/28891",1.80085792360649e-10,9.14014914008818e-09,6.1754000545979e-09,"Tnfsf4/Arg1/Srgn/Il12b/Ccr7/Cd83/Ndrg2/Acod1/Ptger4/Laptm4b/Rad21/Tspo/Hdac7/Bcl6/Cd200/Ppp1r11/Smad7/Cd274/Pdcd1lg2/Fxr1/Il6/Ceacam1/Tsku/Lrrc32/Wnt11/Jak3/Hmox1/Slc37a4/Rnf128",29,"down_BP"
"GO:0030098","lymphocyte differentiation","33/652","486/28891",2.53177702880449e-08,6.65417049527092e-07,4.49578712666426e-07,"Tnfsf4/Il12b/Ccr7/Stat5a/Jmjd6/Id2/Jag2/Cd83/Gadd45g/Nfil3/Gpr183/Ptger4/Hdac7/Bcl6/H2-Oa/H2-Ea/Zeb1/Smad7/Dclre1c/Il15ra/Tsc1/Lepr/Runx3/Tnfrsf9/Fgl2/Il6/Kit/Spib/Il4i1/Jak3/Prdx2/Irf8/Bcl2a1d",33,"down_BP"
"GO:0090050","positive regulation of cell migration involved in sprouting angiogenesis","7/652","21/28891",2.54936469799433e-07,5.68144132695878e-06,3.83857774560969e-06,"Ptgs2/Plk2/Hdac7/Vegfa/Jcad/Kdr/Hmox1",7,"down_BP"
"GO:0001667","ameboidal-type cell migration","30/652","471/28891",4.28696296593626e-07,9.21411240145234e-06,6.22537218538768e-06,"Sema4c/Map4k4/Cxcr4/Atp2b4/Ptgs2/Bsg/Cd63/Stat5a/Gna13/Plk2/Ago2/Hdac7/Itgb2l/Vegfa/Lrg1/Jcad/Sdc4/Cd40/Rab13/Glipr2/Plpp3/Kit/Kdr/Radil/Ceacam1/Wnt11/Hmox1/Bcar1/Sema7a/Hyal1",30,"down_BP"
"GO:0010631","epithelial cell migration","23/652","328/28891",1.91843438319314e-06,3.55461635138776e-05,2.4016214258647e-05,"Map4k4/Cxcr4/Atp2b4/Ptgs2/Bsg/Cd63/Stat5a/Plk2/Hdac7/Itgb2l/Vegfa/Lrg1/Jcad/Cd40/Rab13/Glipr2/Plpp3/Kit/Kdr/Ceacam1/Hmox1/Bcar1/Hyal1",23,"down_BP"
"GO:0090132","epithelium migration","23/652","330/28891",2.12598590226003e-06,3.90922730925077e-05,2.64120882153898e-05,"Map4k4/Cxcr4/Atp2b4/Ptgs2/Bsg/Cd63/Stat5a/Plk2/Hdac7/Itgb2l/Vegfa/Lrg1/Jcad/Cd40/Rab13/Glipr2/Plpp3/Kit/Kdr/Ceacam1/Hmox1/Bcar1/Hyal1",23,"down_BP"
"GO:0090130","tissue migration","23/652","332/28891",2.35386668505876e-06,4.26340797338733e-05,2.8805054959284e-05,"Map4k4/Cxcr4/Atp2b4/Ptgs2/Bsg/Cd63/Stat5a/Plk2/Hdac7/Itgb2l/Vegfa/Lrg1/Jcad/Cd40/Rab13/Glipr2/Plpp3/Kit/Kdr/Ceacam1/Hmox1/Bcar1/Hyal1",23,"down_BP"
"GO:0010634","positive regulation of epithelial cell migration","15/652","162/28891",4.37685884972413e-06,7.56588812745309e-05,5.11177500927569e-05,"Map4k4/Ptgs2/Bsg/Stat5a/Plk2/Hdac7/Vegfa/Jcad/Cd40/Glipr2/Plpp3/Kdr/Hmox1/Bcar1/Hyal1",15,"down_BP"
"GO:0043536","positive regulation of blood vessel endothelial cell migration","9/652","58/28891",5.70620578350624e-06,9.58167054480423e-05,6.47370714620006e-05,"Ptgs2/Stat5a/Plk2/Hdac7/Vegfa/Jcad/Cd40/Kdr/Hmox1",9,"down_BP"
"GO:0010595","positive regulation of endothelial cell migration","12/652","110/28891",7.4062293041986e-06,0.000123080841632661,8.31576623629316e-05,"Ptgs2/Bsg/Stat5a/Plk2/Hdac7/Vegfa/Jcad/Cd40/Plpp3/Kdr/Hmox1/Bcar1",12,"down_BP"
