Geneid	HISAT2 on data 118: aligned reads (BAM)
100287102	0
653635	118
102466751	18
100302278	0
645520	0
79501	0
729737	270
102725121	10
102723897	132
102465909	0
729759	0
100132287	2
105378947	1
101928626	7
102465432	10
81399	0
100133331	64
100288069	9
400728	4
79854	9
643837	494
284593	2
100130417	0
148398	0
26155	2250
339451	469
84069	32
84808	19
57801	8
9636	306
375790	11949
105369174	332
105378948	55
401934	0
54991	533
254099	0
406984	0
406983	0
554210	0
254173	0
8784	159
7293	8
51150	7781
126792	914
388581	9
118424	1795
6339	86
116983	2896
102465434	0
126789	313
54973	1776
102465435	0
80772	985
83756	32
1855	1119
102466740	0
54587	210
54998	1796
81669	3891
148413	488
55052	1918
441869	8
643965	0
102724312	2
64856	4
219293	10
83858	771
55210	1033
339453	0
29101	3790
643988	862
142678	439
8510	0
984	1152
728661	1981
8511	0
728642	664
9906	212
65220	5881
2782	23099
105378949	8
163688	16
339456	8
85452	0
2563	0
5590	0
100506504	0
199990	717
105378592	8
6497	1459
105378594	5
79906	53
100129534	8
11079	4086
5192	547
9651	0
55229	0
388585	0
115110	9
8764	44
100996583	0
127281	252
79258	0
100287898	0
140625	0
440556	0
63976	0
100422968	0
27237	2
1953	1775
693135	0
127262	2566
49856	548
7161	20
57212	1182
148870	1
388588	3
57470	1654
9731	1557
1677	335
339448	1107
100133612	9
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	297
8514	17395
26038	6
6146	6157
102724450	4
388591	27
23463	3530
148645	4
390992	0
387509	441
11332	1898
54626	282
83715	0
100422975	0
8718	0
57449	0
79707	535
80835	6
3104	867
9903	2311
148479	752
90326	316
55735	1606
100505887	0
23261	688
9341	7723
8863	4118
10911	754
3604	507
11315	5290
54206	280
102724539	0
50651	6
473	2338
102724552	3
2023	78005
102465436	0
100505975	4
765	0
155184	0
6518	2344
80045	453
407040	2
9563	4965
80176	2108
100506022	25
84275	410
199953	384
5293	2581
644997	0
101929074	20
22883	2316
56998	1517
84328	1133
64802	1006
100847055	1
105376719	0
116362	97
10277	3484
23095	8176
100422970	0
5226	35295
100526739	0
378708	11
1325	2
1676	1195
5195	2203
54897	148
148345	141
23435	5827
10747	39
6723	1657
5394	3683
2475	3850
100873935	1
10218	0
29914	836
57540	0
101929181	0
26232	2
93611	497
26270	1108
10459	1489
374946	63
57085	2541
284498	0
102724659	0
4524	3753
1185	1664
100379251	19
4878	9
4879	0
26829	0
90231	3845
5351	7582
9927	6608
60672	2477
102466982	0
943	66
102465836	0
7133	14660
100616438	0
55187	4731
677885	3
9249	551
102466722	1
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	648
7799	1869
23254	11
200197	48
55092	1504
727684	4
114827	44
101927417	3
79180	9560
11330	5
63036	0
51032	3
842	465
23341	753
79814	10
84301	1022
6248	692
23207	16165
284723	151
388595	0
54751	519
440567	213
729614	161
23013	5510
7709	1452
101928566	0
149563	0
27129	5
1187	11
1188	4
348487	0
1969	3
128272	54
101927546	0
79363	39
54455	1892
26099	5752
374955	0
55707	6582
114819	104
26871	0
100126512	2
100126517	0
102724970	0
100133301	0
7195	0
55672	850
84809	628
11209	72
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	13
100500876	0
100189298	0
7193	0
791226	0
9696	531
26870	0
4237	0
23400	2268
6390	4746
11240	217
29943	0
51702	0
100616188	0
23569	12
353238	0
55920	7397
55160	4545
81569	0
101927876	0
84966	2
127707	0
5081	0
80834	3
8659	1178
100616120	0
100302276	0
126917	343
23352	11834
23065	3451
51154	2417
246181	22
22977	42
100506730	115
8574	1410
54896	2130
832	11499
100532736	0
440574	1368
644068	7
4681	0
3362	0
255104	1050
54546	0
23252	457
30814	0
5320	0
5322	0
26279	10
64600	0
391013	0
127733	0
101928017	0
127731	0
339505	0
55450	2
79594	2060
163933	0
978	538
65018	1236
102464833	0
100861548	312
1650	10986
57576	158
400745	0
50809	5328
8672	4111
100302155	0
1889	739
100506801	0
84224	343
249	0
5909	6
84196	2278
401944	0
3339	15
23436	0
10136	0
101928043	9
29092	427
998	16708
54361	16
100616433	0
9923	3444
2046	0
102466615	0
712	4606
714	3797
713	5779
2048	1503
100616391	0
100422914	0
646262	0
729059	0
23028	1799
100422866	0
100616177	0
7798	3423
3352	0
100996511	22
10236	5389
80818	436
148898	28
6920	2
55616	31
1870	294
101928163	0
3399	60
259283	0
6135	12787
6924	2194
100506963	20
57095	3803
11313	2418
2582	2301
3155	1499
