Geneid	HISAT2 on data 178: aligned reads (BAM)
100287102	0
653635	95
102466751	8
100302278	0
645520	0
79501	0
729737	147
102725121	1
102723897	76
102465909	0
729759	0
100132287	11
105378947	1
101928626	1
102465432	7
81399	0
100133331	212
100288069	17
400728	12
79854	24
643837	996
284593	0
100130417	0
148398	0
26155	2791
339451	236
84069	65
84808	12
57801	49
9636	693
375790	5664
105369174	1255
105378948	216
401934	2
54991	430
254099	0
406984	0
406983	0
554210	0
254173	4
8784	1050
7293	1165
51150	8762
126792	734
388581	19
118424	1511
6339	98
116983	1372
102465434	0
126789	118
54973	2124
102465435	0
80772	463
83756	8
1855	1615
102466740	0
54587	113
54998	1067
81669	5498
148413	381
55052	1589
441869	2
643965	0
102724312	0
64856	0
219293	1
83858	551
55210	798
339453	2
29101	1850
643988	104
142678	178
8510	0
984	1214
728661	1071
8511	0
728642	708
9906	108
65220	3769
2782	21726
105378949	0
163688	0
339456	5
85452	0
2563	0
5590	0
100506504	0
199990	344
105378592	2
6497	1083
105378594	3
79906	42
100129534	8
11079	3447
5192	374
9651	0
55229	1
388585	0
115110	0
8764	3
100996583	0
127281	4
79258	0
100287898	0
140625	0
440556	0
63976	0
100422968	0
27237	3
1953	707
693135	0
127262	1567
49856	574
7161	4
57212	558
148870	0
388588	0
57470	1133
9731	1302
1677	221
339448	696
100133612	14
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	178
8514	8835
26038	10
6146	4844
102724450	0
388591	0
23463	1508
148645	0
390992	0
387509	26
11332	398
54626	6
83715	0
100422975	0
8718	0
57449	7
79707	706
80835	2
3104	1068
9903	2381
148479	980
90326	414
55735	1626
100505887	0
23261	837
9341	5772
8863	1922
10911	211
3604	4067
11315	4802
54206	152
102724539	0
50651	0
473	1672
102724552	4
2023	62523
102465436	1
100505975	2
765	0
155184	0
6518	68
80045	163
407040	15
9563	5348
80176	2312
100506022	10
84275	421
199953	134
5293	1175
644997	0
101929074	8
22883	1222
56998	448
84328	855
64802	604
100847055	0
105376719	0
116362	10
10277	2106
23095	11174
100422970	0
5226	38611
100526739	0
378708	3
1325	1
1676	626
5195	1020
54897	396
148345	0
23435	6101
10747	41
6723	857
5394	3954
2475	3771
100873935	0
10218	0
29914	1018
57540	0
101929181	0
26232	0
93611	267
26270	1297
10459	1181
374946	30
57085	1869
284498	0
102724659	0
4524	2156
1185	1515
100379251	14
4878	18
4879	0
26829	0
90231	1791
5351	2372
9927	6331
60672	513
102466982	0
943	16
102465836	0
7133	16496
100616438	0
55187	3458
677885	5
9249	83
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	4
10630	2136
7799	3364
23254	3
200197	6
55092	1031
727684	3
114827	31
101927417	5
79180	9752
11330	4
63036	0
51032	1
842	445
23341	501
79814	3
84301	684
6248	484
23207	18051
284723	282
388595	0
54751	45
440567	188
729614	170
23013	7843
7709	1945
101928566	0
149563	0
27129	1
1187	10
1188	0
348487	0
1969	3
128272	32
101927546	0
79363	7
54455	2009
26099	8579
374955	0
55707	5614
114819	43
26871	0
100126512	2
100126517	0
102724970	0
100133301	0
7195	0
55672	209
84809	343
11209	11
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	4
100500876	0
100189298	0
7193	0
791226	0
9696	213
26870	0
4237	0
23400	600
6390	3425
11240	0
29943	0
51702	0
100616188	0
23569	0
353238	0
55920	6147
55160	2923
81569	0
101927876	0
84966	0
127707	0
5081	0
80834	2
8659	413
100616120	0
100302276	0
126917	312
23352	27737
23065	2834
51154	1591
246181	6
22977	18
100506730	65
8574	725
54896	1526
832	8870
100532736	0
440574	911
644068	6
4681	0
3362	0
255104	564
54546	0
23252	286
30814	0
5320	0
5322	0
26279	21
64600	0
391013	0
127733	0
101928017	0
127731	0
339505	0
55450	0
79594	3181
163933	0
978	70
65018	912
102464833	0
100861548	173
1650	7370
57576	11
400745	4
50809	4685
8672	2819
100302155	0
1889	2500
100506801	2
84224	169
249	4
5909	27
84196	1453
401944	0
3339	42
23436	0
10136	0
101928043	12
29092	254
998	16405
54361	7
100616433	0
9923	3416
2046	0
102466615	0
712	8820
714	3791
713	3640
2048	659
100616391	0
100422914	0
646262	0
729059	0
23028	1742
100422866	0
100616177	0
7798	2386
3352	0
100996511	20
10236	6498
80818	396
148898	13
6920	0
55616	4
1870	3
101928163	0
3399	49
259283	0
6135	11976
6924	3550
100506963	12
57095	1831
11313	1501
2582	1412
3155	1906
2517	18825
1269	2
100616492	0
55629	3938
10772	3518
127294	0
58985	0
163702	296
284632	0
57822	2
90529	61
57185	215
100750325	7
11123	896
100506985	62
400746	0
10250	3346
25932	10603
864	1649
102465437	0
100616365	1
25949	2311
57035	1434
6007	10
23585	2858
6006	0
55219	957
26119	787
57134	51
57190	6939
56181	1150
646471	164
79000	10
164091	42
3925	76
100500808	0
5051	840
2134	0
7780	0
105376910	0
84676	0
149420	594
79927	1
105376887	0
51042	146
10256	8
378807	0
101928303	2
64793	897
83442	31523
91544	624
1043	2069
55057	4
257101	0
79727	0
79947	1943
101928324	10
3151	2600
6195	8398
100302190	0
101928728	26
8289	5019
55650	583
84243	1656
2810	4
54707	827
63906	1603
10726	1584
8431	0
126695	0
388610	4
115572	0
6548	1440
23038	2698
84065	1824
644961	351
100887744	0
84958	0
9064	471
8547	0
388611	0
2827	10
10163	9403
27245	649
2268	39392
2537	6041
199870	439
23673	3825
5511	1753
677774	0
9473	3675
6118	2251
27293	2
55113	165
2140	1831
5724	4811
22826	6915
93974	984
83667	1656
54797	447
65979	2117
1104	749
8420	394
6080	28
26768	21
54952	802
85028	850
692212	23
677838	118
677825	102
692073	75
115273	387
6883	879
26824	1
10691	612
105376911	0
51441	2483
4985	0
2035	1977
399474	0
6429	3297
51102	318
10076	2
101928460	0
101929406	0
4146	0
100129196	9
7805	69789
100616164	14
400748	0
9672	1205
9698	5702
692234	1
692235	0
692200	0
79570	4
9410	1232
51538	1502
2170	4252
347735	2964
149086	0
284551	2
64129	4
3061	10
553115	3269
1307	0
576	3
100423028	0
90853	1037
8073	6801
10657	5246
55116	273
100847018	0
23633	3591
200081	3403
79140	33
56063	277
55721	59
149069	37
8668	7605
339483	185
84734	7
3932	0
3065	1628
65108	616
100128071	11
81629	102
55108	3496
728116	0
653121	117
339487	867
5928	2468
81493	56
57648	1126
8565	3895
64766	605
252995	2
3208	0
113452	4
127544	3417
204	1900
113451	8
55223	200
149076	328
127550	5
1912	4965
100500853	3
101929464	0
7579	209
114784	2
127540	0
402779	0
84970	0
693137	0
2709	0
127534	0
2707	0
2701	0
113444	2119
58512	6
653160	69
100506144	834
9204	1465
79830	340
6421	11577
9202	2190
79932	2472
23154	468
339488	18
5690	3860
127703	785
63967	71
192670	3748
26523	1619
192669	1191
27285	3
54936	2195
1296	3911
27095	2288
55700	8861
9967	6342
79729	2990
55194	332
83931	7445
84967	1133
127700	73
64960	1325
1441	1880
2899	0
100422898	0
728431	197
80149	4550
102465438	20
64769	2077
100847010	4
79753	910
7802	0
29889	3310
284654	0
54955	433
55143	31
284656	0
149175	79
79693	1674
127687	1394
4520	5699
3633	617
10946	2706
2275	387
51118	1350
5453	0
100500801	0
339442	0
64121	3813
100527950	0
26292	0
81025	0
54933	20
79647	4771
4725	3075
23499	14419
643314	106
105378950	0
353500	197
728448	86
8761	5347
101929516	32
677834	20
26508	2
84618	0
51440	0
10450	1043
656	29
64064	1
105378951	3
101929536	0
54802	463
4610	44
84879	3174
10487	30865
5538	14100
6018	3451
127391	0
10269	3786
1298	105
64744	7002
65243	78
339559	82
64789	283
127396	127
9783	51
100130557	66
4802	1468
407034	0
407031	0
9132	2
163732	12
1503	770
100507178	9
200172	2
22955	436
100132074	0
1907	2
59269	780
2981	0
2980	0
22887	2648
284716	0
84217	5
79717	1536
728621	13
10465	448
4904	20487
149461	0
64175	1464
79078	240
100129924	2
374969	222
114625	919
51058	217
339539	1
6513	592
440584	0
105378684	0
440585	0
10969	1684
102465439	0
149465	0
128218	0
149466	0
7075	94
4352	8
991	12
64834	4399
102466723	0
112950	1025
23334	3437
102465440	0
81888	7
5792	325
9682	1719
100132774	15
6487	256
101929592	2
102464830	0
9048	14
9670	1951
1802	569
533	10315
8704	106
149473	46
6536	0
128209	0
105378952	0
55929	530
79033	523
100874278	13
55182	3071
100847089	0
79639	268
339541	42
26828	0
26830	0
11004	18
6202	8500
26811	5
94161	4
94162	4
94163	14
266675	66
1263	5709
343521	368
149478	1430
8643	33
8891	793
79654	3268
7389	3613
57643	11
400752	4
84842	3
4595	286
114034	349
10420	701
126661	7
25974	37
5052	28450
10327	4718
4678	1748
149483	141
60313	5113
728963	14
51249	872
3652	222
23139	3074
8503	35
101929626	0
10103	26
55624	1887
541468	9
8438	17
10489	3932
7388	2409
387338	1019
2166	44
729041	0
101929651	0
127343	0
100507423	63
148930	0
8569	3995
148932	1732
64756	467
374973	3
100130197	9
9813	3821
1580	0
163720	0
1579	0
260293	5
199974	0
284541	0
100874253	0
10158	0
6886	0
6491	130
51727	4547
102724077	3
2301	0
84793	16
2306	14
388630	1
391037	0
200010	0
54558	19
84871	0
79656	0
101929721	0
100874313	0
1996	0
63950	1
11124	882
1031	26
100616189	0
102466656	0
284546	0
26994	3103
22996	8
102724097	0
2060	2698
114883	3101
4898	6246
100313892	0
5865	0
51060	2764
112970	0
104355143	0
91408	2026
9372	34
200014	5144
4998	104
84950	1532
23318	1058
105378722	4
2882	18
348378	0
65260	726
79699	1750
440590	0
55268	165
6342	3553
100616156	0
100616458	0
100616145	1
127435	0
6512	2
1376	1532
54987	631
4116	1089
100507564	17
7804	1668
163742	0
63948	0
148979	0
105369175	0
55706	464
54432	846
1733	9
51668	486
115353	1067
388633	0
9528	6428
127428	293
100616315	0
200008	0
606495	82
51253	2280
23648	486
619518	12
26027	193
338094	14
374977	11
100527960	2
7268	86
25973	136
55001	0
163747	0
1718	872
100126514	0
199964	0
7809	0
255738	0
23358	6223
100507634	27
100616272	0
8613	9289
5563	0
199920	0
731	0
732	0
1600	0
101926890	0
115209	120
4070	40
114803	3133
3725	39268
100131060	28
101926925	6
729467	1
55277	245
100616409	0
101926944	0
51361	1
1573	2
127795	0
101926964	0
100996570	0
4774	20
645030	0
414927	0
83941	783
10207	83
100422902	0
100422946	0
54596	10
163782	5
7398	1027
85440	3322
27329	2
84938	398
199899	0
100996301	0
27022	0
102464823	0
29929	286
23421	80
84455	25
79469	0
5236	283
4919	9
101927034	54
148581	0
57685	94
100616338	0
55225	38
3716	15641
101927084	4
105378775	16
100500854	5
406893	0
205	4045
9829	334
54741	11239
3953	261
5142	7566
101927139	0
84251	0
100422871	0
200132	0
10022	0
79819	6
57708	3556
23169	1114
400757	0
149233	0
3595	4
26135	7694
1647	552
55970	760
100289178	2
9077	2
79971	372
100302279	0
6121	0
55635	2
101927220	0
57554	43
5301	0
55631	775
9295	7674
81573	1701
11147	54
1491	45
101927244	0
5733	2
100132618	35
9406	2717
406962	5
100852410	4
257194	1
100852409	0
101927295	0
127255	0
100526835	0
8790	345
51086	0
105378804	0
105378803	0
127254	0
101927320	0
1429	287
127253	669
431707	0
204962	0
34	1448
1744	35
5876	2951
692085	8
26805	13
26804	18
4438	0
127247	0
101927342	0
256435	0
81849	0
102466995	0
10026	1010
26289	0
26009	1397
23032	2236
374986	712
374987	1
91624	156
8880	4148
11080	544
54810	9
149047	0
5737	4
10964	188
10561	584
64123	0
101927412	0
23266	0
101927434	0
101927498	0
101927587	0
101927560	0
79739	15
5567	972
148418	11
391051	2
58511	0
80135	2351
2787	4118
100505741	46
1486	2344
103695366	4
439927	2
117178	151
23566	0
255231	1229
55283	1142
126820	16
100616481	0
84144	40
148423	890
8915	1341
646626	37
23576	0
3491	0
54680	1002
255631	28
57489	158
102465842	0
9635	0
1179	0
22802	0
9629	0
105378828	30
51100	7573
9403	6839
9653	2711
339524	33
101927844	16
105378832	10
8543	2147
100505768	0
101927891	0
5586	1513
2959	1474
56267	1763
494115	1072
2635	999
2633	1568
2634	3820
388646	0
115361	129
115362	227
729930	0
163351	0
400759	0
23507	519
84230	1416
400761	9
55144	875
105378846	0
492303	21
284695	1680
343472	0
84146	2716
164045	0
8317	99
7049	32
676	0
253152	0
646817	40
284697	35
23285	166
388649	0
11146	291
79871	499
2672	66
7813	1233
6125	11579
388650	759
6083	11
26782	7
22823	1263
50999	8330
343099	291
100131564	374
1810	2597
54874	138
100126520	0
8412	949
100129046	6
100126348	0
100189133	6
30836	4218
2730	1307
24	0
9411	0
5825	1484
2152	1190
101928079	0
100616321	0
126969	0
1266	2
105378862	0
729970	0
199857	215
101928098	0
148534	0
100527978	3
101928118	0
25950	139
440594	0
100996635	0
102723661	0
101928241	0
58155	532
1806	4953
100873932	8
100873933	0
400765	0
100616452	0
406928	0
729987	0
51375	19
163404	0
100129620	0
9890	0
101928270	0
54873	0
391059	588
178	1223
23443	436
64645	2511
163786	108
54482	256
127495	24
1629	685
100506007	10
8634	1410
693138	5
8556	631
54112	0
100128787	0
7412	0
2135	179
148867	2370
51611	118
102606465	33
101928334	0
101928370	0
1901	32
104355286	0
118427	0
94236	0
1301	0
101928436	0
55599	453
280	321
648740	4
279	0
276	0
277	0
278	0
100129138	1
101928476	0
55170	444
22854	0
10451	1048
102465839	0
100873946	0
29957	5631
148545	0
653149	4
284611	1455
113802	259
55119	3299
163479	0
6814	4182
254268	0
642864	0
29899	34
23155	849
22911	1538
6884	737
56900	4607
677766	6
127003	3
57535	10
6301	4739
1952	8
84722	5
343263	0
6272	4342
5686	4156
284612	6
127002	137
284613	780
57463	12
83873	0
2773	8335
406974	1
2780	5
271	575
2948	180
2946	23
2944	2
2949	0
2947	690
79574	0
1435	102229
10768	12178
85369	2024
257	77
104355139	0
164153	0
388662	0
100873974	0
3749	233
440600	3
64783	686
9122	21
10542	2670
101410535	8
84432	0
643160	0
440602	0
3744	6
3737	68
3738	224
963	18704
55791	1112
128338	1768
10390	1051
79961	2604
1117	19
149620	0
27159	0
128344	0
441897	0
5016	33
79084	962
515	4836
128346	680
57413	8
140	2
100129269	18
5906	4298
55924	239
100506343	0
101928718	0
11218	872
3752	0
100874295	0
100873995	0
643355	0
55917	1922
100422976	1
7482	9
54879	385
829	10931
4343	1226
389	16788
333926	9
284467	3
100996702	0
6566	1375
246182	6
100506392	42
100996251	11
9860	607
643441	0
260425	38
10745	448
54665	1031
100287722	6
26191	418
440603	6
10717	423
64858	1803
101928846	5
204851	5427
56944	17
148281	14
51592	4526
10286	2115
163259	71
270	0
4893	7454
7812	20841
80143	679
6847	0
7252	0
10100	2
4803	0
81839	214
845	0
4808	0
101928995	0
101928977	0
55356	1202
126868	20
476	29668
84852	26
101929023	3
965	3628
100616384	0
3321	29
100302117	0
388667	0
914	4
5738	284
9398	22
101929099	0
8458	1105
100126331	0
80263	8
