Geneid	HISAT2 on data 194: aligned reads (BAM)
100287102	0
653635	57
102466751	13
100302278	0
645520	0
79501	0
729737	278
102725121	4
102723897	133
102465909	0
729759	0
100132287	6
105378947	0
101928626	5
102465432	23
81399	0
100133331	109
100288069	4
400728	10
79854	26
643837	907
284593	0
100130417	0
148398	4
26155	1842
339451	265
84069	54
84808	18
57801	174
9636	1582
375790	5951
105369174	1260
105378948	266
401934	1
54991	545
254099	0
406984	0
406983	0
554210	0
254173	7
8784	1060
7293	1026
51150	8676
126792	892
388581	7
118424	2382
6339	128
116983	1390
102465434	0
126789	210
54973	1949
102465435	0
80772	474
83756	7
1855	3129
102466740	0
54587	146
54998	1662
81669	4559
148413	414
55052	1439
441869	4
643965	0
102724312	0
64856	14
219293	5
83858	1436
55210	770
339453	2
29101	1587
643988	174
142678	209
8510	0
984	1161
728661	402
8511	0
728642	748
9906	39
65220	1721
2782	23685
105378949	5
163688	0
339456	1
85452	0
2563	0
5590	2
100506504	4
199990	402
105378592	4
6497	664
105378594	2
79906	22
100129534	6
11079	3434
5192	329
9651	1
55229	2
388585	0
115110	1
8764	18
100996583	0
127281	6
79258	0
100287898	0
140625	0
440556	12
63976	7
100422968	0
27237	0
1953	1098
693135	0
127262	1190
49856	273
7161	4
57212	532
148870	0
388588	2
57470	1049
9731	702
1677	167
339448	877
100133612	3
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	233
8514	9310
26038	3
6146	6747
102724450	0
388591	9
23463	1094
148645	2
390992	0
387509	90
11332	580
54626	0
83715	2
100422975	0
8718	1
57449	0
79707	515
80835	2
3104	609
9903	5213
148479	866
90326	360
55735	582
100505887	0
23261	1151
9341	8702
8863	1543
10911	463
3604	5444
11315	4389
54206	996
102724539	0
50651	0
473	974
102724552	2
2023	74232
102465436	1
100505975	0
765	0
155184	0
6518	818
80045	193
407040	1
9563	2913
80176	12081
100506022	2
84275	675
199953	114
5293	546
644997	0
101929074	8
22883	1336
56998	1172
84328	574
64802	368
100847055	0
105376719	2
116362	124
10277	1043
23095	6071
100422970	0
5226	23541
100526739	0
378708	6
1325	2
1676	485
5195	751
54897	126
148345	24
23435	5560
10747	54
6723	966
5394	2697
2475	1680
100873935	0
10218	2
29914	631
57540	0
101929181	0
26232	4
93611	225
26270	750
10459	1347
374946	7
57085	1860
284498	0
102724659	0
4524	1263
1185	1014
100379251	14
4878	23
4879	0
26829	1
90231	1570
5351	3186
9927	4019
60672	907
102466982	0
943	26
102465836	0
7133	62756
100616438	3
55187	1555
677885	6
9249	247
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	2
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	2
10630	629
7799	3021
23254	6
200197	35
55092	3964
727684	8
114827	11
101927417	1
79180	11774
11330	12
63036	0
51032	1
842	361
23341	358
79814	3
84301	193
6248	224
23207	20804
284723	245
388595	0
54751	455
440567	171
729614	133
23013	5376
7709	2750
101928566	0
149563	0
27129	2
1187	0
1188	0
348487	1
1969	4
128272	20
101927546	0
79363	14
54455	678
26099	7140
374955	0
55707	3116
114819	49
26871	0
100126512	1
100126517	0
102724970	0
100133301	0
7195	0
55672	88
84809	670
11209	26
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	3
100500876	0
100189298	0
7193	0
791226	0
9696	409
26870	0
4237	0
23400	1244
6390	3309
11240	16
29943	2
51702	0
100616188	0
23569	4
353238	0
55920	5677
55160	2883
81569	0
101927876	0
84966	2
127707	0
5081	0
80834	0
8659	751
100616120	0
100302276	0
126917	218
23352	9315
23065	2405
51154	1211
246181	8
22977	23
100506730	40
8574	859
54896	1347
832	17741
100532736	0
440574	1438
644068	27
4681	0
3362	0
255104	299
54546	0
23252	390
30814	0
5320	0
5322	0
26279	31
64600	0
391013	0
127733	0
101928017	0
127731	0
339505	0
55450	0
79594	2206
163933	0
978	225
65018	520
102464833	0
100861548	133
1650	9834
57576	25
400745	14
50809	3220
8672	1655
100302155	0
1889	2554
100506801	4
84224	58
249	6
5909	12
84196	891
401944	0
3339	8
23436	0
10136	0
101928043	13
29092	176
998	19239
54361	13
100616433	0
9923	1977
2046	0
102466615	0
712	22397
714	14821
713	12135
2048	1041
100616391	0
100422914	0
646262	0
729059	0
23028	1287
100422866	0
100616177	0
7798	1354
3352	0
100996511	27
10236	4239
80818	224
148898	20
6920	0
55616	8
1870	6
101928163	0
3399	263
259283	0
6135	19174
6924	3739
100506963	9
57095	3333
11313	1677
2582	1105
3155	688
2517	151102
1269	2
100616492	0
55629	4601
10772	4048
127294	2
58985	0
163702	87
284632	0
57822	0
90529	158
57185	413
100750325	10
11123	1227
100506985	119
400746	0
10250	2188
25932	9283
864	3851
102465437	0
100616365	0
25949	1289
57035	1467
6007	3
23585	2825
6006	9
55219	1162
26119	490
57134	67
57190	3984
56181	993
646471	130
79000	31
164091	103
3925	1463
100500808	0
5051	245
2134	0
7780	0
105376910	0
84676	0
149420	187
79927	0
105376887	0
51042	234
10256	0
378807	0
101928303	0
64793	460
83442	33851
91544	1765
1043	1721
55057	3
257101	0
79727	0
79947	1785
101928324	7
3151	3021
6195	4684
100302190	2
101928728	26
8289	2467
55650	190
84243	3434
2810	8
54707	782
63906	1261
10726	1812
8431	2
126695	2
388610	16
115572	2
6548	1332
23038	1931
84065	1470
644961	76
100887744	0
84958	2
9064	838
8547	2
388611	0
2827	614
10163	8846
27245	368
2268	31799
2537	9608
199870	351
23673	3248
5511	1704
677774	0
9473	2036
6118	1209
27293	0
55113	154
2140	904
5724	827
22826	4581
93974	1385
83667	1277
54797	472
65979	1191
1104	462
8420	454
6080	14
26768	23
54952	839
85028	741
692212	30
677838	125
677825	98
692073	61
115273	190
6883	610
26824	1
10691	732
105376911	2
51441	2593
4985	0
2035	978
399474	2
6429	2660
51102	268
10076	4
101928460	0
101929406	0
4146	2
100129196	11
7805	121309
100616164	23
400748	1
9672	3134
9698	2682
692234	0
692235	0
692200	0
79570	2
9410	1039
51538	1270
2170	3572
347735	1976
149086	0
284551	0
64129	22
3061	13
553115	2195
1307	0
576	4
100423028	0
90853	1801
8073	7014
10657	4222
55116	224
100847018	0
23633	2335
200081	3400
79140	36
56063	257
55721	29
149069	31
8668	5764
339483	68
84734	4
3932	1
3065	1843
65108	2210
100128071	11
81629	78
55108	2709
728116	0
653121	41
339487	674
5928	1821
81493	43
57648	1547
8565	2172
64766	223
252995	12
3208	0
113452	14
127544	3388
204	1853
113451	3
55223	181
149076	224
127550	2
1912	11295
100500853	4
101929464	0
7579	169
114784	1
127540	0
402779	0
84970	0
693137	0
2709	0
127534	0
2707	0
2701	0
113444	3256
58512	4
653160	43
100506144	1171
9204	1084
79830	255
6421	16817
9202	1087
79932	845
23154	266
339488	5
5690	5112
127703	1368
63967	37
192670	2230
26523	861
192669	775
27285	8
54936	2142
1296	1335
27095	1754
55700	10278
9967	4541
79729	5023
55194	988
83931	16367
84967	1066
127700	66
64960	1015
1441	4078
2899	1
100422898	0
728431	109
80149	7866
102465438	19
64769	1655
100847010	2
79753	1016
7802	0
29889	3294
284654	0
54955	378
55143	59
284656	2
149175	100
79693	2066
127687	1582
4520	3102
3633	373
10946	1922
2275	647
51118	1083
5453	3
100500801	0
339442	0
64121	4454
100527950	0
26292	0
81025	0
54933	17
79647	4700
4725	4107
23499	5717
643314	48
105378950	2
353500	105
728448	100
8761	6830
101929516	4
677834	16
26508	8
84618	0
51440	0
10450	834
656	72
64064	5
105378951	8
101929536	1
54802	132
4610	50
84879	9962
10487	32122
5538	20877
6018	1949
127391	0
10269	2653
1298	223
64744	5656
65243	35
339559	47
64789	297
127396	132
9783	165
100130557	39
4802	1440
407034	0
407031	0
9132	5
163732	34
1503	951
100507178	13
200172	2
22955	178
100132074	2
1907	0
59269	6063
2981	0
2980	0
22887	1536
284716	14
84217	24
79717	999
728621	10
10465	525
4904	41956
149461	2
64175	1346
79078	146
100129924	4
374969	394
114625	573
51058	198
339539	0
6513	973
440584	3
105378684	0
440585	0
10969	1250
102465439	2
149465	0
128218	0
149466	0
7075	72
4352	1
991	9
64834	4437
102466723	0
112950	925
23334	1930
102465440	0
81888	6
5792	21
9682	981
100132774	8
6487	126
101929592	0
102464830	0
9048	10
9670	1079
1802	554
533	12717
8704	270
149473	58
6536	2
128209	0
105378952	0
55929	471
79033	868
100874278	2
55182	1716
100847089	0
79639	220
339541	28
26828	0
26830	1
11004	19
6202	13123
26811	14
94161	13
94162	23
94163	31
266675	41
1263	10341
343521	160
149478	1113
8643	21
8891	572
79654	2071
7389	2857
57643	6
400752	0
84842	8
4595	332
114034	508
10420	761
126661	7
25974	8
5052	49872
10327	5845
4678	1055
149483	124
60313	4151
728963	6
51249	557
3652	101
23139	1393
8503	22
101929626	0
10103	13
55624	1356
541468	12
8438	33
10489	2625
7388	2531
387338	661
2166	116
729041	0
101929651	0
127343	11
100507423	35
148930	0
8569	3579
148932	3504
64756	424
374973	1
100130197	4
9813	5397
1580	0
163720	0
1579	0
260293	0
199974	0
284541	0
100874253	4
10158	0
6886	10
6491	138
51727	4516
102724077	7
2301	0
84793	18
2306	12
388630	2
391037	0
200010	2
54558	48
84871	0
79656	6
101929721	0
100874313	0
1996	4
63950	1
11124	901
1031	14
100616189	0
102466656	0
284546	0
26994	3830
22996	10
102724097	0
2060	1570
114883	1539
4898	4812
100313892	0
5865	0
51060	3746
112970	0
104355143	0
91408	1250
9372	14
200014	3100
4998	22
84950	1520
23318	458
105378722	0
2882	1
348378	0
65260	555
79699	670
440590	0
55268	121
6342	4388
100616156	0
100616458	0
100616145	0
127435	0
6512	0
1376	943
54987	524
4116	1502
100507564	9
7804	1575
163742	0
63948	0
148979	0
105369175	0
55706	341
54432	540
1733	9
51668	505
115353	978
388633	0
9528	7326
127428	92
100616315	0
200008	1
606495	71
51253	1555
23648	1173
619518	21
26027	262
338094	14
374977	12
100527960	3
7268	108
25973	100
55001	0
163747	0
1718	2795
100126514	0
199964	0
7809	0
255738	0
23358	2347
100507634	22
100616272	0
8613	7619
5563	0
199920	0
731	0
732	2
1600	0
101926890	0
115209	79
4070	10
114803	2051
3725	23778
100131060	2
101926925	7
729467	0
55277	197
100616409	0
101926944	4
51361	2
1573	0
127795	0
101926964	0
100996570	2
4774	45
645030	0
414927	0
83941	991
10207	46
100422902	0
100422946	0
54596	12
163782	1
7398	886
85440	2076
27329	5
84938	152
199899	0
100996301	0
27022	1
102464823	0
29929	241
23421	125
84455	16
79469	6
5236	646
4919	16
101927034	29
148581	0
57685	42
100616338	0
55225	47
3716	12292
101927084	2
105378775	9
100500854	4
406893	0
205	489
9829	399
54741	7059
3953	119
5142	15212
101927139	0
84251	14
100422871	0
200132	12
10022	0
79819	0
57708	2664
23169	744
400757	0
149233	0
3595	16
26135	6799
1647	5879
55970	313
100289178	0
9077	0
79971	324
100302279	0
6121	2
55635	0
101927220	0
57554	19
5301	0
55631	694
9295	4793
81573	1075
11147	72
1491	37
101927244	0
5733	25
100132618	15
9406	2128
406962	5
100852410	2
257194	2
100852409	0
101927295	0
127255	0
100526835	0
8790	254
51086	0
105378804	0
105378803	0
127254	0
101927320	0
1429	1207
127253	726
431707	0
204962	0
34	1326
1744	111
5876	2453
692085	9
26805	13
26804	17
4438	0
127247	0
101927342	0
256435	8
81849	0
102466995	0
10026	718
26289	0
26009	597
23032	1005
374986	454
374987	0
91624	205
8880	3478
11080	1003
54810	4
149047	0
5737	0
10964	553
10561	1035
64123	0
101927412	0
23266	0
101927434	0
101927498	0
101927587	0
101927560	0
79739	8
5567	599
148418	2
391051	2
58511	2
80135	1103
2787	4119
100505741	26
1486	1498
103695366	2
439927	0
117178	100
23566	73
255231	1178
55283	300
126820	10
100616481	0
84144	14
148423	844
8915	1209
646626	71
23576	0
3491	20
54680	548
255631	16
57489	204
102465842	1
9635	10
1179	0
22802	0
9629	0
105378828	32
51100	7196
9403	6636
9653	2048
339524	7
101927844	1
105378832	0
8543	624
100505768	1
101927891	0
5586	641
2959	1501
56267	685
494115	938
2635	200
2633	1649
2634	5831
388646	0
115361	30
115362	147
729930	0
163351	2
400759	1
23507	1550
84230	5062
400761	11
55144	311
105378846	0
492303	30
284695	1538
343472	0
84146	1647
164045	0
8317	54
7049	24
676	0
253152	0
646817	13
284697	6
23285	33
388649	0
11146	160
79871	194
2672	12
7813	713
6125	14024
388650	892
6083	4
26782	14
22823	702
50999	12148
343099	321
100131564	251
1810	1860
54874	180
100126520	0
8412	4296
100129046	7
100126348	0
100189133	0
30836	6659
2730	4010
24	0
9411	0
5825	820
2152	14310
101928079	0
100616321	0
126969	0
1266	4
105378862	0
729970	0
199857	220
101928098	0
148534	0
100527978	5
101928118	0
25950	177
440594	0
100996635	0
102723661	0
101928241	0
58155	336
1806	1934
100873932	1
100873933	0
400765	0
100616452	0
406928	0
729987	0
51375	20
163404	0
100129620	0
9890	0
101928270	0
54873	0
391059	136
178	463
23443	565
64645	2909
163786	45
54482	135
127495	11
1629	226
100506007	11
8634	1063
693138	2
8556	206
54112	0
100128787	0
7412	2
2135	61
148867	1768
51611	77
102606465	24
101928334	0
101928370	0
1901	37
104355286	0
118427	0
94236	0
1301	0
101928436	0
55599	319
280	299
648740	14
279	0
276	0
277	0
278	1
100129138	0
101928476	0
55170	312
22854	0
10451	1166
102465839	0
100873946	11
29957	5298
148545	0
653149	0
284611	3862
113802	102
55119	2573
163479	0
6814	2129
254268	10
642864	0
29899	128
23155	721
22911	1410
6884	868
56900	4496
677766	4
127003	0
57535	5
6301	2762
1952	14
84722	0
343263	0
6272	1766
5686	3457
284612	8
127002	319
284613	883
57463	4
83873	3
2773	8993
406974	5
2780	2
271	726
2948	676
2946	108
2944	8
2949	0
2947	527
79574	0
1435	63734
10768	8066
85369	1893
257	42
104355139	0
164153	0
388662	41
100873974	2
3749	246
440600	3
64783	631
9122	10
10542	2647
101410535	3
84432	0
643160	0
440602	0
3744	0
3737	10
3738	640
963	20117
55791	721
128338	3228
10390	604
79961	1378
1117	44
149620	0
27159	0
128344	0
441897	0
5016	36
79084	720
515	5847
128346	2129
57413	47
140	5
100129269	7
5906	5511
55924	103
100506343	0
101928718	0
11218	688
3752	0
100874295	0
100873995	0
643355	0
55917	1844
100422976	0
7482	93
54879	326
829	14231
4343	812
389	20075
333926	18
284467	69
100996702	0
6566	3418
246182	27
100506392	28
100996251	2
9860	560
643441	0
260425	29
10745	791
54665	699
100287722	9
26191	941
440603	8
10717	217
64858	1546
101928846	0
204851	3770
56944	144
148281	408
51592	1771
10286	1454
163259	29
270	0
4893	8407
7812	22132
80143	503
6847	0
7252	0
10100	26
4803	0
81839	105
845	0
4808	13
101928995	2
101928977	1
55356	630
126868	6
476	39265
84852	22
101929023	2
965	4213
100616384	0
3321	48
100302117	0
388667	0
914	6
5738	451
9398	47
101929099	1
8458	273
100126331	2
80263	21
79679	0
104355292	0
10905	1144
100996263	0
54855	34
54834	762
10885	800
200162	4
6913	0
10352	287
104472716	0
101929147	49
51179	0
100874270	0
3284	0
3283	0
128102	0
644242	8
90874	5275
26227	371
3158	0
83998	0
343505	0
11085	0
4853	30471
9554	5180
105378954	4
728841	767
767846	35
100996724	1705
101929796	51
101060684	278
100189005	1
101954277	3
653505	2
728855	45
101954264	3
100189257	0
105369199	0
100996721	0
100126488	0
101929798	0
2210	77
100996318	0
337875	0
653820	8
653464	97
100873165	0
647121	16
101929815	0
100189261	0
101954269	0
26863	0
791227	0
105369140	0
388692	0
100189142	0
100189326	0
199882	0
100189356	0
100132417	19
100996713	0
554282	1
100996712	11
101060524	0
730262	0
101954267	1
100189323	0
284565	87
100189127	0
728945	0
105371215	0
1818	0
645166	2
647135	60
728833	4
101929805	0
102724235	1
103091866	12
645142	0
101954266	5
7214	0
100288142	109
100126510	0
101060254	5
101929780	48
653519	186
5174	3
11126	9
27246	939
10623	1359
200035	48
10401	326
102466191	0
148741	8
8515	15
8799	728
114814	3
9939	4109
128077	932
84265	622
284615	7
10628	7563
148738	0
100189384	0
100189064	0
100188991	0
100189198	0
101954276	2
101928979	0
100132406	139
388677	125
170688	1
105371242	0
102724558	0
100288805	1
105373468	1
149013	515
728989	5
100189334	0
101447996	0
644861	0
5565	675
171423	1120
2330	50
9557	1670
100289211	0
607	140
51205	19
2702	0
2703	0
51463	77
100034743	0
100189140	0
26864	0
100189193	0
200030	228
101927468	0
100189056	0
100189307	0
100189174	0
100188998	0
100847044	0
101954273	0
102466225	0
26860	0
100132057	3
101954272	2
388685	10
644591	0
25832	1024
100996763	161
440672	0
9659	11413
400818	269
653513	3657
100996761	21
101060226	2993
653598	3
57234	24
644634	0
100189228	0
102723955	0
100189059	0
440689	3
2209	545
101927767	0
653604	0
8370	0
105371405	0
126961	0
8337	1
337873	0
723790	0
333932	0
554313	0
8349	239
8338	3
317772	2
51027	24
9900	1
10262	2764
10903	88
56957	789
105373477	0
11311	578
51177	19507
81611	857
23632	13
51107	11773
79630	496
148523	32
54460	1108
9129	1798
23248	677
80222	558
102465529	2
1893	8707
100874054	2
54507	1230
105371437	19
100422997	0
574406	14
4170	27900
2029	6819
55204	241
84072	4
1520	90714
1513	5157
405	1868
9869	1161
29956	7182
8416	81
55793	186
58497	313
149428	0
54964	37
56882	8857
10962	84
126626	82
10500	30
100534012	0
79626	230
388695	39
79005	16
29765	19
6944	762
8394	3095
5710	5531
57592	1500
5298	6026
5993	2251
8991	6
5692	8993
23126	2306
57530	4
7286	114
693139	0
81609	824
11189	4
284485	0
65005	729
51686	19
11022	193
339398	0
6097	0
100191040	0
100132111	0
284486	2
117145	190
6281	17516
441908	0
6282	50289
100131107	0
126637	0
7062	190
126638	0
388697	0
2312	0
339400	0
388698	0
49860	0
254910	0
54544	0
353145	0
84648	0
353144	0
353143	0
353142	0
353141	0
353140	0
26239	0
353139	0
199834	0
100129271	0
448834	0
353137	0
353135	0
353134	0
353133	0
353132	0
353131	0
448835	0
4184	0
3713	0
163778	0
6698	0
6707	0
6699	0
6703	0
6700	0
6701	0
6704	0
6705	0
6702	0
6706	0
101928009	0
149018	0
574414	2
4014	2
114771	0
57115	4
6280	12847
6283	80
6279	4818
338324	0
645922	0
6278	0
6277	93863
6276	4
6275	34097
101928034	4
6274	15
6273	101
140576	43
57402	0
6284	170
6271	8
26097	2060
23557	1181
3608	6789
100189015	0
4881	20
102466879	0
65123	2
11000	4
343052	0
105371448	0
57459	10
9909	4554
200186	1955
27173	7102
102465441	0
148327	47
10899	2743
5872	5547
6232	13775
91181	2
100847024	0
7170	33603
100126346	0
388701	3
25912	8638
9898	4551
10456	1548
89872	2
57198	366
3570	13688
126669	28
126668	6
55585	2329
100874097	9
1141	4
103	5793
3782	4
10654	820
57326	1590
90780	320
101928120	0
6464	2849
1163	124
100423020	0
80308	588
55891	0
51043	911
127579	8
149095	1
100505666	10
8751	2149
1945	31
1944	17
1942	223
55974	1758
54344	712
200185	2560
80128	9
4582	69
693235	0
7059	351
4580	345
2630	3
2629	2
10712	0
10067	0
1196	0
57657	0
5313	0
2224	2739
284618	7
23623	699
55870	2957
693140	0
645682	1
645676	85
55154	153
55249	2773
7818	3018
100129405	50
54856	1106
23208	650
6016	11673
22889	742
677823	0
677771	0
339403	4
9181	16736
102465442	1
105371729	3
6746	8358
56893	1993
28956	1217
57111	0
92312	0
4000	82699
64218	6350
9673	2666
11243	564
100527963	0
632	0
79957	259
23381	6767
84283	93
112770	6495
391104	0
7203	5939
128229	3
57127	0
10485	4
407046	0
4209	4151
128239	137
164118	0
128240	2026
54865	915
101928177	0
60484	0
63827	4
10763	73
1382	74
81875	1360
51093	234
79590	865
3068	7744
5546	1650
9047	4
4914	0
3645	1
375033	0
149499	0
9826	4935
768220	3
440695	277
2117	10590
360155	8
83416	2
83417	0
115352	4
79368	2
115350	0
922	0
55243	1
646268	0
912	0
909	23
911	79
910	23
913	5
128360	0
391107	0
391109	0
343406	0
391112	0
128366	0
128367	0
128368	0
6708	10
81448	0
391114	0
128371	0
128372	0
81442	0
4332	885
149628	13
3428	2142
9447	0
100189166	0
57863	1
100131825	0
2532	0
2205	7
441911	0
26476	2
127385	0
325	0
1401	0
54935	674
343413	40
56833	10905
284677	63
391123	1
25790	16
100422852	0
8407	15333
57549	10
89886	470
100505633	0
93183	166
3766	0
3765	0
93185	970
477	0
480	6
844	6
729867	65
8682	44805
50717	1929
5824	2446
4807	10
1314	10100
474338	12
23385	5164
57216	0
114836	84
8832	25477
6504	4881
962	3318
57823	28431
