Geneid	HISAT2 on data 178: aligned reads (BAM)
100287102	0
653635	232
102466751	52
100302278	0
645520	0
79501	0
729737	424
102725121	3
102723897	225
102465909	0
729759	0
100132287	3
105378947	4
101928626	8
102465432	25
81399	0
100133331	210
100288069	34
400728	25
79854	35
643837	500
284593	0
100130417	0
148398	0
26155	2465
339451	457
84069	26
84808	6
57801	7
9636	683
375790	17250
105369174	541
105378948	113
401934	0
54991	951
254099	0
406984	0
406983	0
554210	0
254173	0
8784	254
7293	34
51150	10742
126792	1145
388581	18
118424	2217
6339	303
116983	3625
102465434	0
126789	339
54973	3047
102465435	2
80772	1306
83756	47
1855	1400
102466740	0
54587	393
54998	2095
81669	8759
148413	790
55052	2500
441869	0
643965	0
102724312	0
64856	12
219293	8
83858	880
55210	836
339453	2
29101	4861
643988	978
142678	750
8510	0
984	2070
728661	4959
8511	16
728642	1036
9906	793
65220	14572
2782	35932
105378949	12
163688	23
339456	2
85452	0
2563	0
5590	6
100506504	3
199990	1141
105378592	38
6497	2707
105378594	9
79906	125
100129534	11
11079	6409
5192	637
9651	0
55229	1
388585	0
115110	7
8764	893
100996583	0
127281	13
79258	0
100287898	10
140625	0
440556	0
63976	2
100422968	0
27237	7
1953	3770
693135	0
127262	4909
49856	1036
7161	15
57212	2514
148870	0
388588	17
57470	2180
9731	2539
1677	680
339448	1552
100133612	15
728716	0
284661	0
55966	8
100616489	0
100616421	0
261734	798
8514	26661
26038	0
6146	12226
102724450	3
388591	33
23463	5164
148645	3
390992	0
387509	27
11332	632
54626	2
83715	0
100422975	0
8718	2
57449	0
79707	728
80835	6
3104	2114
9903	2652
148479	1218
90326	659
55735	1974
100505887	0
23261	1451
9341	12996
8863	7478
10911	1452
3604	1148
11315	7456
54206	450
102724539	0
50651	6
473	6860
102724552	31
2023	66420
102465436	2
100505975	10
765	0
155184	0
6518	2249
80045	478
407040	12
9563	12244
80176	778
100506022	72
84275	520
199953	362
5293	3990
644997	14
101929074	39
22883	4337
56998	3922
84328	1628
64802	1853
100847055	1
105376719	10
116362	292
10277	5022
23095	10229
100422970	1
5226	39862
100526739	0
378708	17
1325	2
1676	1462
5195	2058
54897	54
148345	382
23435	9783
10747	247
6723	1158
5394	5720
2475	6308
100873935	6
10218	2
29914	1574
57540	5
101929181	0
26232	2
93611	1149
26270	1686
10459	1593
374946	22
57085	5549
284498	2
102724659	1
4524	7990
1185	4166
100379251	33
4878	12
4879	0
26829	0
90231	5394
5351	7812
9927	9530
60672	2662
102466982	0
943	369
102465836	0
7133	46962
100616438	5
55187	8775
677885	10
9249	1082
102466722	1
343066	0
126767	0
93190	0
390999	0
65121	0
