Geneid	HISAT2 on data 14: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	0
20671	23
27395	472
18777	787
100503730	2
21399	279
58175	0
108664	386
18387	0
226304	0
12421	167
620393	0
240690	0
319263	602
71096	0
59014	211
76187	620
72481	4
76982	6
17864	2
70675	172
73331	11
170755	209
620986	0
240697	5
73824	45
266793	0
100038398	23
100039596	14
69312	4
26754	465
211660	92
211673	467
329093	0
109294	38
320492	0
329096	0
240725	8
240726	0
383491	0
17978	319
72265	933
212442	769
381246	114
433273	1
14048	0
17681	12
277328	0
98741	2
21749	62
226866	0
665434	1
75799	0
19989	1989
98711	173
29819	47
66799	190
67923	240
329101	2
70397	334
17087	37
57339	0
14545	0
94227	2
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	48
75028	0
387202	0
723817	0
16171	0
257630	0
17215	97
77741	0
74229	0
71877	12
170829	19
75712	29
14859	8629
241041	0
368204	0
433278	0
98582	0
226922	4
116837	0
66755	0
387225	0
723964	0
70155	132
100503399	0
280645	2
98366	89
68002	102
68187	80
12839	0
12823	0
68421	394
210933	0
100504323	0
210940	0
433281	110
665903	6
210962	0
623924	0
791350	0
213109	249
19243	298
70988	0
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	46
67503	0
19335	24
213539	2
98403	70
433287	0
320705	2
13518	557
100628580	0
69668	125
27993	165
52318	56
19253	80
21755	0
12627	0
21756	0
211383	0
241051	0
226970	4
214469	406
226971	278
50785	1137
320011	490
214854	155
214855	30
226976	358
214895	117
94220	22
94218	70
78321	13
109346	24
20353	43
381337	0
12859	973
226977	327
71166	0
22637	177
56030	170
70853	0
12790	0
269180	179
76178	597
67387	211
269181	34
77633	5
100861893	0
72097	2
100503734	0
211484	10
623661	51
69028	80
107734	326
332427	0
69541	0
98258	255
226982	475
56210	53
16764	6
381338	0
98388	4
100503760	0
433292	0
68833	113
18143	1
114641	1191
54610	194
52846	150
100217461	4
67702	822
263764	3
619289	0
100042065	0
73426	0
26921	159
100047133	0
16178	0
16177	218
107527	0
17082	0
16182	24
16174	22
110895	0
226999	0
211798	36
381339	0
74897	0
66297	0
18993	0
73100	0
69527	146
93690	0
73122	235
98404	80
14200	2
666642	75
17974	46
100861934	0
78896	0
67883	65
100503192	0
22019	287
433294	0
75623	32
72050	71
246229	74
22592	95
100861960	0
403183	1
70676	2
75066	0
12825	1077
12832	87
73674	120
433297	3
53945	2421
100042453	0
212225	0
227058	0
100101919	0
227059	48
442837	0
56363	0
442821	0
20324	109
109019	264
100045066	2
17912	817
20849	22
100042634	0
20846	4667
14660	122
17936	514
227094	12
98682	70
16329	73
227095	364
67080	0
17700	0
69397	0
227099	35
227102	225
72085	136
70396	243
627872	0
98267	160
329152	23
78016	0
98488	63
241062	109
329154	68
81898	959
67876	378
15510	2424
15528	807
19070	216
74013	8
212679	18
75388	0
227120	8
626009	0
329159	0
71066	0
212712	0
329160	0
407809	0
75323	2
73467	129
68736	50
68115	95
67198	134
51960	60
68549	4
11761	754
71724	956
71872	0
213043	0
66882	892
12747	512
70225	97
65102	97
18393	73
100504455	0
213056	127
66495	333
100504501	31
108812	8
12633	538
12370	254
70827	291
227154	243
73463	0
381259	31
227157	28
74018	920
271697	0
14369	113
381260	0
22218	242
55989	239
100217459	0
100217421	0
12168	30
100504533	20
72750	89
70375	0
57750	102
241066	14
100504573	0
269198	69
77951	85
329165	30
77300	635
100043027	0
100042533	0
12487	27
100504618	0
12477	0
54167	35
77341	0
72823	6
18187	105
74992	0
227195	124
100380944	3
100504668	0
227197	706
55949	1163
100217464	0
241070	0
73884	0
23792	102
241073	0
76668	1
75619	118
74426	0
433315	0
93691	7
12912	146
67099	67
69941	6
227210	29
14367	22
241075	30
70861	0
667276	0
12968	0
12967	0
12966	0
12965	0
12964	0
98303	0
15926	2687
18711	188
213527	0
12969	0
17756	5
100038569	0
329178	0
66646	179
68691	57
11363	1049
100862127	0
17901	0
14768	232
227231	16743
13869	0
100502712	0
22779	18
66722	0
320460	0
12021	4
74591	2
108147	232
14268	6280
100042814	2
667931	138
71134	0
433319	0
381269	104
111175	1288
271711	4
22596	189
381270	0
54380	70
319695	0
19981	1006
16008	3277
16011	10
21958	0
69449	0
723792	0
78718	0
109198	5
21961	435
435626	4
100862357	0
12765	4
227288	0
100316687	0
76709	1176
227289	2
227290	1064
56695	313
69660	365
241112	0
18173	329
227292	887
387219	0
22349	6
319651	47
58184	174
18802	0
77264	81
66821	107
57751	142
269209	2
67534	62
104086	2279
241113	0
22420	0
22409	0
12570	2
260298	0
12958	0
723900	0
241116	1
16147	11
75570	11
22626	2
69171	376
227298	1132
68818	172
74104	473
245860	375
52231	108
74577	34
20872	442
22145	897
381272	6
56812	442
19275	1
19711	0
13437	376
13346	55
