Geneid	HISAT2 on data 13: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	0
20671	2
27395	7
18777	13
100503730	0
21399	24
58175	0
108664	19
18387	0
226304	0
12421	8
620393	0
240690	0
319263	27
71096	0
59014	20
76187	0
72481	0
76982	0
17864	1
70675	18
73331	0
170755	25
620986	0
240697	0
73824	5
266793	0
100038398	0
100039596	0
69312	0
26754	18
211660	12
211673	44
329093	0
109294	3
320492	0
329096	0
240725	1
240726	2
383491	0
17978	24
72265	42
212442	3
381246	0
433273	0
14048	2
17681	8
277328	0
98741	0
21749	8
226866	0
665434	0
75799	0
19989	282
98711	11
29819	0
66799	1
67923	16
329101	0
70397	13
17087	3
57339	0
14545	0
94227	4
83691	6
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	0
75028	0
387202	0
723817	0
16171	0
257630	0
17215	23
77741	0
74229	0
71877	0
170829	2
75712	0
14859	13
241041	0
368204	0
433278	0
98582	0
226922	3
116837	0
66755	0
387225	0
723964	0
70155	28
100503399	0
280645	2
98366	14
68002	0
68187	0
12839	0
12823	0
68421	16
210933	0
100504323	0
210940	0
433281	0
665903	0
210962	0
623924	0
791350	0
213109	24
19243	4
70988	0
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	15
67503	0
19335	2
213539	2
98403	6
433287	1
320705	2
13518	10
100628580	0
69668	11
27993	7
52318	10
19253	20
21755	0
12627	0
21756	0
211383	0
241051	0
226970	4
214469	67
226971	23
50785	18
320011	30
214854	43
214855	12
226976	12
214895	8
94220	2
94218	6
78321	6
109346	0
20353	6
381337	0
12859	36
226977	21
71166	0
22637	13
56030	44
70853	0
12790	0
269180	14
76178	32
67387	12
269181	13
77633	0
100861893	0
72097	0
100503734	0
211484	0
623661	0
69028	8
107734	8
332427	0
69541	0
98258	14
226982	21
56210	4
16764	14
381338	0
98388	8
100503760	0
433292	0
68833	10
18143	0
114641	192
54610	8
52846	7
100217461	0
67702	9
263764	0
619289	0
100042065	0
73426	0
26921	36
100047133	0
16178	0
16177	6
107527	0
17082	6
16182	14
16174	4
110895	0
226999	0
211798	2
381339	0
74897	0
66297	0
18993	0
73100	0
69527	6
93690	0
73122	2
98404	8
14200	0
666642	8
17974	2
100861934	0
78896	0
67883	9
100503192	0
22019	22
433294	0
75623	2
72050	2
246229	4
22592	6
100861960	0
403183	0
70676	0
75066	0
12825	37
12832	5
73674	13
433297	0
53945	165
100042453	0
212225	0
227058	0
100101919	0
227059	5
442837	0
56363	0
442821	0
20324	4
109019	17
100045066	0
17912	6
20849	12
100042634	0
20846	105
14660	44
17936	14
227094	6
98682	6
16329	4
227095	0
67080	0
17700	0
69397	0
227099	6
227102	10
72085	8
70396	33
627872	0
98267	101
329152	0
78016	0
98488	0
241062	14
329154	43
81898	157
67876	0
15510	94
15528	47
19070	22
74013	6
212679	2
75388	0
227120	2
626009	0
329159	0
71066	0
212712	0
329160	0
407809	0
75323	0
73467	2
68736	0
68115	2
67198	0
51960	10
68549	0
11761	0
71724	2
71872	0
213043	0
66882	67
12747	105
70225	18
65102	0
18393	15
100504455	0
213056	3
66495	10
100504501	4
108812	0
12633	39
12370	28
70827	62
227154	18
73463	0
381259	0
227157	0
74018	6
271697	0
14369	0
381260	0
22218	39
55989	37
100217459	0
100217421	0
12168	0
100504533	0
72750	13
70375	0
57750	7
241066	0
100504573	0
269198	4
77951	2
329165	12
77300	3
100043027	0
100042533	0
12487	20
100504618	0
12477	0
54167	13
77341	0
72823	0
18187	17
74992	0
227195	18
100380944	0
100504668	2
227197	15
55949	153
100217464	0
241070	2
73884	0
23792	12
241073	0
76668	0
75619	8
74426	0
433315	0
93691	2
12912	23
67099	10
69941	0
227210	0
14367	8
241075	19
70861	0
667276	0
12968	0
12967	0
12966	0
12965	0
12964	0
98303	0
15926	30
18711	22
213527	0
12969	0
17756	4
100038569	0
329178	0
66646	9
68691	2
11363	12
100862127	0
17901	0
14768	4
227231	33
13869	0
100502712	0
22779	8
66722	0
320460	0
12021	4
74591	0
108147	19
14268	40
100042814	0
667931	0
71134	0
433319	0
381269	2
111175	2
271711	0
22596	9
381270	0
54380	9
319695	0
19981	42
16008	4
16011	19
21958	0
69449	0
723792	0
78718	0
109198	0
21961	34
435626	0
100862357	0
12765	5
227288	0
100316687	0
76709	108
227289	0
227290	24
56695	2
69660	7
241112	0
18173	23
227292	19
387219	0
22349	0
319651	7
58184	17
18802	0
77264	4
66821	2
57751	12
269209	0
67534	2
104086	13
241113	0
22420	1
22409	0
12570	0
260298	0
12958	0
723900	0
241116	0
16147	0
75570	6
22626	0
69171	17
227298	27
68818	6
74104	7
245860	5
52231	5
74577	4
20872	15
22145	83
381272	0
56812	18
19275	0
19711	0
13437	16
13346	30
100503248	0
11790	2
69080	7
100862164	0
