Geneid	HISAT2 on data 11: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	0
20671	31
27395	739
18777	1680
100503730	0
21399	776
58175	0
108664	858
18387	0
226304	0
12421	521
620393	0
240690	0
319263	1413
71096	0
59014	350
76187	1502
72481	16
76982	5
17864	42
70675	534
73331	34
170755	341
620986	12
240697	6
73824	114
266793	0
100038398	64
100039596	21
69312	8
26754	1109
211660	199
211673	1321
329093	0
109294	99
320492	0
329096	0
240725	54
240726	0
383491	0
17978	773
72265	2611
212442	2227
381246	231
433273	0
14048	2
17681	60
277328	0
98741	0
21749	163
226866	2
665434	0
75799	0
19989	4704
98711	427
29819	142
66799	313
67923	543
329101	0
70397	600
17087	110
57339	2
14545	0
94227	2
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	121
75028	0
387202	0
723817	0
16171	0
257630	0
17215	247
77741	0
74229	13
71877	8
170829	50
75712	76
14859	17420
241041	0
368204	0
433278	0
98582	0
226922	0
116837	0
66755	0
387225	0
723964	0
70155	341
100503399	0
280645	5
98366	243
68002	264
68187	185
12839	1
12823	0
68421	1205
210933	0
100504323	0
210940	0
433281	244
665903	20
210962	0
623924	0
791350	0
213109	760
19243	578
70988	0
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	98
67503	6
19335	162
213539	24
98403	148
433287	3
320705	9
13518	1412
100628580	0
69668	255
27993	375
52318	93
19253	194
21755	0
12627	0
21756	0
211383	0
241051	0
226970	14
214469	1369
226971	893
50785	1799
320011	1785
214854	687
214855	121
226976	980
214895	416
94220	117
94218	213
78321	61
109346	69
20353	163
381337	1
12859	2247
226977	857
71166	2
22637	278
56030	604
70853	6
12790	0
269180	453
76178	1801
67387	606
269181	175
77633	1
100861893	0
72097	1
100503734	0
211484	24
623661	92
69028	197
107734	565
332427	0
69541	0
98258	593
226982	1416
56210	131
16764	6
381338	0
98388	5
100503760	0
433292	0
68833	381
18143	55
114641	3103
54610	392
52846	302
100217461	16
67702	2110
263764	22
619289	0
100042065	0
73426	0
26921	728
100047133	0
16178	12
16177	904
107527	14
17082	15
16182	106
16174	52
110895	0
226999	0
211798	59
381339	0
74897	0
66297	0
18993	0
73100	0
69527	352
93690	0
73122	620
98404	224
14200	25
666642	216
17974	128
100861934	0
78896	1
67883	147
100503192	1
22019	719
433294	0
75623	77
72050	161
246229	207
22592	196
100861960	0
403183	0
70676	12
75066	0
12825	5209
12832	431
73674	221
433297	6
53945	6064
100042453	0
212225	0
227058	4
100101919	0
227059	164
442837	0
56363	0
442821	0
20324	289
109019	749
100045066	20
17912	2889
20849	71
100042634	0
20846	13462
14660	458
17936	1033
227094	46
98682	247
16329	226
227095	626
67080	2
17700	2
69397	0
227099	61
227102	433
72085	265
70396	576
627872	0
98267	513
329152	94
78016	6
98488	256
241062	283
329154	248
81898	2255
67876	194
15510	4900
15528	1817
19070	408
74013	46
212679	14
75388	0
227120	57
626009	1
329159	0
71066	0
212712	7
329160	6
407809	0
75323	0
73467	251
68736	108
68115	251
67198	262
51960	114
68549	45
11761	3034
71724	3375
71872	0
213043	0
66882	2249
12747	1177
70225	177
65102	214
18393	115
100504455	2
213056	262
66495	759
100504501	34
108812	2
12633	1696
12370	671
70827	771
227154	559
73463	0
381259	108
227157	21
74018	1487
271697	0
14369	395
381260	1
22218	538
55989	312
100217459	0
100217421	0
12168	113
100504533	41
72750	155
70375	2
57750	192
241066	38
100504573	0
269198	202
77951	229
329165	117
77300	1366
100043027	6
100042533	0
12487	47
100504618	0
12477	22
54167	90
77341	0
72823	19
18187	434
74992	2
227195	428
100380944	15
100504668	9
227197	1400
55949	2620
100217464	4
241070	0
73884	0
23792	297
241073	0
76668	0
75619	260
74426	0
433315	0
93691	27
12912	521
67099	172
69941	14
227210	70
14367	107
241075	157
70861	0
667276	0
12968	0
12967	0
12966	0
12965	0
12964	0
98303	0
15926	5816
18711	435
213527	0
12969	0
17756	6
100038569	0
329178	0
66646	428
68691	130
11363	1976
100862127	0
17901	0
14768	436
227231	42057
13869	14
100502712	0
22779	76
66722	0
320460	0
12021	25
74591	0
108147	554
14268	16616
100042814	2
667931	207
71134	0
433319	0
381269	422
111175	2398
271711	20
22596	356
381270	0
54380	327
319695	0
19981	1559
16008	6167
16011	196
21958	0
69449	0
723792	0
78718	0
109198	4
21961	1290
435626	4
100862357	0
12765	26
227288	0
100316687	0
76709	3237
227289	0
227290	2414
56695	1096
69660	888
241112	4
18173	1266
227292	2103
387219	0
22349	4
319651	138
58184	368
18802	0
77264	142
66821	210
57751	207
269209	21
67534	192
104086	5466
241113	0
22420	2
22409	0
12570	0
260298	3
12958	0
723900	0
241116	0
16147	14
75570	37
22626	8
69171	924
227298	2528
68818	305
74104	820
245860	862
52231	266
74577	73
20872	1102
22145	2080
