"","V1"
"AFUB_000010",0.000420700836164353
"AFUB_000020",0.34857585195524
"AFUB_000030",0.254209967899886
"AFUB_000040",0.64274118152364
"AFUB_000100",0.896679158146896
"AFUB_000110",0.008119249380365
"AFUB_000120",0.140306250371225
"AFUB_000140",0.0635194173866197
"AFUB_000240",0.270075767998227
"AFUB_000250",0.592411572901444
"AFUB_000260",0.000301198517117315
"AFUB_000270",1.93727127909046e-05
"AFUB_000280",0.159137782106266
"AFUB_000290",0.263643887116183
"AFUB_000300",0.00153407062515294
"AFUB_000310",0.000261133916398033
"AFUB_000340",0.0012072145387863
"AFUB_000350",0.343504447792014
"AFUB_000360",0.517645406797225
"AFUB_000370",0.000235384897242675
"AFUB_000380",2.78939802619171e-05
"AFUB_000390",0.822112827842654
"AFUB_000400",0.152229762914395
"AFUB_000410",0.162131769532092
"AFUB_000420",0.0125146658387019
"AFUB_000430",0.791179585211912
"AFUB_000440",0.161194012090021
"AFUB_000450",0.000612252982066476
"AFUB_000460",0.00684712078014161
"AFUB_000470",0.000306109774036619
"AFUB_000480",0.00283846959003853
"AFUB_000490",0.683195831097004
"AFUB_000500",0.029572058398348
"AFUB_000510",0.00143602545305825
"AFUB_000520",0.328823080289235
"AFUB_000530",0.137183252796528
"AFUB_000540",0.00315829349743393
"AFUB_000550",0.000740634569590611
"AFUB_000560",0.00296141299115414
"AFUB_000570",0.845547512756589
"AFUB_000580",0.00918334871167865
"AFUB_000590",0.00932559402555404
"AFUB_000600",0.00533974965490132
"AFUB_000610",0.70208698548852
"AFUB_000620",7.81127754712745e-07
"AFUB_000630",0.361709513311224
"AFUB_000640",0.00775516728885952
"AFUB_000650",2.73831740128151e-05
"AFUB_000660",0.0363058027390671
"AFUB_000670",0.835479327953628
"AFUB_000690",0.00326159569701892
"AFUB_000700",0.832948152417912
"AFUB_000710",0.735793477393887
"AFUB_000730",0.00492430850885627
"AFUB_000840",0.00204495754930017
"AFUB_000850",0.000504661073553592
"AFUB_000860",0.000656100598832845
"AFUB_000870",0.029798602656917
"AFUB_000880",0.935725003956775
"AFUB_000890",0.000302864067214084
"AFUB_000900",3.75214756499661e-06
"AFUB_000920",0.869021758314188
"AFUB_000930",0.24589516042523
"AFUB_000940",0.293807167182872
"AFUB_000950",0.0733523616006766
"AFUB_000960",0.00359201364342203
"AFUB_000970",0.00948090528611297
"AFUB_000980",0.0194400483759808
"AFUB_000990",1.80067314766982e-05
"AFUB_001000",1.29863332535242e-06
"AFUB_001020",0.323899654969145
"AFUB_001040",0.000536891080696759
"AFUB_001050",0.0338322795187496
"AFUB_001060",0.00620088920600428
"AFUB_001070",0.00756259267156317
"AFUB_001080",0.0285445006386501
"AFUB_001100",0.000298545999456632
"AFUB_001110",0.00257131513872776
"AFUB_001120",0.150947035506719
"AFUB_001140",0.329727024452294
"AFUB_001150",0.00936207128657615
"AFUB_001160",0.0181306295061883
"AFUB_001170",0.42737246877421
"AFUB_001180",0.0960930683939977
"AFUB_001190",0.955974287848128
"AFUB_001200",0.0575380693611314
"AFUB_001210",0.382623187940049
"AFUB_001220",0.54846403361185
"AFUB_001230",0.582879673743406
"AFUB_001250",0.000124709443721338
"AFUB_001260",0.523355949142419
"AFUB_001280",0.000240621052230853
"AFUB_001290",0.000961940620980808
"AFUB_001300",0.000110634002227987
"AFUB_001310",0.167189624853116
"AFUB_001320",8.86177166119194e-05
"AFUB_001330",0.156212427061563
"AFUB_001340",0.00104244446401802
"AFUB_001350",0.0145501101024938
"AFUB_001360",0.583410901744046
"AFUB_001370",0.0643220589512095
"AFUB_001400",0.00336309511375249
"AFUB_001410",0.0031055303152936
"AFUB_001420",0.00116534293562722
"AFUB_001430",0.00462376285878036
"AFUB_001440",0.000252194647204222
"AFUB_001450",0.0219632327413431
"AFUB_001460",0.00598888209088029
"AFUB_001470",0.0273385526898465
"AFUB_001480",0.0148696464835556
"AFUB_001490",0.00443131700303651
"AFUB_001500",0.684240668400321
"AFUB_001510",0.00338841975512063
"AFUB_001520",0.944867420479844
"AFUB_001530",0.148058590223501
"AFUB_001540",0.227455556206418
"AFUB_001550",0.000448336953311337
"AFUB_001560",0.749166024407656
"AFUB_001570",0.0533467915844252
"AFUB_001580",0.00208103554719649
"AFUB_001590",0.000112785803051535
"AFUB_001600",0.201508922985465
"AFUB_001610",0.000540133335090684
"AFUB_001620",0.11515120582696
"AFUB_001630",0.6507420951155
"AFUB_001640",0.00171502109600972
"AFUB_001650",0.77367518150354
"AFUB_001660",0.0791462202290483
"AFUB_001670",0.514269895135702
"AFUB_001680",0.323415791352841
"AFUB_001690",0.271474864222914
"AFUB_001700",0.0815805621874087
"AFUB_001710",0.0109227662022577
"AFUB_001720",0.175270980065557
"AFUB_001730",0.368393497133546
"AFUB_001740",0.219857836492959
"AFUB_001750",0.82340627839595
"AFUB_001760",0.0408311952650146
