fromNode	toNode	weight	direction	fromAltName	toAltName
105369174	105378948	0.154398017404808	undirected	NA	LOC105378948
1953	56998	0.148458567559847	undirected	MEGF6	CTNNBIP1
56998	116362	0.141588685065398	undirected	CTNNBIP1	RBP7
56998	54751	0.145814855606493	undirected	CTNNBIP1	FBLIM1
56998	3925	0.132586500712365	undirected	CTNNBIP1	STMN1
8514	91544	0.171923870324517	undirected	KCNAB2	UBXN11
54751	91544	0.131303141120613	undirected	FBLIM1	UBXN11
8659	91544	0.130678861085019	undirected	ALDH4A1	UBXN11
91544	6118	0.13350302646081	undirected	UBXN11	RPA2
84275	149076	0.133286267000232	undirected	SLC25A33	ZNF362
29092	149076	0.14024843289773	undirected	LINC00339	ZNF362
149076	6421	0.145443494279401	undirected	ZNF362	SFPQ
728661	29889	0.135918637619966	undirected	SLC35E2B	GNL2
3604	29889	0.135223898165191	undirected	TNFRSF9	GNL2
23095	79693	0.140904999862664	undirected	KIF1B	YRDC
149076	339559	0.165728165768347	undirected	ZNF362	ZFP69
149076	55929	0.136185360379769	undirected	ZNF362	DMAP1
80149	1263	0.150047048837065	undirected	ZC3H12A	PLK3
29889	7268	0.148535952565294	undirected	GNL2	TTC4
91544	1429	0.142060446466975	undirected	UBXN11	CRYZ
644961	1744	0.154982574503514	undirected	ACTG1P20	DLSTP1
55970	5876	0.136309572413746	undirected	GNG12	RABGGTB
23095	8880	0.130766135878753	undirected	KIF1B	FUBP1
8668	8880	0.1445363304361	undirected	EIF3I	FUBP1
79693	8880	0.148514072852118	undirected	YRDC	FUBP1
5394	80135	0.134361157183519	undirected	EXOSC10	RPF1
27095	80135	0.134344860013991	undirected	TRAPPC3	RPF1
5876	80135	0.134685880796673	undirected	RABGGTB	RPF1
149076	30836	0.139134845711801	undirected	ZNF362	DNTTIP2
1263	2152	0.13883770855338	undirected	PLK3	F3
56998	54482	0.137536627103583	undirected	CTNNBIP1	TRMT13
91544	2946	0.156693252418874	undirected	UBXN11	GSTM2
55970	10286	0.130181919062957	undirected	GNG12	BCAS2
5876	10286	0.136907646305273	undirected	RABGGTB	BCAS2
8880	90874	0.134845512871754	undirected	FUBP1	ZNF697
22826	9939	0.141919059721414	undirected	DNAJC8	RBM8A
148423	9939	0.14090915314122	undirected	C1orf52	RBM8A
2210	2209	0.146203306923575	undirected	FCGR1BP	FCGR1A
8880	9129	0.133416157829523	undirected	FUBP1	PRPF3
91544	10962	0.148819019675236	undirected	UBXN11	MLLT11
6018	8394	0.137522461122379	undirected	RLF	PIP5K1A
80135	26097	0.137845434329071	undirected	RPF1	CHTOP
8668	3608	0.146342044159077	undirected	EIF3I	ILF2
8880	3608	0.133687414884969	undirected	FUBP1	ILF2
10768	3608	0.131500465294119	undirected	AHCYL1	ILF2
91544	5872	0.150769344206669	undirected	UBXN11	RAB13
8880	57198	0.137162723822555	undirected	FUBP1	ATP8B2
1953	57326	0.138230828996309	undirected	MEGF6	PBXIP1
8514	57326	0.136197877126401	undirected	KCNAB2	PBXIP1
56998	57326	0.137218103824331	undirected	CTNNBIP1	PBXIP1
54751	57326	0.152871545243229	undirected	FBLIM1	PBXIP1
3925	57326	0.145420354817713	undirected	STMN1	PBXIP1
91544	57326	0.16198248768979	undirected	UBXN11	PBXIP1
1441	57326	0.139456781061792	undirected	CSF3R	PBXIP1
2672	57326	0.133452760705994	undirected	GFI1	PBXIP1
2946	57326	0.147707067993867	undirected	GSTM2	PBXIP1
128338	57326	0.13144352852065	undirected	DRAM2	PBXIP1
7482	57326	0.150522884459311	undirected	WNT2B	PBXIP1
10962	57326	0.159742033262701	undirected	MLLT11	PBXIP1
5872	57326	0.173742437454708	undirected	RAB13	PBXIP1
8394	55870	0.148422805702704	undirected	PIP5K1A	ASH1L
2517	112770	0.14213831923809	undirected	FUCA1	GLMP
1263	6504	0.13646623763256	undirected	PLK3	SLAMF1
5394	5202	0.139757024732701	undirected	EXOSC10	PFDN2
149473	5202	0.130053981058238	undirected	CCDC24	PFDN2
5876	5202	0.151500552593248	undirected	RABGGTB	PFDN2
80135	5202	0.135406725175161	undirected	RPF1	PFDN2
3311	2213	0.162351794849371	undirected	HSPA7	FCGR2B
5876	84824	0.141176643499612	undirected	RABGGTB	FCRLA
3716	23215	0.131529558715352	undirected	JAK1	PRRC2C
23095	27	0.145641826745399	undirected	KIF1B	ABL2
1889	27	0.132996268558669	undirected	ECE1	ABL2
3716	27	0.142957394080819	undirected	JAK1	ABL2
81609	27	0.142730338972704	undirected	SNX27	ABL2
93183	27	0.132743894471999	undirected	PIGM	ABL2
29889	6646	0.133763812733082	undirected	GNL2	SOAT1
8514	80896	0.153027524092763	undirected	KCNAB2	NPL
57095	80896	0.150617746508909	undirected	PITHD1	NPL
91544	80896	0.145637927957694	undirected	UBXN11	NPL
10962	80896	0.148903698923008	undirected	MLLT11	NPL
57326	80896	0.167635158801833	undirected	PBXIP1	NPL
3716	5743	0.141308708926015	undirected	JAK1	PTGS2
9939	79577	0.151174419026167	undirected	RBM8A	CDC73
54751	252839	0.132775209698726	undirected	FBLIM1	TMEM9
3925	252839	0.155118514352433	undirected	STMN1	TMEM9
91544	252839	0.143059104370667	undirected	UBXN11	TMEM9
2946	252839	0.151485198009873	undirected	GSTM2	TMEM9
57326	252839	0.179051148313099	undirected	PBXIP1	TMEM9
80896	252839	0.142597257979914	undirected	NPL	TMEM9
23013	84919	0.155717355635617	undirected	SPEN	PPP1R15B
55113	84919	0.135446603328405	undirected	XKR8	PPP1R15B
10691	84919	0.150066438633866	undirected	GMEB1	PPP1R15B
