fromNode	toNode	weight	direction	fromAltName	toAltName
14859	17912	0.521518101695652	undirected	Gsta3	Myo1b
17912	227231	0.52610845075528	undirected	Myo1b	Cps1
14859	72999	0.520631639646005	undirected	Gsta3	Insig2
227231	72999	0.533707225761235	undirected	Cps1	Insig2
17912	12269	0.527662772263497	undirected	Myo1b	C4bp
72999	12269	0.52578497413978	undirected	Insig2	C4bp
17912	18703	0.527440722122313	undirected	Myo1b	Pigr
72999	18703	0.525944505424432	undirected	Insig2	Pigr
17912	12628	0.520442663537253	undirected	Myo1b	Cfh
72999	12628	0.52011181752175	undirected	Insig2	Cfh
17912	11905	0.532693066921749	undirected	Myo1b	Serpinc1
72999	11905	0.534673213076452	undirected	Insig2	Serpinc1
17912	11807	0.525703884182434	undirected	Myo1b	Apoa2
72999	11807	0.531574999032631	undirected	Insig2	Apoa2
212933	11807	0.523933224774484	undirected	Pm20d1	Apoa2
14859	27045	0.526010988811485	undirected	Gsta3	Nit1
227231	27045	0.5227091471033	undirected	Cps1	Nit1
12269	27045	0.52831358352846	undirected	C4bp	Nit1
18703	27045	0.526975322726861	undirected	Pigr	Nit1
212933	27045	0.522507052376146	undirected	Pm20d1	Nit1
12628	27045	0.52360064476255	undirected	Cfh	Nit1
11905	27045	0.530373261023329	undirected	Serpinc1	Nit1
17912	20219	0.523941388168316	undirected	Myo1b	Apcs
27045	20219	0.521872601297988	undirected	Nit1	Apcs
17912	66112	0.522741244936314	undirected	Myo1b	Mtarc1
72999	66112	0.52140071498737	undirected	Insig2	Mtarc1
27045	66112	0.526149606537455	undirected	Nit1	Mtarc1
27045	226777	0.520272769097524	undirected	Nit1	C130074G19Rik
72999	67307	0.520224489684504	undirected	Insig2	Pbld2
27045	67307	0.526079580510268	undirected	Nit1	Pbld2
17912	14317	0.525471886884834	undirected	Myo1b	Ftcd
72999	14317	0.524181900407435	undirected	Insig2	Ftcd
27045	14317	0.526498008669787	undirected	Nit1	Ftcd
27045	208677	0.523162949118785	undirected	Nit1	Creb3l3
17912	18478	0.529977093335418	undirected	Myo1b	Pah
72999	18478	0.531523968569495	undirected	Insig2	Pah
27045	18478	0.529063147636972	undirected	Nit1	Pah
11807	71761	0.521498780010465	undirected	Apoa2	Amdhd1
27045	71761	0.522479269977806	undirected	Nit1	Amdhd1
17912	54150	0.527752088655709	undirected	Myo1b	Rdh7
72999	54150	0.533028487060183	undirected	Insig2	Rdh7
27045	54150	0.528371849089284	undirected	Nit1	Rdh7
17912	27400	0.520582560965305	undirected	Myo1b	Hsd17b6
27045	27400	0.521975155449097	undirected	Nit1	Hsd17b6
17912	28194	0.525422187474917	undirected	Myo1b	Apon
72999	28194	0.524096538650556	undirected	Insig2	Apon
