fromNode	toNode	weight	direction	fromAltName	toAltName
14859	98496	0.58035740329771	undirected	Gsta3	Pid1
18393	98496	0.5802802368166	undirected	Orc2	Pid1
16008	98496	0.583033341465148	undirected	Igfbp2	Pid1
14859	13167	0.580911223218541	undirected	Gsta3	Dbi
16008	13167	0.583418477262873	undirected	Igfbp2	Dbi
98496	72999	0.581033278509819	undirected	Pid1	Insig2
13167	72999	0.580894555311465	undirected	Dbi	Insig2
98496	18703	0.581592609253257	undirected	Pid1	Pigr
13167	18703	0.582825297929012	undirected	Dbi	Pigr
98496	12628	0.581238138544138	undirected	Pid1	Cfh
13167	12628	0.580596536145708	undirected	Dbi	Cfh
111175	20219	0.580823406211107	undirected	Pecr	Apcs
98496	20219	0.583767564734424	undirected	Pid1	Apcs
13167	20219	0.584873430536693	undirected	Dbi	Apcs
14268	338366	0.58049862892392	undirected	Fn1	Mia3
16008	338366	0.580902578929116	undirected	Igfbp2	Mia3
18703	338366	0.580235860662294	undirected	Pigr	Mia3
12628	338366	0.580091864930605	undirected	Cfh	Mia3
20219	338366	0.581398716031729	undirected	Apcs	Mia3
14859	56442	0.583797548382819	undirected	Gsta3	Serinc1
11611	56442	0.582521384845898	undirected	Agxt	Serinc1
227449	56442	0.580413673729519	undirected	Zcchc2	Serinc1
18703	56442	0.584128695357992	undirected	Pigr	Serinc1
12628	56442	0.582498728750537	undirected	Cfh	Serinc1
11905	56442	0.583137755854251	undirected	Serpinc1	Serinc1
20219	56442	0.581629511395426	undirected	Apcs	Serinc1
226777	56442	0.582426307592555	undirected	C130074G19Rik	Serinc1
226856	56442	0.580363018010436	undirected	Lpgat1	Serinc1
338366	18302	0.581198145407212	undirected	Mia3	Oit3
56442	18302	0.58065570856349	undirected	Serinc1	Oit3
20219	237387	0.58087435390841	undirected	Apcs	Lrrc3
11905	14431	0.582945373111122	undirected	Serpinc1	Gamt
98496	56371	0.581083511640107	undirected	Pid1	Fzr1
13167	56371	0.582081781020288	undirected	Dbi	Fzr1
56442	18478	0.583734139287615	undirected	Serinc1	Pah
14431	18478	0.581210834605689	undirected	Gamt	Pah
56442	71761	0.581048814033613	undirected	Serinc1	Amdhd1
98496	56307	0.582006435960254	undirected	Pid1	Metap2
98496	17022	0.582498135529201	undirected	Pid1	Lum
13167	17022	0.583200489576248	undirected	Dbi	Lum
56442	54150	0.58115766371593	undirected	Serinc1	Rdh7
14431	54150	0.580425437398868	undirected	Gamt	Rdh7
98496	28194	0.581127150883423	undirected	Pid1	Apon
13167	28194	0.583332895733304	undirected	Dbi	Apon
56442	28194	0.582706914599627	undirected	Serinc1	Apon
13167	103161	0.581046460250426	undirected	Dbi	Apof
56442	103161	0.583208085031911	undirected	Serinc1	Apof
14431	103161	0.580961104455308	undirected	Gamt	Apof
56442	18082	0.580669097581239	undirected	Serinc1	Nipsnap1
56442	13649	0.580304039859219	undirected	Serinc1	Egfr
14859	171284	0.58180665567975	undirected	Gsta3	Timd2
16008	171284	0.580818056604882	undirected	Igfbp2	Timd2
18703	171284	0.582775670093321	undirected	Pigr	Timd2
12628	171284	0.581186482044065	undirected	Cfh	Timd2
20219	171284	0.581569144120772	undirected	Apcs	Timd2
208677	171284	0.58088396928224	undirected	Creb3l3	Timd2
18478	171284	0.581094750337169	undirected	Pah	Timd2
17022	171284	0.582397575921287	undirected	Lum	Timd2
28194	171284	0.583277017313675	undirected	Apon	Timd2
