Node	ModuleColor	GeneSymbol	GeneName
20671	red	Sox17	SRY (sex determining region Y)-box 17
27395	turquoise	Mrpl15	mitochondrial ribosomal protein L15
18777	turquoise	Lypla1	lysophospholipase 1
21399	turquoise	Tcea1	transcription elongation factor A (SII) 1
108664	turquoise	Atp6v1h	ATPase, H+ transporting, lysosomal V1 subunit H
12421	brown	Rb1cc1	RB1-inducible coiled-coil 1
319263	turquoise	Pcmtd1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
59014	brown	Rrs1	ribosome biogenesis regulator 1
76187	blue	Adhfe1	alcohol dehydrogenase, iron containing, 1
17864	turquoise	Mybl1	myeloblastosis oncogene-like 1
70675	turquoise	Vcpip1	valosin containing protein (p97)/p47 complex interacting protein 1
170755	blue	Sgk3	serum/glucocorticoid regulated kinase 3
73824	turquoise	Snhg6	small nucleolar RNA host gene 6
26754	blue	Cops5	COP9 signalosome subunit 5
211660	yellow	Cspp1	centrosome and spindle pole associated protein 1
211673	turquoise	Arfgef1	ADP ribosylation factor guanine nucleotide exchange factor 1
109294	yellow	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2
240725	turquoise	Sulf1	sulfatase 1
17978	turquoise	Ncoa2	nuclear receptor coactivator 2
72265	turquoise	Tram1	translocating chain-associating membrane protein 1
212442	blue	Lactb2	lactamase, beta 2
17681	turquoise	Msc	musculin
21749	blue	Terf1	telomeric repeat binding factor 1
19989	turquoise	Rpl7	ribosomal protein L7
98711	blue	Rdh10	retinol dehydrogenase 10 (all-trans)
29819	brown	Stau2	staufen double-stranded RNA binding protein 2
66799	brown	Ube2w	ubiquitin-conjugating enzyme E2W (putative)
67923	green	Eloc	elongin C
70397	turquoise	Tmem70	transmembrane protein 70
17087	yellow	Ly96	lymphocyte antigen 96
17215	turquoise	Mcm3	minichromosome maintenance complex component 3
170829	turquoise	Tram2	translocating chain-associating membrane protein 2
75712	turquoise	Tmem14a	transmembrane protein 14A
14859	turquoise	Gsta3	glutathione S-transferase, alpha 3
70155	blue	Ogfrl1	opioid growth factor receptor-like 1
280645	red	B3gat2	beta-1,3-glucuronyltransferase 2
98366	turquoise	Smap1	small ArfGAP 1
68002	brown	Sdhaf4	succinate dehydrogenase complex assembly factor 4
68187	brown	Fam135a	family with sequence similarity 135, member A
68421	blue	Lmbrd1	LMBR1 domain containing 1
665903	green	Gm7846	predicted gene 7846
213109	grey	Phf3	PHD finger protein 3
19243	blue	Ptp4a1	protein tyrosine phosphatase 4a1
19076	turquoise	Prim2	DNA primase, p58 subunit
19335	turquoise	Rab23	RAB23, member RAS oncogene family
213539	turquoise	Bag2	BCL2-associated athanogene 2
98403	grey	Zfp451	zinc finger protein 451
13518	red	Dst	dystonin
69668	blue	Ccdc115	coiled-coil domain containing 115
27993	brown	Imp4	IMP4, U3 small nucleolar ribonucleoprotein
52318	brown	D1Ertd448e	DNA segment, Chr 1, ERATO Doi 448, expressed
19253	blue	Ptpn18	protein tyrosine phosphatase, non-receptor type 18
214469	red	Fam168b	family with sequence similarity 168, member B
226971	yellow	Plekhb2	pleckstrin homology domain containing, family B (evectins) member 2
50785	turquoise	Hs6st1	heparan sulfate 6-O-sulfotransferase 1
320011	blue	Uggt1	UDP-glucose glycoprotein glucosyltransferase 1
214854	blue	Neurl3	neuralized E3 ubiquitin protein ligase 3
214855	blue	Arid5a	AT-rich interaction domain 5A
226976	turquoise	Kansl3	KAT8 regulatory NSL complex subunit 3
214895	turquoise	Lman2l	lectin, mannose-binding 2-like
94220	black	Cnnm4	cyclin M4
94218	blue	Cnnm3	cyclin M3
78321	brown	Ankrd23	ankyrin repeat domain 23
109346	brown	Ankrd39	ankyrin repeat domain 39
20353	blue	Sema4c	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C
12859	turquoise	Cox5b	cytochrome c oxidase subunit 5B
226977	turquoise	Actr1b	ARP1 actin-related protein 1B, centractin beta
22637	yellow	Zap70	zeta-chain (TCR) associated protein kinase
56030	blue	Tmem131	transmembrane protein 131
269180	red	Inpp4a	inositol polyphosphate-4-phosphatase, type I
76178	red	Coa5	cytochrome C oxidase assembly factor 5
67387	blue	Unc50	unc-50 homolog
269181	blue	Mgat4a	mannoside acetylglucosaminyltransferase 4, isoenzyme A
211484	black	Tsga10	testis specific 10
623661	brown	Lipt1	lipoyltransferase 1
69028	blue	Mitd1	MIT, microtubule interacting and transport, domain containing 1
107734	brown	Mrpl30	mitochondrial ribosomal protein L30
98258	turquoise	Txndc9	thioredoxin domain containing 9
226982	yellow	Eif5b	eukaryotic translation initiation factor 5B
56210	turquoise	Rev1	REV1, DNA directed polymerase
68833	grey	Pdcl3	phosducin-like 3
18143	turquoise	Npas2	neuronal PAS domain protein 2
114641	turquoise	Rpl31	ribosomal protein L31
54610	grey	Tbc1d8	TBC1 domain family, member 8
52846	green	Cnot11	CCR4-NOT transcription complex, subunit 11
67702	blue	Rnf149	ring finger protein 149
26921	blue	Map4k4	mitogen-activated protein kinase kinase kinase kinase 4
16177	turquoise	Il1r1	interleukin 1 receptor, type I
16182	blue	Il18r1	interleukin 18 receptor 1
211798	turquoise	Mfsd9	major facilitator superfamily domain containing 9
69527	brown	Mrps9	mitochondrial ribosomal protein S9
73122	brown	Tgfbrap1	transforming growth factor, beta receptor associated protein 1
98404	blue	AI597479	expressed sequence AI597479
666642	turquoise	Gm8210	60S ribosomal protein L29
17974	turquoise	Nck2	non-catalytic region of tyrosine kinase adaptor protein 2
67883	brown	Uxs1	UDP-glucuronate decarboxylase 1
22019	turquoise	Tpp2	tripeptidyl peptidase II
75623	turquoise	Tex30	testis expressed 30
72050	brown	Poglut2	protein O-glucosyltransferase 2
246229	turquoise	Bivm	basic, immunoglobulin-like variable motif containing
22592	turquoise	Ercc5	excision repair cross-complementing rodent repair deficiency, complementation group 5
12825	red	Col3a1	collagen, type III, alpha 1
12832	yellow	Col5a2	collagen, type V, alpha 2
73674	turquoise	Wdr75	WD repeat domain 75
53945	yellow	Slc40a1	solute carrier family 40 (iron-regulated transporter), member 1
227059	blue	Slc39a10	solute carrier family 39 (zinc transporter), member 10
20324	green	Cavin2	caveolae associated 2
109019	yellow	Nabp1	nucleic acid binding protein 1
17912	turquoise	Myo1b	myosin IB
20849	blue	Stat4	signal transducer and activator of transcription 4
20846	yellow	Stat1	signal transducer and activator of transcription 1
14660	blue	Gls	glutaminase
17936	blue	Nab1	Ngfi-A binding protein 1
227094	turquoise	Nemp2	nuclear envelope integral membrane protein 2
98682	turquoise	Mfsd6	major facilitator superfamily domain containing 6
16329	blue	Inpp1	inositol polyphosphate-1-phosphatase
227095	turquoise	Hibch	3-hydroxyisobutyryl-Coenzyme A hydrolase
227099	red	Pms1	PMS1 homolog 1, mismatch repair system component
227102	turquoise	Ormdl1	ORM1-like 1 (S. cerevisiae)
72085	turquoise	Osgepl1	O-sialoglycoprotein endopeptidase-like 1
70396	blue	Asnsd1	asparagine synthetase domain containing 1
98267	blue	Stk17b	serine/threonine kinase 17b (apoptosis-inducing)
329152	turquoise	Hecw2	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2
98488	brown	Gtf3c3	general transcription factor IIIC, polypeptide 3
241062	turquoise	Pgap1	post-GPI attachment to proteins 1
329154	turquoise	Ankrd44	ankyrin repeat domain 44
81898	blue	Sf3b1	splicing factor 3b, subunit 1
67876	brown	Coq10b	coenzyme Q10B
15510	blue	Hspd1	heat shock protein 1 (chaperonin)
15528	blue	Hspe1	heat shock protein 1 (chaperonin 10)
19070	yellow	Mob4	MOB family member 4, phocein
74013	blue	Rftn2	raftlin family member 2
212679	turquoise	Mars2	methionine-tRNA synthetase 2 (mitochondrial)
227120	blue	Plcl1	phospholipase C-like 1
73467	blue	1700066M21Rik	RIKEN cDNA 1700066M21 gene
68736	brown	Tyw5	tRNA-yW synthesizing protein 5
68115	turquoise	Maip1	matrix AAA peptidase interacting protein 1
67198	red	Spats2l	spermatogenesis associated, serine-rich 2-like
51960	brown	Kctd18	potassium channel tetramerisation domain containing 18
68549	pink	Sgo2a	shugoshin 2A
11761	blue	Aox1	aldehyde oxidase 1
66882	turquoise	Bzw1	basic leucine zipper and W2 domains 1
12747	red	Clk1	CDC-like kinase 1
70225	brown	Ppil3	peptidylprolyl isomerase (cyclophilin)-like 3
65102	brown	Nif3l1	Ngg1 interacting factor 3-like 1 (S. pombe)
18393	turquoise	Orc2	origin recognition complex, subunit 2
213056	blue	Hycc2	hyccin PI4KA lipid kinase complex subunit 2
66495	turquoise	Ndufb3	NADH:ubiquinone oxidoreductase subunit B3
100504501	blue	Gm20257	caspase 8 pseudogene
12633	turquoise	Cflar	CASP8 and FADD-like apoptosis regulator
12370	blue	Casp8	caspase 8
70827	turquoise	Trak2	trafficking protein, kinesin binding 2
227154	yellow	Stradb	STE20-related kinase adaptor beta
381259	brown	Tmem237	transmembrane protein 237
74018	turquoise	Als2	alsin Rho guanine nucleotide exchange factor
14369	brown	Fzd7	frizzled class receptor 7
22218	blue	Sumo1	small ubiquitin-like modifier 1
55989	blue	Nop58	NOP58 ribonucleoprotein
12168	brown	Bmpr2	bone morphogenetic protein receptor type 2
72750	blue	Fam117b	family with sequence similarity 117, member B
57750	turquoise	Wdr12	WD repeat domain 12
241066	brown	Carf	calcium response factor
269198	turquoise	Nbeal1	neurobeachin like 1
77951	turquoise	Cyp20a1	cytochrome P450, family 20, subfamily a, polypeptide 1
329165	brown	Abi2	abl interactor 2
77300	blue	Raph1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1
12487	blue	Cd28	CD28 antigen
54167	blue	Icos	inducible T cell co-stimulator
72823	brown	Pard3b	par-3 family cell polarity regulator beta
18187	yellow	Nrp2	neuropilin 2
227195	turquoise	Ino80d	INO80 complex subunit D
227197	turquoise	Ndufs1	NADH:ubiquinone oxidoreductase core subunit S1
55949	turquoise	Eef1b2	eukaryotic translation elongation factor 1 beta 2
23792	green	Adam23	a disintegrin and metallopeptidase domain 23
75619	turquoise	Fastkd2	FAST kinase domains 2
93691	brown	Klf7	Kruppel-like transcription factor 7 (ubiquitous)
12912	turquoise	Creb1	cAMP responsive element binding protein 1
67099	green	Mettl21a	methyltransferase 21A, HSPA lysine
69941	green	2810408I11Rik	RIKEN cDNA 2810408I11 gene
227210	brown	Ccnyl1	cyclin Y-like 1
14367	green	Fzd5	frizzled class receptor 5
241075	blue	Plekhm3	pleckstrin homology domain containing, family M, member 3
15926	turquoise	Idh1	isocitrate dehydrogenase 1 (NADP+), soluble
18711	blue	Pikfyve	phosphoinositide kinase, FYVE type zinc finger containing
17756	turquoise	Map2	microtubule-associated protein 2
66646	brown	Rpe	ribulose-5-phosphate-3-epimerase
68691	blue	Kansl1l	KAT8 regulatory NSL complex subunit 1-like
11363	blue	Acadl	acyl-Coenzyme A dehydrogenase, long-chain
14768	brown	Lancl1	LanC (bacterial lantibiotic synthetase component C)-like 1
227231	turquoise	Cps1	carbamoyl-phosphate synthetase 1
108147	turquoise	Atic	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
14268	turquoise	Fn1	fibronectin 1
381269	blue	Mreg	melanoregulin
111175	turquoise	Pecr	peroxisomal trans-2-enoyl-CoA reductase
22596	turquoise	Xrcc5	X-ray repair complementing defective repair in Chinese hamster cells 5
54380	yellow	Smarcal1	SWI/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1
19981	turquoise	Rpl37a	ribosomal protein L37a
16008	turquoise	Igfbp2	insulin-like growth factor binding protein 2
16011	red	Igfbp5	insulin-like growth factor binding protein 5
21961	turquoise	Tns1	tensin 1
76709	blue	Arpc2	actin related protein 2/3 complex, subunit 2
227290	blue	Aamp	angio-associated migratory protein
56695	blue	Pnkd	paroxysmal nonkinesiogenic dyskinesia
69660	blue	Tmbim1	transmembrane BAX inhibitor motif containing 1
18173	yellow	Slc11a1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1
227292	blue	Ctdsp1	CTD small phosphatase 1
319651	turquoise	Usp37	ubiquitin specific peptidase 37
58184	turquoise	Cnot9	CCR4-NOT transcription complex, subunit 9
77264	turquoise	Zfp142	zinc finger protein 142
66821	turquoise	Bcs1l	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone
57751	black	Rnf25	ring finger protein 25
67534	brown	Ttll4	tubulin tyrosine ligase-like family, member 4
104086	turquoise	Cyp27a1	cytochrome P450, family 27, subfamily a, polypeptide 1
75570	brown	Nhej1	non-homologous end joining factor 1
69171	brown	Cnppd1	cyclin Pas1/PHO80 domain containing 1
227298	blue	Retreg2	reticulophagy regulator family member 2
68818	blue	Zfand2b	zinc finger, AN1 type domain 2B
74104	turquoise	Abcb6	ATP-binding cassette, sub-family B member 6
245860	turquoise	Atg9a	autophagy related 9A
52231	blue	Ankzf1	ankyrin repeat and zinc finger domain containing 1
74577	blue	Glb1l	galactosidase, beta 1-like
20872	turquoise	Stk16	serine/threonine kinase 16
22145	yellow	Tuba4a	tubulin, alpha 4A
56812	blue	Dnajb2	DnaJ heat shock protein family (Hsp40) member B2
13437	turquoise	Dnpep	aspartyl aminopeptidase
13346	blue	Des	desmin
11790	blue	Speg	SPEG complex locus
69080	blue	Gmppa	GDP-mannose pyrophosphorylase A
74241	turquoise	Chpf	chondroitin polymerizing factor
98733	brown	Obsl1	obscurin-like 1
71728	turquoise	Stk11ip	serine/threonine kinase 11 interacting protein
20536	brown	Slc4a3	solute carrier family 4 (anion exchanger), member 3
23874	green	Farsb	phenylalanyl-tRNA synthetase, beta subunit
74205	turquoise	Acsl3	acyl-CoA synthetase long-chain family member 3
195434	brown	Utp14b	UTP14B small subunit processome component
252903	blue	Ap1s3	adaptor-related protein complex AP-1, sigma 3
69368	blue	Wdfy1	WD repeat and FYVE domain containing 1
69163	turquoise	Mrpl44	mitochondrial ribosomal protein L44
20720	pink	Serpine2	serine (or cysteine) peptidase inhibitor, clade E, member 2
