GeneID	ModuleColor	GeneSymbol	GeneName
54915	blue	YTHDF1	YTH N6-methyladenosine RNA binding protein F1
51441	turquoise	YTHDF2	YTH N6-methyladenosine RNA binding protein F2
253943	grey	YTHDF3	YTH N6-methyladenosine RNA binding protein F3
79068	yellow	FTO	FTO alpha-ketoglutarate dependent dioxygenase
56339	grey	METTL3	methyltransferase 3, N6-adenosine-methyltransferase complex catalytic subunit
57721	grey	METTL14	methyltransferase 14, N6-adenosine-methyltransferase subunit
54890	grey	ALKBH5	alkB homolog 5, RNA demethylase
64848	pink	YTHDC2	YTH N6-methyladenosine RNA binding protein C2
221120	pink	ALKBH3	alkB homolog 3, alpha-ketoglutarate dependent dioxygenase
8846	turquoise	ALKBH1	alkB homolog 1, histone H2A dioxygenase
84266	blue	ALKBH7	alkB homolog 7
51605	turquoise	TRMT6	tRNA methyltransferase 6 non-catalytic subunit
23378	grey	RRP8	ribosomal RNA processing 8
55006	pink	TRMT61B	tRNA methyltransferase 61B
115708	blue	TRMT61A	tRNA methyltransferase 61A
54888	turquoise	NSUN2	NOP2/Sun RNA methyltransferase 2
1787	cyan	TRDMT1	tRNA aspartic acid methyltransferase 1
55226	blue	NAT10	N-acetyltransferase 10
10189	turquoise	ALYREF	Aly/REF export factor
4904	grey	YBX1	Y-box binding protein 1
8520	turquoise	HAT1	histone acetyltransferase 1
2648	turquoise	KAT2A	lysine acetyltransferase 2A
8850	grey	KAT2B	lysine acetyltransferase 2B
10524	turquoise	KAT5	lysine acetyltransferase 5
7994	black	KAT6A	lysine acetyltransferase 6A
23522	grey	KAT6B	lysine acetyltransferase 6B
11143	grey	KAT7	lysine acetyltransferase 7
84148	grey	KAT8	lysine acetyltransferase 8
9329	black	GTF3C4	general transcription factor IIIC subunit 4
1387	black	CREBBP	CREB binding protein
2033	black	EP300	E1A binding protein p300
3065	blue	HDAC1	histone deacetylase 1
3066	green	HDAC2	histone deacetylase 2
8841	green	HDAC3	histone deacetylase 3
9759	red	HDAC4	histone deacetylase 4
10014	turquoise	HDAC5	histone deacetylase 5
10013	turquoise	HDAC6	histone deacetylase 6
51564	grey	HDAC7	histone deacetylase 7
55869	pink	HDAC8	histone deacetylase 8
9734	green	HDAC9	histone deacetylase 9
83933	green	HDAC10	histone deacetylase 10
23411	brown	SIRT1	sirtuin 1
22933	green	SIRT2	sirtuin 2
23410	turquoise	SIRT3	sirtuin 3
23408	brown	SIRT5	sirtuin 5
51548	grey	SIRT6	sirtuin 6
51547	red	SIRT7	sirtuin 7
