Node	ModuleColor	GeneSymbol	GeneName
653635	grey	WASH7P	WASP family homolog 7, pseudogene
102466751	turquoise	MIR6859-1	microRNA 6859-1
729737	grey	LOC729737	uncharacterized LOC729737
102723897	grey	LOC102723897	WAS protein family homolog 9, pseudogene
79854	grey	LINC00115	long intergenic non-protein coding RNA 115
643837	turquoise	LINC01128	long intergenic non-protein coding RNA 1128
26155	turquoise	NOC2L	NOC2 like nucleolar associated transcriptional repressor
339451	grey	KLHL17	kelch like family member 17
84069	blue	PLEKHN1	pleckstrin homology domain containing N1
9636	brown	ISG15	ISG15 ubiquitin like modifier
375790	grey	AGRN	agrin
105378948	brown	LOC105378948	uncharacterized LOC105378948
54991	green	C1orf159	chromosome 1 open reading frame 159
8784	turquoise	TNFRSF18	TNF receptor superfamily member 18
51150	blue	SDF4	stromal cell derived factor 4
126792	turquoise	B3GALT6	beta-1,3-galactosyltransferase 6
118424	blue	UBE2J2	ubiquitin conjugating enzyme E2 J2
6339	turquoise	SCNN1D	sodium channel epithelial 1 subunit delta
116983	turquoise	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
126789	grey	PUSL1	pseudouridine synthase like 1
54973	blue	INTS11	integrator complex subunit 11
80772	grey	CPTP	ceramide-1-phosphate transfer protein
83756	grey	TAS1R3	taste 1 receptor member 3
1855	brown	DVL1	dishevelled segment polarity protein 1
54587	turquoise	MXRA8	matrix remodeling associated 8
54998	turquoise	AURKAIP1	aurora kinase A interacting protein 1
81669	grey	CCNL2	cyclin L2
148413	grey	MRPL20-AS1	MRPL20 antisense RNA 1
55052	turquoise	MRPL20	mitochondrial ribosomal protein L20
83858	blue	ATAD3B	ATPase family AAA domain containing 3B
55210	turquoise	ATAD3A	ATPase family AAA domain containing 3A
29101	grey	SSU72	SSU72 homolog, RNA polymerase II CTD phosphatase
643988	blue	FNDC10	fibronectin type III domain containing 10
142678	grey	MIB2	MIB E3 ubiquitin protein ligase 2
984	brown	CDK11B	cyclin dependent kinase 11B
728661	turquoise	SLC35E2B	solute carrier family 35 member E2B
728642	black	CDK11A	cyclin dependent kinase 11A
9906	lightgreen	SLC35E2A	solute carrier family 35 member E2A (pseudogene)
65220	yellow	NADK	NAD kinase
2782	blue	GNB1	G protein subunit beta 1
199990	turquoise	FAAP20	FA core complex associated protein 20
6497	grey	SKI	SKI proto-oncogene
79906	turquoise	MORN1	MORN repeat containing 1
11079	grey	RER1	retention in endoplasmic reticulum sorting receptor 1
5192	red	PEX10	peroxisomal biogenesis factor 10
1953	turquoise	MEGF6	multiple EGF like domains 6
127262	brown	TPRG1L	tumor protein p63 regulated 1 like
49856	magenta	WRAP73	WD repeat containing, antisense to TP73
57212	turquoise	GFOD3P	Gfo/Idh/MocA-like oxidoreductase domain containing 3, pseudogene
57470	red	LRRC47	leucine rich repeat containing 47
9731	tan	CEP104	centrosomal protein 104
1677	blue	DFFB	DNA fragmentation factor subunit beta
339448	yellow	C1orf174	chromosome 1 open reading frame 174
261734	turquoise	NPHP4	nephrocystin 4
8514	blue	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2
6146	tan	RPL22	ribosomal protein L22
23463	blue	ICMT	isoprenylcysteine carboxyl methyltransferase
387509	lightcyan	GPR153	G protein-coupled receptor 153
11332	turquoise	ACOT7	acyl-CoA thioesterase 7
79707	blue	NOL9	nucleolar protein 9
3104	grey	ZBTB48	zinc finger and BTB domain containing 48
9903	blue	KLHL21	kelch like family member 21
148479	blue	PHF13	PHD finger protein 13
90326	blue	THAP3	THAP domain containing 3
55735	greenyellow	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11
23261	magenta	CAMTA1	calmodulin binding transcription activator 1
9341	yellow	VAMP3	vesicle associated membrane protein 3
8863	blue	PER3	period circadian regulator 3
10911	cyan	UTS2	urotensin 2
3604	blue	TNFRSF9	TNF receptor superfamily member 9
11315	turquoise	PARK7	Parkinsonism associated deglycase
54206	magenta	ERRFI1	ERBB receptor feedback inhibitor 1
473	turquoise	RERE	arginine-glutamic acid dipeptide repeats
2023	turquoise	ENO1	enolase 1
6518	blue	SLC2A5	solute carrier family 2 member 5
80045	grey	GPR157	G protein-coupled receptor 157
9563	turquoise	H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase
80176	brown	SPSB1	splA/ryanodine receptor domain and SOCS box containing 1
100506022	brown	LINC02606	long intergenic non-protein coding RNA 2606
84275	turquoise	SLC25A33	solute carrier family 25 member 33
199953	magenta	TMEM201	transmembrane protein 201
5293	yellow	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
22883	green	CLSTN1	calsyntenin 1
56998	green	CTNNBIP1	catenin beta interacting protein 1
84328	grey	LZIC	leucine zipper and CTNNBIP1 domain containing
64802	brown	NMNAT1	nicotinamide nucleotide adenylyltransferase 1
116362	green	RBP7	retinol binding protein 7
10277	yellow	UBE4B	ubiquitination factor E4B
23095	brown	KIF1B	kinesin family member 1B
5226	blue	PGD	phosphogluconate dehydrogenase
1676	greenyellow	DFFA	DNA fragmentation factor subunit alpha
5195	magenta	PEX14	peroxisomal biogenesis factor 14
54897	blue	CASZ1	castor zinc finger 1
148345	green	C1orf127	chromosome 1 open reading frame 127
23435	turquoise	TARDBP	TAR DNA binding protein
10747	grey	MASP2	MBL associated serine protease 2
6723	turquoise	SRM	spermidine synthase
5394	black	EXOSC10	exosome component 10
2475	yellow	MTOR	mechanistic target of rapamycin kinase
29914	grey	UBIAD1	UbiA prenyltransferase domain containing 1
93611	blue	FBXO44	F-box protein 44
26270	grey	FBXO6	F-box protein 6
10459	red	MAD2L2	mitotic arrest deficient 2 like 2
57085	grey	AGTRAP	angiotensin II receptor associated protein
4524	turquoise	MTHFR	methylenetetrahydrofolate reductase
1185	yellow	CLCN6	chloride voltage-gated channel 6
90231	brown	KIAA2013	KIAA2013
5351	grey	PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1
9927	green	MFN2	mitofusin 2
60672	brown	MIIP	migration and invasion inhibitory protein
943	turquoise	TNFRSF8	TNF receptor superfamily member 8
7133	purple	TNFRSF1B	TNF receptor superfamily member 1B
55187	yellow	VPS13D	vacuolar protein sorting 13 homolog D
9249	blue	DHRS3	dehydrogenase/reductase 3
10630	green	PDPN	podoplanin
7799	brown	PRDM2	PR/SET domain 2
200197	grey	TMEM51-AS1	TMEM51 antisense RNA 1
55092	brown	TMEM51	transmembrane protein 51
114827	grey	FHAD1	forkhead associated phosphopeptide binding domain 1
79180	yellow	EFHD2	EF-hand domain family member D2
842	grey	CASP9	caspase 9
23341	blue	DNAJC16	DnaJ heat shock protein family (Hsp40) member C16
84301	grey	DDI2	DNA damage inducible 1 homolog 2
6248	grey	RSC1A1	regulator of solute carriers 1
23207	brown	PLEKHM2	pleckstrin homology and RUN domain containing M2
284723	grey	SLC25A34	solute carrier family 25 member 34
54751	green	FBLIM1	filamin binding LIM protein 1
440567	turquoise	UQCRHL	ubiquinol-cytochrome c reductase hinge protein like
729614	grey	SPEN-AS1	SPEN antisense RNA 1
23013	black	SPEN	spen family transcriptional repressor
7709	brown	ZBTB17	zinc finger and BTB domain containing 17
128272	grey	ARHGEF19	Rho guanine nucleotide exchange factor 19
79363	blue	CPLANE2	ciliogenesis and planar polarity effector complex subunit 2
54455	magenta	FBXO42	F-box protein 42
26099	blue	SZRD1	SUZ RNA binding domain containing 1
55707	brown	NECAP2	NECAP endocytosis associated 2
114819	turquoise	CROCCP3	CROCC pseudogene 3
55672	turquoise	NBPF1	NBPF member 1
84809	green	CROCCP2	CROCC pseudogene 2
11209	cyan	MST1P2	macrophage stimulating 1 pseudogene 2
9696	green	CROCC	ciliary rootlet coiled-coil, rootletin
23400	grey	ATP13A2	ATPase cation transporting 13A2
6390	red	SDHB	succinate dehydrogenase complex iron sulfur subunit B
11240	blue	PADI2	peptidyl arginine deiminase 2
55920	turquoise	RCC2	regulator of chromosome condensation 2
55160	grey	ARHGEF10L	Rho guanine nucleotide exchange factor 10 like
8659	grey	ALDH4A1	aldehyde dehydrogenase 4 family member A1
126917	grey	IFFO2	intermediate filament family orphan 2
23352	black	UBR4	ubiquitin protein ligase E3 component n-recognin 4
23065	turquoise	EMC1	ER membrane protein complex subunit 1
51154	turquoise	MRTO4	MRT4 homolog, ribosome maturation factor
246181	grey	AKR7L	aldo-keto reductase family 7 like (gene/pseudogene)
22977	grey	AKR7A3	aldo-keto reductase family 7 member A3
100506730	brown	LOC100506730	uncharacterized LOC100506730
8574	grey	AKR7A2	aldo-keto reductase family 7 member A2
54896	turquoise	SLC66A1	solute carrier family 66 member 1
832	purple	CAPZB	capping actin protein of muscle Z-line subunit beta
440574	lightyellow	MICOS10	mitochondrial contact site and cristae organizing system subunit 10
644068	grey	RPS14P3	ribosomal protein S14 pseudogene 3
255104	yellow	TMCO4	transmembrane and coiled-coil domains 4
23252	grey	OTUD3	OTU deubiquitinase 3
79594	yellow	MUL1	mitochondrial E3 ubiquitin protein ligase 1
978	green	CDA	cytidine deaminase
65018	turquoise	PINK1	PTEN induced kinase 1
100861548	grey	PINK1-AS	PINK1 antisense RNA
1650	grey	DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit
57576	grey	KIF17	kinesin family member 17
50809	turquoise	HP1BP3	heterochromatin protein 1 binding protein 3
8672	midnightblue	EIF4G3	eukaryotic translation initiation factor 4 gamma 3
1889	blue	ECE1	endothelin converting enzyme 1
84224	cyan	NBPF3	NBPF member 3
84196	blue	USP48	ubiquitin specific peptidase 48
3339	turquoise	HSPG2	heparan sulfate proteoglycan 2
29092	blue	LINC00339	long intergenic non-protein coding RNA 339
998	yellow	CDC42	cell division cycle 42
9923	lightcyan	ZBTB40	zinc finger and BTB domain containing 40
712	green	C1QA	complement C1q A chain
714	green	C1QC	complement C1q C chain
713	black	C1QB	complement C1q B chain
2048	grey	EPHB2	EPH receptor B2
23028	grey	KDM1A	lysine demethylase 1A
7798	yellow	LUZP1	leucine zipper protein 1
100996511	grey	LINC01355	long intergenic non-protein coding RNA 1355
10236	turquoise	HNRNPR	heterogeneous nuclear ribonucleoprotein R
80818	turquoise	ZNF436	zinc finger protein 436
148898	blue	ZNF436-AS1	ZNF436 antisense RNA 1
1870	turquoise	E2F2	E2F transcription factor 2
3399	grey	ID3	inhibitor of DNA binding 3
6135	tan	RPL11	ribosomal protein L11
6924	brown	ELOA	elongin A
100506963	grey	ELOA-AS1	ELOA antisense RNA 1
57095	grey	PITHD1	PITH domain containing 1
11313	salmon	LYPLA2	lysophospholipase 2
2582	grey	GALE	UDP-galactose-4-epimerase
3155	magenta	HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase
2517	green	FUCA1	alpha-L-fucosidase 1
1269	blue	CNR2	cannabinoid receptor 2
55629	brown	PNRC2	proline rich nuclear receptor coactivator 2
10772	brown	SRSF10	serine and arginine rich splicing factor 10
