Node	ModuleColor	GeneSymbol	GeneName
643837	blue	LINC01128	long intergenic non-protein coding RNA 1128
57801	turquoise	HES4	hes family bHLH transcription factor 4
9636	turquoise	ISG15	ISG15 ubiquitin like modifier
54991	brown	C1orf159	chromosome 1 open reading frame 159
254173	blue	TTLL10	tubulin tyrosine ligase like 10
8784	yellow	TNFRSF18	TNF receptor superfamily member 18
7293	blue	TNFRSF4	TNF receptor superfamily member 4
51150	turquoise	SDF4	stromal cell derived factor 4
126792	brown	B3GALT6	beta-1,3-galactosyltransferase 6
118424	turquoise	UBE2J2	ubiquitin conjugating enzyme E2 J2
116983	grey	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
126789	brown	PUSL1	pseudouridine synthase like 1
54973	green	INTS11	integrator complex subunit 11
80772	blue	CPTP	ceramide-1-phosphate transfer protein
54998	blue	AURKAIP1	aurora kinase A interacting protein 1
81669	grey	CCNL2	cyclin L2
148413	red	MRPL20-AS1	MRPL20 antisense RNA 1
55052	green	MRPL20	mitochondrial ribosomal protein L20
83858	brown	ATAD3B	ATPase family AAA domain containing 3B
55210	yellow	ATAD3A	ATPase family AAA domain containing 3A
29101	grey	SSU72	SSU72 homolog, RNA polymerase II CTD phosphatase
142678	turquoise	MIB2	MIB E3 ubiquitin protein ligase 2
984	red	CDK11B	cyclin dependent kinase 11B
728642	grey	CDK11A	cyclin dependent kinase 11A
9906	turquoise	SLC35E2A	solute carrier family 35 member E2A (pseudogene)
65220	brown	NADK	NAD kinase
2782	turquoise	GNB1	G protein subunit beta 1
199990	turquoise	FAAP20	FA core complex associated protein 20
6497	black	SKI	SKI proto-oncogene
11079	green	RER1	retention in endoplasmic reticulum sorting receptor 1
127262	grey	TPRG1L	tumor protein p63 regulated 1 like
49856	black	WRAP73	WD repeat containing, antisense to TP73
57212	grey	GFOD3P	Gfo/Idh/MocA-like oxidoreductase domain containing 3, pseudogene
388588	yellow	SMIM1	small integral membrane protein 1 (Vel blood group)
57470	green	LRRC47	leucine rich repeat containing 47
9731	turquoise	CEP104	centrosomal protein 104
1677	brown	DFFB	DNA fragmentation factor subunit beta
339448	green	C1orf174	chromosome 1 open reading frame 174
8514	grey	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2
6146	brown	RPL22	ribosomal protein L22
23463	yellow	ICMT	isoprenylcysteine carboxyl methyltransferase
11332	red	ACOT7	acyl-CoA thioesterase 7
8718	turquoise	TNFRSF25	TNF receptor superfamily member 25
79707	grey	NOL9	nucleolar protein 9
3104	red	ZBTB48	zinc finger and BTB domain containing 48
9903	grey	KLHL21	kelch like family member 21
90326	grey	THAP3	THAP domain containing 3
23261	turquoise	CAMTA1	calmodulin binding transcription activator 1
9341	blue	VAMP3	vesicle associated membrane protein 3
10911	blue	UTS2	urotensin 2
3604	turquoise	TNFRSF9	TNF receptor superfamily member 9
11315	brown	PARK7	Parkinsonism associated deglycase
473	turquoise	RERE	arginine-glutamic acid dipeptide repeats
2023	brown	ENO1	enolase 1
6518	grey	SLC2A5	solute carrier family 2 member 5
9563	grey	H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase
80176	green	SPSB1	splA/ryanodine receptor domain and SOCS box containing 1
84275	brown	SLC25A33	solute carrier family 25 member 33
199953	blue	TMEM201	transmembrane protein 201
5293	turquoise	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
22883	turquoise	CLSTN1	calsyntenin 1
56998	grey	CTNNBIP1	catenin beta interacting protein 1
84328	grey	LZIC	leucine zipper and CTNNBIP1 domain containing
64802	red	NMNAT1	nicotinamide nucleotide adenylyltransferase 1
10277	grey	UBE4B	ubiquitination factor E4B
23095	blue	KIF1B	kinesin family member 1B
5226	blue	PGD	phosphogluconate dehydrogenase
378708	turquoise	CENPS	centromere protein S
1676	grey	DFFA	DNA fragmentation factor subunit alpha
5195	turquoise	PEX14	peroxisomal biogenesis factor 14
23435	turquoise	TARDBP	TAR DNA binding protein
6723	yellow	SRM	spermidine synthase
5394	yellow	EXOSC10	exosome component 10
2475	brown	MTOR	mechanistic target of rapamycin kinase
29914	turquoise	UBIAD1	UbiA prenyltransferase domain containing 1
93611	green	FBXO44	F-box protein 44
26270	turquoise	FBXO6	F-box protein 6
10459	brown	MAD2L2	mitotic arrest deficient 2 like 2
57085	brown	AGTRAP	angiotensin II receptor associated protein
4524	black	MTHFR	methylenetetrahydrofolate reductase
1185	yellow	CLCN6	chloride voltage-gated channel 6
90231	brown	KIAA2013	KIAA2013
5351	brown	PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1
9927	brown	MFN2	mitofusin 2
60672	blue	MIIP	migration and invasion inhibitory protein
7133	brown	TNFRSF1B	TNF receptor superfamily member 1B
55187	brown	VPS13D	vacuolar protein sorting 13 homolog D
9249	turquoise	DHRS3	dehydrogenase/reductase 3
7799	turquoise	PRDM2	PR/SET domain 2
55092	blue	TMEM51	transmembrane protein 51
79180	grey	EFHD2	EF-hand domain family member D2
842	grey	CASP9	caspase 9
23341	red	DNAJC16	DnaJ heat shock protein family (Hsp40) member C16
23207	green	PLEKHM2	pleckstrin homology and RUN domain containing M2
440567	turquoise	UQCRHL	ubiquinol-cytochrome c reductase hinge protein like
729614	turquoise	SPEN-AS1	SPEN antisense RNA 1
23013	blue	SPEN	spen family transcriptional repressor
7709	grey	ZBTB17	zinc finger and BTB domain containing 17
1969	brown	EPHA2	EPH receptor A2
128272	grey	ARHGEF19	Rho guanine nucleotide exchange factor 19
54455	black	FBXO42	F-box protein 42
26099	grey	SZRD1	SUZ RNA binding domain containing 1
55707	grey	NECAP2	NECAP endocytosis associated 2
84809	turquoise	CROCCP2	CROCC pseudogene 2
9696	blue	CROCC	ciliary rootlet coiled-coil, rootletin
23400	brown	ATP13A2	ATPase cation transporting 13A2
6390	turquoise	SDHB	succinate dehydrogenase complex iron sulfur subunit B
23569	black	PADI4	peptidyl arginine deiminase 4
