Node	ModuleColor	GeneSymbol	GeneName
20671	red	Sox17	SRY (sex determining region Y)-box 17
27395	blue	Mrpl15	mitochondrial ribosomal protein L15
18777	turquoise	Lypla1	lysophospholipase 1
21399	turquoise	Tcea1	transcription elongation factor A (SII) 1
108664	turquoise	Atp6v1h	ATPase, H+ transporting, lysosomal V1 subunit H
12421	blue	Rb1cc1	RB1-inducible coiled-coil 1
319263	turquoise	Pcmtd1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
59014	brown	Rrs1	ribosome biogenesis regulator 1
76187	blue	Adhfe1	alcohol dehydrogenase, iron containing, 1
70675	blue	Vcpip1	valosin containing protein (p97)/p47 complex interacting protein 1
170755	blue	Sgk3	serum/glucocorticoid regulated kinase 3
73824	yellow	Snhg6	small nucleolar RNA host gene 6
26754	blue	Cops5	COP9 signalosome subunit 5
211660	turquoise	Cspp1	centrosome and spindle pole associated protein 1
211673	turquoise	Arfgef1	ADP ribosylation factor guanine nucleotide exchange factor 1
109294	green	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2
240725	turquoise	Sulf1	sulfatase 1
17978	turquoise	Ncoa2	nuclear receptor coactivator 2
72265	turquoise	Tram1	translocating chain-associating membrane protein 1
212442	blue	Lactb2	lactamase, beta 2
21749	blue	Terf1	telomeric repeat binding factor 1
19989	turquoise	Rpl7	ribosomal protein L7
98711	blue	Rdh10	retinol dehydrogenase 10 (all-trans)
29819	brown	Stau2	staufen double-stranded RNA binding protein 2
66799	brown	Ube2w	ubiquitin-conjugating enzyme E2W (putative)
67923	grey	Eloc	elongin C
70397	turquoise	Tmem70	transmembrane protein 70
17087	black	Ly96	lymphocyte antigen 96
17215	turquoise	Mcm3	minichromosome maintenance complex component 3
170829	turquoise	Tram2	translocating chain-associating membrane protein 2
75712	brown	Tmem14a	transmembrane protein 14A
14859	turquoise	Gsta3	glutathione S-transferase, alpha 3
70155	blue	Ogfrl1	opioid growth factor receptor-like 1
280645	brown	B3gat2	beta-1,3-glucuronyltransferase 2
98366	turquoise	Smap1	small ArfGAP 1
68002	brown	Sdhaf4	succinate dehydrogenase complex assembly factor 4
68187	brown	Fam135a	family with sequence similarity 135, member A
68421	brown	Lmbrd1	LMBR1 domain containing 1
665903	yellow	Gm7846	predicted gene 7846
213109	green	Phf3	PHD finger protein 3
19243	turquoise	Ptp4a1	protein tyrosine phosphatase 4a1
